route_role,direction_kind,sign,n,rho_mean,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,target_correct_changed_rate,full_vocab_top10_jaccard_mean,candidate_kl_mean
entropy_gradient_route,entropy_gradient,decrease,144,0.5879238247097116,0.03377931061935229,0.06990514907568536,0.041666666666666664,0.0,0.946969696969697,0.0012399237695505207
entropy_gradient_route,entropy_gradient,increase,144,0.5879238247097116,0.03165119192828037,0.0669761296824461,0.041666666666666664,0.006944444444444444,0.9587542087542088,0.0012597533241087695
high_rho_route,accessible,decrease,144,0.5985556228642354,0.03848376293444223,0.07638181989794073,0.027777777777777776,0.0,0.9473905723905724,0.0012126285873743981
high_rho_route,accessible,increase,144,0.5985556228642354,0.038153635372131116,0.0785839346194155,0.013888888888888888,0.0,0.953493265993266,0.0013063987744009456
low_rho_route,accessible,decrease,144,0.5152342865551828,0.035773485741380756,0.0707208231295702,0.020833333333333332,0.0,0.9537037037037037,0.0012096211974155589
low_rho_route,accessible,increase,144,0.5152342865551828,0.03566707128549855,0.07339627104659174,0.013888888888888888,0.0,0.9522306397306397,0.001309292192548948
random_route,accessible,decrease,144,0.5481485816991781,0.037120840155879464,0.07318813371710665,0.027777777777777776,0.0,0.9484427609427608,0.0012244741182819222
random_route,accessible,increase,144,0.5481485816991781,0.036207066379974326,0.07391260405642093,0.027777777777777776,0.0,0.9602272727272728,0.0012777088456443245
varentropy_gradient_route,varentropy_gradient,decrease,144,0.5882655406618944,0.0324688071394377,0.07297452155980189,0.034722222222222224,0.0,0.9423400673400673,0.0012387401581358103
varentropy_gradient_route,varentropy_gradient,increase,144,0.5882655406618944,0.0303938880567242,0.07019883487781406,0.05555555555555555,0.006944444444444444,0.9600168350168351,0.0012642457731234834
