index,rho_group,pair_id,true_label,true_class,clean_pred,corrupt_pred,clean_correct,corrupt_correct,answer_flip,correctness_loss,clean_confidence,corrupt_confidence,clean_true_prob,corrupt_true_prob,true_prob_drop,clean_entropy,corrupt_entropy,entropy_increase,clean_margin,corrupt_margin,margin_drop,top10_jaccard,corruption,severity,rho
5,high_rho,8,6,frog,6,6,1,1,0,0,0.26105959256083566,0.2605581011700868,0.26105959256083566,0.2605581011700868,0.0005014913907488427,1.9546788096150396,1.961063031680339,0.0063842220652994275,0.06832412297468804,0.07137480107012104,-0.003050678095432996,1.0,gaussian_noise,1,0.9265845057460879
21,low_rho,0,0,airplane,0,0,1,1,0,0,0.3990829315726324,0.3878230351987002,0.3990829315726324,0.3878230351987002,0.01125989637393221,1.8680139448641315,1.8930704719923361,0.02505652712820461,0.245774303894091,0.23476240734467885,0.011011896549412148,1.0,gaussian_noise,1,0.7938724792469983
54,low_rho,9,8,ship,8,8,1,1,0,0,0.29967490571126204,0.29841563446363306,0.29967490571126204,0.29841563446363306,0.0012592712476289791,1.840094982618522,1.8452774112661008,0.005182428647578785,0.07777580854383362,0.07274906786797286,0.005026740675860758,1.0,gaussian_noise,1,0.9011284404095927
116,high_rho,1,0,airplane,0,0,1,1,0,0,0.3800752555568879,0.37406015022281247,0.3800752555568879,0.37406015022281247,0.0060151053340754546,1.7053144240290643,1.7201697135138283,0.014855289484764,0.09085371764891875,0.08668839640343456,0.004165321245484188,1.0,gaussian_noise,1,0.9708135127362162
126,high_rho,11,8,ship,8,8,1,1,0,0,0.30848245441522804,0.3069763497029739,0.30848245441522804,0.3069763497029739,0.0015061047122541527,1.8976033594836466,1.903305400135578,0.005702040651931473,0.07012379025834262,0.06920746703479685,0.0009163232235457619,1.0,gaussian_noise,1,0.9761239106970538
189,high_rho,7,0,airplane,0,0,1,1,0,0,0.2856753563557429,0.28657415164201966,0.2856753563557429,0.28657415164201966,-0.0008987952862767323,1.9759016192392436,1.970737307149065,-0.0051643120901785355,0.05927769203987382,0.05856011509645598,0.0007175769434178414,1.0,gaussian_noise,1,0.9745789151944727
298,low_rho,1,0,airplane,0,0,1,1,0,0,0.44216903328190554,0.439035892578303,0.44216903328190554,0.439035892578303,0.003133140703602544,1.704777394641018,1.718383016109337,0.013605621468318896,0.23609196891087916,0.23645266101840937,-0.00036069210753020275,1.0,gaussian_noise,1,0.8895754509910572
376,high_rho,2,0,airplane,0,0,1,1,0,0,0.35068698944244775,0.3364360470243253,0.35068698944244775,0.3364360470243253,0.01425094241812247,1.7379565786260376,1.7805972790991769,0.04264070047313928,0.07108261235085067,0.06622400552943064,0.004858606821420031,1.0,gaussian_noise,1,0.9744407563223603
403,high_rho,9,8,ship,8,8,1,1,0,0,0.32664511528744555,0.33089715429413297,0.32664511528744555,0.33089715429413297,-0.004252039006687414,1.7230426472981517,1.7099582633677137,-0.013084383930437982,0.05970642561066075,0.05987104950626615,-0.00016462389560539803,1.0,gaussian_noise,1,0.9333808279748933
406,low_rho,2,0,airplane,0,0,1,1,0,0,0.375644086352572,0.3773562860741736,0.375644086352572,0.3773562860741736,-0.0017121997216015816,1.9157331379560185,1.9117162011279298,-0.00401693682808868,0.22543459606964697,0.22777847697023915,-0.002343880900592177,1.0,gaussian_noise,1,0.741705575761775
