index,rho_group,corruption,s_flip,mean_true_prob_drop,mean_entropy_increase,any_flip
5,high_rho,brightness,6,0.021401663236757018,0.013976806392025662,0
5,high_rho,contrast,6,-0.006863926465996299,-0.06666683989284843,0
5,high_rho,gaussian_noise,6,0.0001701117724078697,0.0034322386074419806,0
5,high_rho,jpeg_compression,6,0.0006371996082146595,0.0013034928734252382,0
21,low_rho,brightness,6,-0.07469280186132249,-0.18982572697742728,0
21,low_rho,contrast,6,0.0754328831477795,0.1382389340188445,0
21,low_rho,gaussian_noise,6,0.02781610620610973,0.05893217080158427,0
21,low_rho,jpeg_compression,6,0.002485307001459084,0.0045337772545473625,0
54,low_rho,brightness,3,-0.05416093546149355,-0.3105986434996162,1
54,low_rho,contrast,6,-0.02151683762093824,-0.04479207884954254,0
54,low_rho,gaussian_noise,6,0.003237858232455648,0.005985868363040196,0
54,low_rho,jpeg_compression,6,0.008077408416849044,0.026866954945396742,0
116,high_rho,brightness,3,-0.043146284214858444,-0.36840491947943144,1
116,high_rho,contrast,3,0.11118978175758987,0.17273591692104998,1
116,high_rho,gaussian_noise,6,0.0025733938350404237,0.006294572950194126,0
116,high_rho,jpeg_compression,6,0.0017305347193376879,0.009074810657844434,0
126,high_rho,brightness,3,0.09090113560929801,0.059984676511573166,1
126,high_rho,contrast,6,0.09711021941231739,0.1973986612942286,0
126,high_rho,gaussian_noise,6,8.955183297089848e-05,0.0004900512926026371,0
126,high_rho,jpeg_compression,6,0.0014060281353810988,0.005880314707200999,0
189,high_rho,brightness,6,-0.2515353825165069,-0.7296828793621756,0
189,high_rho,contrast,6,0.05177788899918213,0.10356448231692898,0
189,high_rho,gaussian_noise,6,0.01104024832624286,0.02477389794375277,0
189,high_rho,jpeg_compression,6,-0.0019413403391807897,-0.007699655273532076,0
298,low_rho,brightness,6,-0.17226464307454306,-0.47858416176817187,0
298,low_rho,contrast,6,-0.025379346619603782,-0.2573423277508646,0
298,low_rho,gaussian_noise,6,0.008321531319968342,0.03648606918043451,0
298,low_rho,jpeg_compression,6,0.017567924004078417,0.0417581081186138,0
376,high_rho,brightness,6,-0.018444825382255003,-0.07321368440755423,0
376,high_rho,contrast,3,0.09973482612720035,0.26504827650111146,1
376,high_rho,gaussian_noise,6,0.026905652104303717,0.07978010419683053,0
376,high_rho,jpeg_compression,6,0.007595303412152217,0.018944510779712525,0
403,high_rho,brightness,3,0.04721524961095395,-0.3657498383995082,1
403,high_rho,contrast,6,-0.019357169920099837,-0.0703685276720351,0
403,high_rho,gaussian_noise,6,0.004837600873354793,0.01165116268553675,0
403,high_rho,jpeg_compression,6,0.0032928275453468214,0.006915567259280442,0
406,low_rho,brightness,6,-0.25745717604945373,-0.753334455868156,0
406,low_rho,contrast,6,0.038809848212729016,-0.032940498586471335,0
406,low_rho,gaussian_noise,6,0.0005862454795791394,0.0029548995804451472,0
406,low_rho,jpeg_compression,6,0.02506240932769055,0.0493162543206019,0
447,low_rho,brightness,6,0.009059896329411362,0.003278033600996988,0
447,low_rho,contrast,6,-0.0056978517170935454,-0.020081964584304706,0
447,low_rho,gaussian_noise,6,0.0006604193844452025,0.007093748875716603,0
447,low_rho,jpeg_compression,6,0.001136099250546881,0.00534179318489784,0
552,low_rho,brightness,3,0.006414428703553465,-0.04663628311498987,1
552,low_rho,contrast,6,-0.002337628489863556,0.037968438179167396,0
552,low_rho,gaussian_noise,6,0.010375609801426322,0.021703751694420664,0
552,low_rho,jpeg_compression,6,-0.0007450428677804691,-0.0017424561038138127,0
602,low_rho,brightness,6,-0.04047358357912084,-0.20743328910955028,0
602,low_rho,contrast,6,-0.025472992209625917,-0.2558653591275435,0
602,low_rho,gaussian_noise,6,-0.011071475213841367,-0.018006834627152617,0
602,low_rho,jpeg_compression,6,0.018886185535082034,0.03007697305925087,0
605,low_rho,brightness,5,0.057141256660536655,0.03796175024200651,1
605,low_rho,contrast,6,0.0034431680943543355,-0.0025942231650045353,0
605,low_rho,gaussian_noise,6,0.00024831655986503237,-0.01053219286111536,0
605,low_rho,jpeg_compression,6,-0.0015295807980640712,-0.009138600490812424,0
864,high_rho,brightness,6,-0.21907796050912717,-0.4729327746438135,0
864,high_rho,contrast,6,-0.04771128668732751,-0.04550158832837603,0
864,high_rho,gaussian_noise,6,0.006560153141278484,0.00982470519479343,0
864,high_rho,jpeg_compression,6,-0.00484746512172779,-6.427255515680426e-05,0
929,high_rho,brightness,6,-0.13681415706716704,-0.23417748462324894,0
929,high_rho,contrast,5,-0.022997223967844094,-0.24396676879083454,1
929,high_rho,gaussian_noise,6,0.0015758593810455412,0.011522034938859985,0
929,high_rho,jpeg_compression,6,-0.0030751338056445774,0.019590049976747254,0
1078,low_rho,brightness,6,-0.023740869970075778,-0.08674499491928638,0
1078,low_rho,contrast,6,0.013765537821662418,0.043102182804356216,0
1078,low_rho,gaussian_noise,6,0.044511365047446315,0.13560050582067765,0
1078,low_rho,jpeg_compression,6,0.006424573053518808,0.022573636815941118,0
1259,low_rho,brightness,3,0.05492069732219489,-0.005596176685624288,1
1259,low_rho,contrast,6,0.007966357957511347,0.03879794164784145,0
1259,low_rho,gaussian_noise,6,0.007620183384883461,0.019664766583142868,0
1259,low_rho,jpeg_compression,6,-0.0012424362789291525,-0.0005730839924438236,0
1295,high_rho,brightness,6,-0.06657822936060682,-0.19465335535564707,0
1295,high_rho,contrast,6,0.10376402668582109,0.24024428423052027,0
1295,high_rho,gaussian_noise,6,0.020041937680249516,0.033662387085210264,0
1295,high_rho,jpeg_compression,6,0.012122189070641998,0.022163549251501696,0
1319,low_rho,brightness,6,-0.10508167751246678,-0.2583416673775902,0
1319,low_rho,contrast,6,0.09103606186017794,0.15412668182597797,0
1319,low_rho,gaussian_noise,6,0.030490520799207204,0.060143547888567093,0
1319,low_rho,jpeg_compression,6,0.0038581763660005173,0.008865281772216571,0
1347,high_rho,brightness,1,0.08725026952081845,0.06102427800370277,1
1347,high_rho,contrast,5,0.11106813348321516,0.23334833783424416,1
1347,high_rho,gaussian_noise,6,-0.012408464178182033,-0.016914133077544784,0
1347,high_rho,jpeg_compression,6,-0.005197282692958734,-0.007406021971809802,0
1579,low_rho,brightness,6,-0.22126030566180868,-0.7355348124797855,0
1579,low_rho,contrast,3,0.11844389628601165,0.027118875734870224,1
1579,low_rho,gaussian_noise,6,0.006232258744349332,0.0070238555217381204,0
1579,low_rho,jpeg_compression,6,0.016839704149657148,0.03333551921029473,0
1776,high_rho,brightness,6,-0.11881303051975889,-0.18618299498313237,0
1776,high_rho,contrast,1,0.433482143689917,-0.5115353016111094,1
1776,high_rho,gaussian_noise,6,0.00039776343536705266,0.011661820423852812,0
1776,high_rho,jpeg_compression,6,0.014191080760128316,0.0079177732767813,0
1965,high_rho,brightness,6,0.008353541400216916,0.008459679346136673,0
1965,high_rho,contrast,6,0.04688854160621623,-0.015452374068971006,0
1965,high_rho,gaussian_noise,6,0.0016519573536065886,0.011013277295377563,0
1965,high_rho,jpeg_compression,6,-0.0004187279731483288,0.0007098024240648204,0
