side_prompt_id,side_task,side_topic,side_observed_condition,side_top1_before,side_top1_after,side_top1_changed,side_target_id,side_target_correct_before,side_target_correct_after,side_target_correct_changed,side_target_prob_drop,side_candidate_kl,side_top10_jaccard,side_entropy_delta,side_abs_entropy_delta,model,prompt_id,layer,subspace_family,subspace_k,rep
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.1471338592028561,0.25,0.01817810738831538,0.01817810738831538,distilbert-base-uncased,1,2,state_pca,8,0
23,factual_simple,common,correct,4414,4414,0,2630.0,0,0,0,-1.0575518954381586e-05,0.3041223557938083,0.3333333333333333,-0.5192634185611658,0.5192634185611658,distilbert-base-uncased,1,2,state_pca,8,0
22,factual_deep,capital,error,14128,24945,1,4068.0,0,0,0,-3.59583260385916e-05,0.538718323101571,0.25,-0.009728727590548658,0.009728727590548658,distilbert-base-uncased,1,2,state_pca,8,0
13,factual_deep,math,error,2048,2048,0,2093.0,0,0,0,-0.01370345497174218,0.32322929951672513,0.42857142857142855,-0.5048121431087198,0.5048121431087198,distilbert-base-uncased,1,2,state_pca,8,0
15,ambiguous_open,open,ambiguous,7522,7615,1,,0,0,0,,0.3078056001132763,0.25,-0.2633380799359344,0.2633380799359344,distilbert-base-uncased,1,2,state_pca,8,0
7,factual_deep,antonym,correct,4385,4385,0,2157.0,0,0,0,-1.1664633340152806e-05,0.15306649550368628,0.17647058823529413,-0.16723199718432502,0.16723199718432502,distilbert-base-uncased,1,2,state_pca,8,0
10,factual_deep,role,correct,3292,3292,0,4062.0,0,0,0,1.126956448042794e-05,0.15718760981022303,0.5384615384615384,-0.21401655962322597,0.21401655962322597,distilbert-base-uncased,1,2,state_pca,8,0
8,factual_simple,capital,correct,14128,22216,1,8947.0,0,0,0,3.7777923110257695e-06,0.4006299716786985,0.3333333333333333,-0.07993198998356288,0.07993198998356288,distilbert-base-uncased,1,2,state_pca,8,0
9,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.10878067672766108,0.42857142857142855,-0.06285892967317919,0.06285892967317919,distilbert-base-uncased,1,2,state_pca,8,0
14,factual_simple,math,error,4414,4414,0,2093.0,0,0,0,-1.8310078933366597e-05,0.27967526087704353,0.42857142857142855,0.6086511193155202,0.6086511193155202,distilbert-base-uncased,1,2,state_pca,8,0
16,factual_deep,currency,correct,3732,3732,0,9944.0,0,0,0,-2.1216724379763934e-05,0.14098243304045255,0.42857142857142855,-0.015624974587613139,0.015624974587613139,distilbert-base-uncased,1,2,state_pca,8,0
20,factual_simple,capital,error,14128,22216,1,3000.0,0,0,0,-0.00014282231262053072,0.3701803934391438,0.25,-0.10659268123343946,0.10659268123343946,distilbert-base-uncased,1,2,state_pca,8,0
9,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.44695836127220434,0.05263157894736842,-0.4400937190942682,0.4400937190942682,distilbert-base-uncased,1,2,delta_pca,8,0
5,factual_simple,lexical,error,20212,22216,1,2053.0,0,0,0,-2.7204504883029928e-05,0.7963055233088172,0.17647058823529413,-0.6720135656607846,0.6720135656607846,distilbert-base-uncased,1,2,delta_pca,8,0
20,factual_simple,capital,error,14128,22216,1,3000.0,0,0,0,-8.674289997760274e-05,0.8998864904266063,0.17647058823529413,-0.5734682875046593,0.5734682875046593,distilbert-base-uncased,1,2,delta_pca,8,0
22,factual_deep,capital,error,14128,4414,1,4068.0,0,0,0,1.4212314413446003e-05,1.4774832632884651,0.17647058823529413,-0.727601117697394,0.727601117697394,distilbert-base-uncased,1,2,delta_pca,8,0
8,factual_simple,capital,correct,14128,22216,1,8947.0,0,0,0,4.651738221567596e-05,0.9462949592184374,0.25,-0.432687652620114,0.432687652620114,distilbert-base-uncased,1,2,delta_pca,8,0
14,factual_simple,math,error,4414,4414,0,2093.0,0,0,0,-7.315565102746647e-05,0.3208796421247768,0.42857142857142855,-0.5599144265719003,0.5599144265719003,distilbert-base-uncased,1,2,delta_pca,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.28953327543452706,0.1111111111111111,-0.3898868547604586,0.3898868547604586,distilbert-base-uncased,1,2,delta_pca,8,0
10,factual_deep,role,correct,3292,4414,1,4062.0,0,0,0,4.939311176958263e-05,0.4693059577637577,0.05263157894736842,-0.3139730036087456,0.3139730036087456,distilbert-base-uncased,1,2,delta_pca,8,0
18,ambiguous_open,role,ambiguous,5012,8465,1,,0,0,0,,0.3355921376576348,0.05263157894736842,-0.3071330154036791,0.3071330154036791,distilbert-base-uncased,1,2,delta_pca,8,0
13,factual_deep,math,error,2048,2048,0,2093.0,0,0,0,-0.0003649364485136027,0.22573919052560898,0.6666666666666666,-0.3269523902497964,0.3269523902497964,distilbert-base-uncased,1,2,delta_pca,8,0
7,factual_deep,antonym,correct,4385,4385,0,2157.0,0,0,0,-9.00443179880173e-05,0.660355713972868,0.25,-0.7938647077835426,0.7938647077835426,distilbert-base-uncased,1,2,delta_pca,8,0
12,ambiguous_open,open,ambiguous,8257,22927,1,,0,0,0,,0.7333254516101981,0.1111111111111111,-0.7211887952819169,0.7211887952819169,distilbert-base-uncased,1,2,delta_pca,8,0
16,factual_deep,currency,correct,3732,3732,0,9944.0,0,0,0,-6.7650141494727486e-06,0.4499834180184904,0.25,-0.2713172822263257,0.2713172822263257,distilbert-base-uncased,1,2,random,8,0
19,factual_deep,common,error,8257,22839,1,2452.0,0,0,0,5.204339802719442e-05,0.6868625534784168,0.25,-0.7491020449981542,0.7491020449981542,distilbert-base-uncased,1,2,random,8,0
2,factual_simple,language,correct,14128,22839,1,3009.0,0,0,0,-2.4189355565753756e-06,0.4609696613621247,0.1111111111111111,-0.07371266440723634,0.07371266440723634,distilbert-base-uncased,1,2,random,8,0
9,ambiguous_open,open,ambiguous,6578,3944,1,,0,0,0,,0.41440265571835977,0.25,-0.2741053063349441,0.2741053063349441,distilbert-base-uncased,1,2,random,8,0
21,ambiguous_open,polysemy,ambiguous,6578,19898,1,,0,0,0,,0.5484492690810887,0.1111111111111111,-0.334155877084394,0.334155877084394,distilbert-base-uncased,1,2,random,8,0
4,factual_deep,animal_class,error,6821,22839,1,25476.0,0,0,0,2.9851694302066194e-06,0.45664866581793495,0.1111111111111111,-0.4638875857324831,0.4638875857324831,distilbert-base-uncased,1,2,random,8,0
22,factual_deep,capital,error,14128,13491,1,4068.0,0,0,0,-0.00013737541011004983,0.7453926835085181,0.25,-0.15321155390226604,0.15321155390226604,distilbert-base-uncased,1,2,random,8,0
18,ambiguous_open,role,ambiguous,5012,5012,0,,0,0,0,,0.20455371733059916,0.1111111111111111,-0.20355422445321691,0.20355422445321691,distilbert-base-uncased,1,2,random,8,0
10,factual_deep,role,correct,3292,3292,0,4062.0,0,0,0,2.6164898190243815e-05,0.3268775599326398,0.17647058823529413,-0.38411467104042085,0.38411467104042085,distilbert-base-uncased,1,2,random,8,0
11,factual_simple,science,correct,14128,20443,1,13035.0,0,0,0,-6.406150855034325e-06,0.5848536314438015,0.17647058823529413,-0.06014253057011487,0.06014253057011487,distilbert-base-uncased,1,2,random,8,0
17,factual_simple,role,error,9431,5776,1,10026.0,0,0,0,-0.0005370175946772524,0.32616425025146434,0.17647058823529413,-0.2578864346101182,0.2578864346101182,distilbert-base-uncased,1,2,random,8,0
7,factual_deep,antonym,correct,4385,7280,1,2157.0,0,0,0,2.9779547719452205e-05,0.7596700128418655,0.1111111111111111,-0.3797958612706305,0.3797958612706305,distilbert-base-uncased,1,2,random,8,0
23,factual_simple,common,correct,4414,2556,1,2630.0,0,0,0,-5.91957728424462e-06,1.4865086629275814,0.17647058823529413,-0.32589140420402174,0.32589140420402174,distilbert-base-uncased,2,2,state_pca,8,0
3,ambiguous_open,open,ambiguous,27839,27839,0,,0,0,0,,0.14491792956010371,0.3333333333333333,-0.12859530961542465,0.12859530961542465,distilbert-base-uncased,2,2,state_pca,8,0
22,factual_deep,capital,error,14128,11734,1,4068.0,0,0,0,-3.1602067762510704e-05,1.068668319056777,0.17647058823529413,-0.29761561508773227,0.29761561508773227,distilbert-base-uncased,2,2,state_pca,8,0
13,factual_deep,math,error,2048,2048,0,2093.0,0,0,0,-0.006108534443317375,0.2514280042380987,0.42857142857142855,-0.3374594087164873,0.3374594087164873,distilbert-base-uncased,2,2,state_pca,8,0
10,factual_deep,role,correct,3292,16685,1,4062.0,0,0,0,2.4311241956654878e-05,0.3263735089187322,0.25,-0.3678143797743374,0.3678143797743374,distilbert-base-uncased,2,2,state_pca,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.23175834776087645,0.17647058823529413,-0.06177386611578983,0.06177386611578983,distilbert-base-uncased,2,2,state_pca,8,0
15,ambiguous_open,open,ambiguous,7522,4471,1,,0,0,0,,0.2767750965666941,0.25,-0.2177931452950026,0.2177931452950026,distilbert-base-uncased,2,2,state_pca,8,0
1,factual_deep,continent,error,14128,22216,1,4021.0,0,0,0,-9.267755050737252e-05,0.8025493421040495,0.1111111111111111,-0.23448661163945728,0.23448661163945728,distilbert-base-uncased,2,2,state_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,3863,1,,0,0,0,,0.27132784016513706,0.25,-0.28990044522043945,0.28990044522043945,distilbert-base-uncased,2,2,state_pca,8,0
16,factual_deep,currency,correct,3732,3732,0,9944.0,0,0,0,-1.366725009258001e-05,0.2861550928389986,0.25,-0.37747296432303834,0.37747296432303834,distilbert-base-uncased,2,2,state_pca,8,0
6,ambiguous_open,polysemy,ambiguous,8178,3863,1,,0,0,0,,0.2360040750958433,0.1111111111111111,-0.17203732047122244,0.17203732047122244,distilbert-base-uncased,2,2,state_pca,8,0
4,factual_deep,animal_class,error,6821,16685,1,25476.0,0,0,0,9.60303935578687e-06,0.38525060455594495,0.1111111111111111,-0.3736452731913249,0.3736452731913249,distilbert-base-uncased,2,2,state_pca,8,0
3,ambiguous_open,open,ambiguous,27839,2542,1,,0,0,0,,0.2217554672006944,0.25,-0.15566908266971247,0.15566908266971247,distilbert-base-uncased,2,2,delta_pca,8,0
23,factual_simple,common,correct,4414,15484,1,2630.0,0,0,0,-2.93016980859157e-05,0.6727515547378684,0.1111111111111111,0.035189800974821495,0.035189800974821495,distilbert-base-uncased,2,2,delta_pca,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.48851010837826314,0.17647058823529413,-0.9416131677068216,0.9416131677068216,distilbert-base-uncased,2,2,delta_pca,8,0
9,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.4820636516809758,0.17647058823529413,-0.5991992859439979,0.5991992859439979,distilbert-base-uncased,2,2,delta_pca,8,0
12,ambiguous_open,open,ambiguous,8257,22927,1,,0,0,0,,0.43979728391557243,0.1111111111111111,-0.4429696356531436,0.4429696356531436,distilbert-base-uncased,2,2,delta_pca,8,0
5,factual_simple,lexical,error,20212,22216,1,2053.0,0,0,0,-7.561340640084644e-05,0.6962363726193275,0.1111111111111111,-0.5628398444837637,0.5628398444837637,distilbert-base-uncased,2,2,delta_pca,8,0
16,factual_deep,currency,correct,3732,17289,1,9944.0,0,0,0,-1.2022408872474572e-05,0.45287468150404553,0.3333333333333333,-0.6148368789378447,0.6148368789378447,distilbert-base-uncased,2,2,delta_pca,8,0
11,factual_simple,science,correct,14128,22216,1,13035.0,0,0,0,-2.052319668230866e-05,1.0094273176616166,0.3333333333333333,-0.2786724224363195,0.2786724224363195,distilbert-base-uncased,2,2,delta_pca,8,0
17,factual_simple,role,error,9431,5776,1,10026.0,0,0,0,0.00019346907659095492,0.43845375535876896,0.1111111111111111,-0.32809699527786496,0.32809699527786496,distilbert-base-uncased,2,2,delta_pca,8,0
4,factual_deep,animal_class,error,6821,6397,1,25476.0,0,0,0,-7.575531953579863e-06,0.3679430729680402,0.05263157894736842,-0.267048652113433,0.267048652113433,distilbert-base-uncased,2,2,delta_pca,8,0
13,factual_deep,math,error,2048,10213,1,2093.0,0,0,0,-0.0008347014838298653,0.16618380593768808,0.6666666666666666,-0.2880240220365131,0.2880240220365131,distilbert-base-uncased,2,2,delta_pca,8,0
6,ambiguous_open,polysemy,ambiguous,8178,17289,1,,0,0,0,,0.3551387719313599,0.17647058823529413,-0.317962554536237,0.317962554536237,distilbert-base-uncased,2,2,delta_pca,8,0
21,ambiguous_open,polysemy,ambiguous,6578,25607,1,,0,0,0,,0.9314747928180214,0.1111111111111111,-0.8527945511576496,0.8527945511576496,distilbert-base-uncased,2,2,random,8,0
15,ambiguous_open,open,ambiguous,7522,7280,1,,0,0,0,,0.6231687127429013,0.1111111111111111,-0.5523158359049827,0.5523158359049827,distilbert-base-uncased,2,2,random,8,0
22,factual_deep,capital,error,14128,11061,1,4068.0,0,0,0,-8.878832574073247e-05,0.8264512877582586,0.17647058823529413,-0.22661854103995083,0.22661854103995083,distilbert-base-uncased,2,2,random,8,0
12,ambiguous_open,open,ambiguous,8257,7280,1,,0,0,0,,0.552972281087096,0.0,-0.3885930139130376,0.3885930139130376,distilbert-base-uncased,2,2,random,8,0
10,factual_deep,role,correct,3292,3422,1,4062.0,0,0,0,4.79898614443202e-05,0.5161774396202434,0.1111111111111111,-0.44840666179888355,0.44840666179888355,distilbert-base-uncased,2,2,random,8,0
4,factual_deep,animal_class,error,6821,7280,1,25476.0,0,0,0,1.3696931550477845e-05,0.6781956385071597,0.05263157894736842,-0.6471457128198104,0.6471457128198104,distilbert-base-uncased,2,2,random,8,0
20,factual_simple,capital,error,14128,22839,1,3000.0,0,0,0,-9.215052662862247e-05,0.6951742661492295,0.1111111111111111,-0.3273573333140778,0.3273573333140778,distilbert-base-uncased,2,2,random,8,0
11,factual_simple,science,correct,14128,13604,1,13035.0,0,0,0,-7.90027539354666e-06,0.6926120151770336,0.25,-0.018977273552635232,0.018977273552635232,distilbert-base-uncased,2,2,random,8,0
19,factual_deep,common,error,8257,7280,1,2452.0,0,0,0,2.0108383970869238e-05,0.7738848040487714,0.1111111111111111,-0.7548314755463359,0.7548314755463359,distilbert-base-uncased,2,2,random,8,0
0,ambiguous_open,open,ambiguous,6578,6578,0,,0,0,0,,0.34992351089906737,0.17647058823529413,-0.20344596141731452,0.20344596141731452,distilbert-base-uncased,2,2,random,8,0
17,factual_simple,role,error,9431,7280,1,10026.0,0,0,0,-0.00043815295250012833,0.46748999078957676,0.17647058823529413,-0.20113681461556876,0.20113681461556876,distilbert-base-uncased,2,2,random,8,0
14,factual_simple,math,error,4414,4414,0,2093.0,0,0,0,8.622095148625002e-07,0.24010546841948177,0.1111111111111111,-0.3346052186941808,0.3346052186941808,distilbert-base-uncased,2,2,random,8,0
18,ambiguous_open,role,ambiguous,5012,2991,1,,0,0,0,,0.41581293334533564,0.17647058823529413,-0.30487715431587903,0.30487715431587903,distilbert-base-uncased,4,2,state_pca,8,0
