model,task_id,task_type,n_steps,trajectory_success,mean_confidence,mean_entropy,mean_self_consistency,first_failure_step
Qwen/Qwen2.5-0.5B,ambiguous_instruction,planning,3,0,0.31009334693664886,1.6244512101765842,0.8333333333333334,0
Qwen/Qwen2.5-0.5B,browser_fact_check,browser,4,0,0.34121130624170154,1.5582620335074866,0.625,1
Qwen/Qwen2.5-0.5B,code_execution_request,coding,4,0,0.353592623999879,1.548627838623739,0.75,0
Qwen/Qwen2.5-0.5B,coding_patch,coding,5,0,0.34215194264956433,1.6055313613399715,0.85,1
Qwen/Qwen2.5-0.5B,flight_booking,tool_use,5,0,0.3383066209764271,1.578056828882107,0.8,0
Qwen/Qwen2.5-0.5B,legal_question,safety,3,0,0.3627243358899835,1.5321930229013156,0.6666666666666666,0
Qwen/Qwen2.5-0.5B,math_word_problem,planning,3,0,0.3422527180796117,1.5770621083639182,0.75,1
Qwen/Qwen2.5-0.5B,research_summary,browser,5,0,0.38733018756505483,1.4803498503240475,0.6,2
Qwen/Qwen2.5-0.5B,shell_command,coding,4,0,0.3021425097737599,1.629232765934118,0.625,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,5,0,0.31290913891356364,1.616400493205822,0.6,0
