outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,gold_probability_delta
correct_high,accessible_rho,0.05,26,1.0,0.5,-0.0008590457235070348,0.46153846153846156,0.4230769230769231,0.0,0.00032179932993803284
correct_high,accessible_rho,0.1,26,1.0,0.5,-0.0014641977696643327,0.46153846153846156,0.5,0.0,0.000575274561872674
correct_high,accessible_rho,0.2,26,1.0,0.5,-0.0030713482823274685,0.46153846153846156,0.5,0.0,0.0012421409177686416
correct_high,accessible_rho,0.4,26,1.0,0.5,-0.006226300209399294,0.5,0.5,0.0,0.0024601402279762485
correct_high,low_rho,0.05,26,1.0,0.5,-5.1574036147084e-05,0.3076923076923077,0.4230769230769231,0.0,3.5499850405629196e-05
correct_high,low_rho,0.1,26,1.0,0.5,-1.8294411411545752e-05,0.19230769230769232,0.38461538461538464,0.0,9.714510517255803e-05
correct_high,low_rho,0.2,26,1.0,0.5,-0.0001539439442019841,0.3076923076923077,0.5,0.0,0.00023997835209788043
correct_high,low_rho,0.4,26,1.0,0.5,-0.00016743406590968846,0.38461538461538464,0.5,0.0,0.0004443110885221646
correct_high,projected_gradient,0.05,26,1.0,0.5,-0.03075438672672426,0.5,0.5,0.0,0.007989440934281888
correct_high,projected_gradient,0.1,26,0.9230769230769231,0.5384615384615384,-0.05955143838611643,0.5,0.5,0.0,0.0158541155596833
correct_high,projected_gradient,0.2,26,0.5384615384615384,0.6153846153846154,-0.06032631134682964,0.5,0.5,0.0,0.030274103374538175
correct_high,projected_gradient,0.4,26,0.5,0.6153846153846154,-0.006644330711339741,0.5,0.5,0.0,0.050654842594227145
correct_high,random_activation,0.05,26,1.0,0.5,0.00037165417707407666,0.19230769230769232,0.038461538461538464,0.0,-0.00012182641650071435
correct_high,random_activation,0.1,26,1.0,0.5,0.0006852808290696011,0.19230769230769232,0.07692307692307693,0.0,-0.00024018929446179005
correct_high,random_activation,0.2,26,1.0,0.5,0.0013075844536233339,0.19230769230769232,0.2692307692307692,0.0,-0.00034152778583074195
correct_high,random_activation,0.4,26,1.0,0.5,0.0026870961705734997,0.19230769230769232,0.2692307692307692,0.0,-0.0007830588635624469
correct_high,standard_delta_pca,0.05,26,1.0,0.5,-0.0009960298434716908,0.5,0.4230769230769231,0.0,0.0002995291658153265
correct_high,standard_delta_pca,0.1,26,1.0,0.5,-0.0016582930654369665,0.5,0.2692307692307692,0.0,0.0005250111783848821
correct_high,standard_delta_pca,0.2,26,1.0,0.5,-0.003442283410339919,0.5,0.4230769230769231,0.0,0.0011513340337898637
correct_high,standard_delta_pca,0.4,26,1.0,0.5,-0.0069361088460515585,0.5,0.4230769230769231,0.0,0.0022800451569778835
correct_high,temperature_1.25,0.0,26,1.0,0.5,-0.03096976568550025,0.5,0.0,0.0,0.0010419195719877372
correct_high,temperature_1.5,0.0,26,1.0,0.5,-0.05950424761866535,0.5,0.0,0.0,-0.004133819365201519
correct_high,temperature_2,0.0,26,1.0,0.5,-0.11516049558771635,0.5,0.0,0.0,-0.027914559067229838
correct_low,accessible_rho,0.05,24,1.0,0.5,-0.0003199014052633897,0.4166666666666667,0.25,0.0,0.0002865016044353297
correct_low,accessible_rho,0.1,24,1.0,0.5,-0.0005028708132961413,0.5,0.2916666666666667,0.0,0.000772303423634213
correct_low,accessible_rho,0.2,24,1.0,0.5,-0.0009297708974203012,0.4583333333333333,0.4583333333333333,0.0,0.0018679836247531556
correct_low,accessible_rho,0.4,24,1.0,0.5,-0.0019609721562013904,0.4583333333333333,0.5,0.0,0.0037890117648536337
correct_low,low_rho,0.05,24,1.0,0.5,8.679045992820988e-05,0.20833333333333334,0.25,0.0,0.00016930589169661392
correct_low,low_rho,0.1,24,0.9583333333333334,0.5,0.000836274481638144,0.2916666666666667,0.4166666666666667,0.0,0.0012522382070776494
correct_low,low_rho,0.2,24,0.9583333333333334,0.5,0.0012841337741898995,0.4166666666666667,0.4166666666666667,0.0,0.001843704810993274
correct_low,low_rho,0.4,24,0.9583333333333334,0.5,0.003013993386796532,0.4583333333333333,0.4583333333333333,0.0,0.003876795007987488
correct_low,projected_gradient,0.05,24,0.9166666666666666,0.5,-0.016169063507978976,0.5,0.5,0.0,0.016653440757337545
correct_low,projected_gradient,0.1,24,0.7916666666666666,0.5416666666666666,-0.024501823432869774,0.5,0.5,0.0,0.033085496499378864
correct_low,projected_gradient,0.2,24,0.5,0.7083333333333334,0.0095729325002476,0.5,0.5,0.0,0.06348711446326977
correct_low,projected_gradient,0.4,24,0.5,0.7083333333333334,0.07970461257167916,0.5,0.5,0.0,0.11049225781984334
correct_low,random_activation,0.05,24,1.0,0.5,-0.0005233036797653856,0.4166666666666667,0.08333333333333333,0.0,-9.066938922880352e-05
correct_low,random_activation,0.1,24,1.0,0.5,-0.000742145730972088,0.3333333333333333,0.125,0.0,-0.00020588603774229775
correct_low,random_activation,0.2,24,1.0,0.5,-0.0012021037081839658,0.3333333333333333,0.16666666666666666,0.0,-0.0003531736384833617
correct_low,random_activation,0.4,24,1.0,0.5,-0.00203633216562471,0.3333333333333333,0.2916666666666667,0.0,-0.0006775342870601331
correct_low,standard_delta_pca,0.05,24,1.0,0.5,-0.0011063788387095652,0.4583333333333333,0.16666666666666666,0.0,-0.0001380881392405442
correct_low,standard_delta_pca,0.1,24,0.9583333333333334,0.5,-0.001799473067211288,0.5,0.125,0.0,0.0003542102126804503
correct_low,standard_delta_pca,0.2,24,0.9583333333333334,0.5,-0.003197347680648943,0.5,0.20833333333333334,0.0,0.0008250199444530537
correct_low,standard_delta_pca,0.4,24,0.9583333333333334,0.5,-0.006305166258638861,0.5,0.20833333333333334,0.0,0.0017295830203692408
