policy,target_coverage,coverage,selective_risk,answered
confidence,0.25,0.25,0.0,9
confidence,0.5,0.5,0.0,18
confidence,0.75,0.75,0.18518518518518523,27
confidence,1.0,1.0,0.3055555555555556,36
negative_entropy,0.25,0.25,0.0,9
negative_entropy,0.5,0.5,0.0,18
negative_entropy,0.75,0.75,0.18518518518518523,27
negative_entropy,1.0,1.0,0.3055555555555556,36
margin,0.25,0.25,0.0,9
margin,0.5,0.5,0.0,18
margin,0.75,0.75,0.14814814814814814,27
margin,1.0,1.0,0.3055555555555556,36
self_consistency,0.25,0.8611111111111112,0.25806451612903225,31
self_consistency,0.5,0.8611111111111112,0.25806451612903225,31
self_consistency,0.75,0.8611111111111112,0.25806451612903225,31
self_consistency,1.0,1.0,0.3055555555555556,36
verbalized_confidence,0.25,0.25,0.11111111111111116,9
verbalized_confidence,0.5,0.5,0.2222222222222222,18
verbalized_confidence,0.75,0.75,0.2222222222222222,27
verbalized_confidence,1.0,1.0,0.3055555555555556,36
rho,0.25,0.25,0.0,9
rho,0.5,0.5,0.05555555555555558,18
rho,0.75,0.75,0.14814814814814814,27
rho,1.0,1.0,0.3055555555555556,36
accessible_policy,0.25,0.25,0.0,9
accessible_policy,0.5,0.5,0.0,18
accessible_policy,0.75,0.75,0.18518518518518523,27
accessible_policy,1.0,1.0,0.3055555555555556,36
