metric,group,method,eps,coverage,ci_low,median,ci_high
accuracy,base,none,,,0.2222222222222222,0.28703703703703703,0.347337962962963
answer_preserved_rate,correct_high,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,projected_gradient,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.8,,1.0,1.0,1.0
