outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,semantic_drift_proxy_mean,gold_probability_delta
correct_high,accessible_rho,0.025,122,1.0,1.0,0.0001523913319944059,0.0,0.28688524590163933,0.0,6.773980350253841e-07,0.0001523913319944059
correct_high,accessible_rho,0.05,122,1.0,1.0,0.00026285746672272126,0.0,0.319672131147541,0.0,8.620549447570439e-07,0.00026285746672272126
correct_high,accessible_rho,0.1,122,1.0,1.0,0.0006453945476774248,0.0,0.5573770491803278,0.0,2.372278918519578e-06,0.0006453945476774248
correct_high,accessible_rho,0.2,122,1.0,1.0,0.001158529746264958,0.0,0.5819672131147541,0.0,6.968414777224798e-06,0.001158529746264958
correct_high,accessible_rho,0.4,122,1.0,1.0,0.002193157584001515,0.0,0.7704918032786885,0.0,2.5043681979124097e-05,0.002193157584001515
correct_high,accessible_rho,0.8,122,1.0,1.0,0.004311352248678846,0.0,0.8442622950819673,0.0,9.362785690382234e-05,0.004311352248678846
correct_high,low_rho,0.025,122,1.0,1.0,7.357608765612422e-05,0.0,0.16393442622950818,0.0,3.569366923208117e-07,7.357608765612422e-05
correct_high,low_rho,0.05,122,1.0,1.0,0.00011405066102365691,0.0,0.1557377049180328,0.0,3.9744881970052945e-07,0.00011405066102365691
correct_high,low_rho,0.1,122,1.0,1.0,0.00014798086639511432,0.0,0.29508196721311475,0.0,8.113795362443516e-07,0.00014798086639511432
correct_high,low_rho,0.2,122,1.0,1.0,0.00047280971974039687,0.0,0.5983606557377049,0.0,2.1129278350156e-06,0.00047280971974039687
correct_high,low_rho,0.4,122,1.0,1.0,0.0008491274565488593,0.0,0.6065573770491803,0.0,6.150718308420046e-06,0.0008491274565488593
correct_high,low_rho,0.8,122,1.0,1.0,0.0016982258766992109,0.0,0.8032786885245902,0.0,2.230705025871416e-05,0.0016982258766992109
correct_high,projected_gradient,0.025,122,1.0,1.0,0.0012983061111063732,0.0,0.7049180327868853,0.0,6.379381873200879e-06,0.0012983061111063732
