model,item_id,task_type,layer,route,rho,rank,objective,correct,confidence,outcome_group
distilgpt2,0,math,3,state_pca,0.8981802996663518,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,0,math,3,delta_pca,0.9087451324652901,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,0,math,3,random,0.8934735783826189,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,0,math,5,state_pca,0.9942306233928989,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,0,math,5,delta_pca,0.9378971900558597,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,0,math,5,random,0.08771372244280227,1,decrease_wrong_confidence,0,0.9744702949846484,wrong_unassigned
distilgpt2,1,math,3,state_pca,0.8857358551198904,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,1,math,3,delta_pca,0.917217750323049,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,1,math,3,random,0.891000271437383,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,1,math,5,state_pca,0.9942760322154551,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,1,math,5,delta_pca,0.9397071564142084,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,1,math,5,random,0.13156436967443122,1,decrease_wrong_confidence,0,0.9613051751259704,wrong_unassigned
distilgpt2,2,math,3,state_pca,0.8960992069697127,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,2,math,3,delta_pca,0.9079781809298493,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,2,math,3,random,0.8844901289795799,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,2,math,5,state_pca,0.9942151458411219,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,2,math,5,delta_pca,0.9297951831733489,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,2,math,5,random,0.00851229282629424,1,decrease_wrong_confidence,0,0.9529228311922765,wrong_unassigned
distilgpt2,3,math,3,state_pca,0.896586851513539,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,3,math,3,delta_pca,0.8959314224696012,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,3,math,3,random,0.8785359878060324,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,3,math,5,state_pca,0.9990004366701903,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,3,math,5,delta_pca,0.9140661104895749,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,3,math,5,random,0.0004994770388093983,1,decrease_wrong_confidence,0,0.9373231726114477,wrong_unassigned
distilgpt2,4,math,3,state_pca,0.9040586043456297,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,4,math,3,delta_pca,0.9043487861809056,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,4,math,3,random,0.8919025163314971,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,4,math,5,state_pca,0.9936760000608538,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,4,math,5,delta_pca,0.9354991954548459,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,4,math,5,random,0.08669309946303119,1,decrease_wrong_confidence,0,0.9726564345935187,wrong_unassigned
distilgpt2,5,math,3,state_pca,0.8900596004089443,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,5,math,3,delta_pca,0.9149106238168752,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,5,math,3,random,0.8927989397418382,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,5,math,5,state_pca,0.9923310885573681,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,5,math,5,delta_pca,0.9353185246411239,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,5,math,5,random,0.09264028941757257,1,increase_correct_confidence,1,0.9692712111130425,correct_unassigned
distilgpt2,6,math,3,state_pca,0.9009951505996148,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,6,math,3,delta_pca,0.9117478361747835,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,6,math,3,random,0.9030661910746923,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,6,math,5,state_pca,0.9707490678612929,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,6,math,5,delta_pca,0.9373605081066729,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,6,math,5,random,0.45529066167512505,1,increase_correct_confidence,1,0.9147575842969976,correct_unassigned
distilgpt2,7,math,3,state_pca,0.8895151970157364,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,7,math,3,delta_pca,0.9184535146356027,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,7,math,3,random,0.9024934548494967,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,7,math,5,state_pca,0.9850738885815248,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,7,math,5,delta_pca,0.9185136923540141,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,7,math,5,random,0.2987291743171705,1,increase_correct_confidence,1,0.8627733125040546,correct_unassigned
distilgpt2,8,math,3,state_pca,0.900367976079514,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,8,math,3,delta_pca,0.9104442623243896,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,8,math,3,random,0.8963224362163509,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,8,math,5,state_pca,0.9570817000625896,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,8,math,5,delta_pca,0.9395910302697714,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,8,math,5,random,0.5927383223143797,1,increase_correct_confidence,1,0.8209459134319109,correct_unassigned
distilgpt2,9,math,3,state_pca,0.8979652097883073,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,9,math,3,delta_pca,0.9054438303300683,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,9,math,3,random,0.8921772573116398,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,9,math,5,state_pca,0.9975005388269704,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,9,math,5,delta_pca,0.868074112101045,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,9,math,5,random,0.06212395491702263,1,increase_correct_confidence,1,0.7803596043476546,correct_unassigned
distilgpt2,10,math,3,state_pca,0.8973816375423513,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,10,math,3,delta_pca,0.911851927513862,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,10,math,3,random,0.8991205856255117,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,10,math,5,state_pca,0.9684673267981666,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,10,math,5,delta_pca,0.9360903936632292,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,10,math,5,random,0.46811585165097186,1,decrease_wrong_confidence,0,0.9232552236514815,wrong_unassigned
distilgpt2,11,math,3,state_pca,0.8907591748670526,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,11,math,3,delta_pca,0.9206765550818157,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,11,math,3,random,0.9098010764748715,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,11,math,5,state_pca,0.9782721744780227,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,11,math,5,delta_pca,0.9186003977115222,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,11,math,5,random,0.3365811110481989,1,decrease_wrong_confidence,0,0.8653994978023747,wrong_unassigned
distilgpt2,12,math,3,state_pca,0.9055570209093668,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,12,math,3,delta_pca,0.8943005794770298,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,12,math,3,random,0.8983824469032581,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,12,math,5,state_pca,0.9915502100542173,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,12,math,5,delta_pca,0.9028560703156863,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,12,math,5,random,0.08249779257856485,1,decrease_wrong_confidence,0,0.8727901536728632,wrong_unassigned
distilgpt2,13,math,3,state_pca,0.9005561589381295,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,13,math,3,delta_pca,0.8927623593409416,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,13,math,3,random,0.8864000140554009,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,13,math,5,state_pca,0.9911838100128779,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,13,math,5,delta_pca,0.9351185109743337,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,13,math,5,random,0.20671428038816364,1,decrease_wrong_confidence,0,0.8888997346216555,wrong_unassigned
distilgpt2,14,math,3,state_pca,0.91973023562749,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,14,math,3,delta_pca,0.8688187473244788,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,14,math,3,random,0.8673335017173471,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,14,math,5,state_pca,0.9836801480007368,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,14,math,5,delta_pca,0.9524570356716121,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,14,math,5,random,0.37978945688872734,1,decrease_wrong_confidence,0,0.8950003149879001,wrong_unassigned
distilgpt2,15,math,3,state_pca,0.9101182506266917,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,15,math,3,delta_pca,0.869689415561913,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,15,math,3,random,0.8720962291234885,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,15,math,5,state_pca,0.9940460786334169,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,15,math,5,delta_pca,0.9134913221615395,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,15,math,5,random,0.09831369835689441,1,decrease_wrong_confidence,0,0.806774309990086,wrong_unassigned
distilgpt2,16,math,3,state_pca,0.9039588281878215,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,16,math,3,delta_pca,0.8976613643806298,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,16,math,3,random,0.9015273878163759,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,16,math,5,state_pca,0.9939159071020717,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,16,math,5,delta_pca,0.9068779923310331,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,16,math,5,random,0.05197732788904448,1,decrease_wrong_confidence,0,0.8672094899445834,wrong_unassigned
distilgpt2,17,math,3,state_pca,0.9159338047773092,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,17,math,3,delta_pca,0.8804862924332174,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,17,math,3,random,0.8834361235989185,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,17,math,5,state_pca,0.9879283380757174,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,17,math,5,delta_pca,0.9254292656555498,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,17,math,5,random,0.16186921302964655,1,increase_correct_confidence,1,0.8858882349003286,correct_unassigned
distilgpt2,18,math,3,state_pca,0.9317284188214974,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,18,math,3,delta_pca,0.8704703280675049,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,18,math,3,random,0.8684483200121056,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,18,math,5,state_pca,0.9985542015540729,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,18,math,5,delta_pca,0.8883845058022652,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,18,math,5,random,0.008444468143224838,1,decrease_wrong_confidence,0,0.8925143344629153,wrong_unassigned
distilgpt2,19,math,3,state_pca,0.9182358692874077,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,19,math,3,delta_pca,0.8846549492818946,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,19,math,3,random,0.8739127591817999,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,19,math,5,state_pca,0.9924872188479104,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,19,math,5,delta_pca,0.9137260773565229,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,19,math,5,random,0.12681520323769988,1,decrease_wrong_confidence,0,0.9168338651365224,wrong_unassigned
distilgpt2,20,math,3,state_pca,0.9334751015148207,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,20,math,3,delta_pca,0.8692060700740747,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,20,math,3,random,0.8611029456210774,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,20,math,5,state_pca,0.989717306676801,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,20,math,5,delta_pca,0.9060284174426082,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,20,math,5,random,0.05035546061945769,1,decrease_wrong_confidence,0,0.9088862819512892,wrong_unassigned
distilgpt2,21,math,3,state_pca,0.9349401816670345,1,decrease_wrong_confidence,0,0.8489738438335375,wrong_unassigned
distilgpt2,21,math,3,delta_pca,0.8545366689130839,1,decrease_wrong_confidence,0,0.8489738438335375,wrong_unassigned
