policy,target_coverage,coverage,selective_risk,answered
confidence,0.25,0.25,0.7037037037037037,54
confidence,0.5,0.5,0.7037037037037037,108
confidence,0.75,0.75,0.7098765432098766,162
confidence,1.0,1.0,0.712962962962963,216
negative_entropy,0.25,0.25,0.7037037037037037,54
negative_entropy,0.5,0.5,0.7037037037037037,108
negative_entropy,0.75,0.75,0.6975308641975309,162
negative_entropy,1.0,1.0,0.712962962962963,216
margin,0.25,0.25,0.7407407407407407,54
margin,0.5,0.5,0.7222222222222222,108
margin,0.75,0.75,0.7160493827160495,162
margin,1.0,1.0,0.712962962962963,216
self_consistency,0.25,1.0,0.712962962962963,216
self_consistency,0.5,1.0,0.712962962962963,216
self_consistency,0.75,1.0,0.712962962962963,216
self_consistency,1.0,1.0,0.712962962962963,216
verbalized_confidence,0.25,0.25,0.7592592592592593,54
verbalized_confidence,0.5,0.5,0.7592592592592593,108
verbalized_confidence,0.75,0.75,0.7222222222222222,162
verbalized_confidence,1.0,1.0,0.712962962962963,216
rho,0.25,0.25,0.5925925925925926,54
rho,0.5,0.5,0.7037037037037037,108
rho,0.75,0.75,0.7160493827160495,162
rho,1.0,1.0,0.712962962962963,216
accessible_policy,0.25,0.25,0.7037037037037037,54
accessible_policy,0.5,0.5,0.7407407407407407,108
accessible_policy,0.75,0.75,0.7098765432098766,162
accessible_policy,1.0,1.0,0.712962962962963,216
