method,eps,n,drift_mean,wrong_confidence_reduction_mean,wrong_confidence_reduced_rate,answer_preserved_rate
low_rho,0.025,298,4.658649949910496e-07,0.00013997610826332698,0.1912751677852349,1.0
random_activation,0.025,298,5.425822630221521e-07,2.789546278016654e-05,0.15771812080536912,1.0
accessible_rho,0.025,298,7.277605418875772e-07,0.00018024654486972414,0.3053691275167785,1.0
random_activation,0.05,298,7.372394213547234e-07,4.0265949146468535e-05,0.2348993288590604,1.0
low_rho,0.05,298,7.507494729751297e-07,0.00014365708441438623,0.19798657718120805,1.0
random_activation,0.1,298,9.397497788952502e-07,5.692341553131994e-05,0.31543624161073824,1.0
wrong_logit_gradient_normed,0.025,298,1.0041366460913402e-06,0.00020149088721196378,0.4697986577181208,1.0
accessible_rho,0.05,298,1.0087654717833384e-06,0.0002955545306045799,0.348993288590604,1.0
standard_delta_pca,0.025,298,1.284313139105829e-06,0.00035989901573625144,0.5771812080536913,1.0
low_rho,0.1,298,1.3461182803986715e-06,0.0003129641401545984,0.37919463087248323,1.0
wrong_logit_gradient_normed,0.05,298,1.5830313818661718e-06,0.0004828194442466057,0.5469798657718121,1.0
random_activation,0.2,298,1.7335713023112748e-06,8.116369560080967e-05,0.35906040268456374,1.0
standard_delta_pca,0.05,298,1.8995940835309506e-06,0.0005665772027944138,0.5503355704697986,1.0
accessible_rho,0.1,298,2.181734423423229e-06,0.0006276860664154807,0.5201342281879194,1.0
low_rho,0.2,298,3.6764662189273888e-06,0.0006396245747346834,0.47651006711409394,1.0
wrong_logit_gradient_normed,0.1,298,3.711560450920823e-06,0.0010203080351223305,0.6677852348993288,1.0
random_activation,0.4,298,4.1227312085699465e-06,0.00014453819657576924,0.4261744966442953,1.0
standard_delta_pca,0.1,298,4.714425550132757e-06,0.0011398637718059098,0.6442953020134228,1.0
accessible_rho,0.2,298,6.6338813511655805e-06,0.0011856376940489362,0.5738255033557047,1.0
projected_gradient,0.025,298,8.434144962557357e-06,0.0016690466469639388,0.674496644295302,1.0
wrong_logit_gradient_normed,0.2,298,1.2050535151125008e-05,0.0020251998201266425,0.8221476510067114,1.0
low_rho,0.4,298,1.2483514018738146e-05,0.0012457113443250097,0.5604026845637584,1.0
random_activation,0.8,298,1.338306939035522e-05,0.0002437134311032001,0.4261744966442953,1.0
standard_delta_pca,0.2,298,1.6383226504748014e-05,0.002291869904336725,0.6040268456375839,1.0
accessible_rho,0.4,298,2.3972116151711164e-05,0.002313518092097219,0.7214765100671141,1.0
projected_gradient,0.05,298,3.225438111910014e-05,0.003375081682581044,0.7986577181208053,1.0
wrong_logit_gradient_normed,0.4,298,4.509247454606226e-05,0.004051530286337839,0.9194630872483222,1.0
low_rho,0.8,298,4.8401798308245714e-05,0.0026405167097107813,0.7516778523489933,1.0
standard_delta_pca,0.4,298,6.448207787155366e-05,0.004660048935096045,0.5671140939597316,1.0
accessible_rho,0.8,298,9.796873345838079e-05,0.004851125162819287,0.8389261744966443,1.0
projected_gradient,0.1,298,0.00013088744375737072,0.00697128346105012,0.9697986577181208,1.0
wrong_logit_gradient_normed,0.8,298,0.00018213848130215754,0.008335285202386149,1.0,1.0
standard_delta_pca,0.8,298,0.00026257976392596413,0.009650756845786155,0.5805369127516778,1.0
projected_gradient,0.2,298,0.0005494521632155022,0.014737693998237501,1.0,1.0
projected_gradient,0.4,298,0.002445764546895149,0.03300554000247754,1.0,1.0
temperature_1.25,0.0,298,0.003472986064147401,0.038932906071422184,1.0,1.0
projected_gradient,0.8,298,0.011797382617626515,0.08133301782954729,1.0,1.0
temperature_1.5,0.0,298,0.012157902539975599,0.0812089169916104,1.0,1.0
temperature_2,0.0,298,0.03684209288237903,0.16497210505009072,1.0,1.0
