method,eps,drift_ci_low,drift_median,drift_ci_high,reduction_ci_low,reduction_median,reduction_ci_high,reduced_rate_ci_low,reduced_rate_median,reduced_rate_ci_high
accessible_rho,0.025,6.112995662647495e-07,7.246864411087324e-07,8.563391285256248e-07,0.00012013543540681287,0.00018327209767085722,0.0002502501868995655,0.2651006711409396,0.3053691275167785,0.34563758389261745
accessible_rho,0.05,8.169463229077374e-07,1.001066076549167e-06,1.2241160440235492e-06,0.00024091694188402242,0.0002941299420925827,0.0003661799556983253,0.2985738255033557,0.3523489932885906,0.40604026845637586
accessible_rho,0.1,1.8293278249084104e-06,2.197473330069533e-06,2.6474397058292975e-06,0.0005443000319740334,0.000632467522671081,0.0007293532957678588,0.4798657718120805,0.5201342281879194,0.5604026845637584
accessible_rho,0.2,5.492323865747822e-06,6.600954829433216e-06,7.952989445162358e-06,0.001054265510701884,0.0011887079912324963,0.0013402231360307236,0.5436241610738255,0.5738255033557047,0.6074664429530201
accessible_rho,0.4,2.0114367840547878e-05,2.4085189615238943e-05,2.8867926868065625e-05,0.0020527941201259827,0.0023278311116671415,0.002662459778987209,0.6845637583892618,0.7214765100671141,0.761744966442953
accessible_rho,0.8,8.169249909236117e-05,9.865101703421692e-05,0.00011827506969601422,0.004333185170553971,0.004868808075535146,0.005517972869976958,0.8053691275167785,0.8389261744966443,0.8758389261744967
low_rho,0.025,3.728275097490564e-07,4.599121736292549e-07,5.68666805026259e-07,9.186850673076277e-05,0.00014292256930210212,0.0001944716509570662,0.15771812080536912,0.1912751677852349,0.22818791946308725
low_rho,0.05,5.837569025895201e-07,7.568818040394306e-07,9.574204123946213e-07,8.970406800975598e-05,0.00014887033026101992,0.00021086827138827412,0.1644295302013423,0.20134228187919462,0.23498322147651007
low_rho,0.1,1.031014511629654e-06,1.3536040665707145e-06,1.6626542877129494e-06,0.00022903189866994294,0.0003132541870143834,0.00038603631434793936,0.3389261744966443,0.37919463087248323,0.4261744966442953
low_rho,0.2,2.512014180436486e-06,3.6787558228956165e-06,4.707339818678247e-06,0.0004890832373018448,0.0006472741940080927,0.0007592132206155462,0.43280201342281877,0.47651006711409394,0.5202181208053691
low_rho,0.4,7.760024383069506e-06,1.2354836637805163e-05,1.673221218907457e-05,0.0009612082348546186,0.001253978405668325,0.0015134670297367427,0.5100671140939598,0.5637583892617449,0.6140939597315436
low_rho,0.8,3.030915683674075e-05,4.8256204903202445e-05,6.304710332915123e-05,0.0020749542143010985,0.0026389039949588798,0.0031118408607545747,0.7114093959731543,0.7516778523489933,0.802013422818792
