metric,group,method,eps,coverage,ci_low,median,ci_high
accuracy,base,none,,,0.4861111111111111,0.5555555555555556,0.6111111111111112
answer_preserved_rate,correct_high,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,accessible_rho,0.05,,0.9666477272727273,0.990290346907994,1.0
answer_preserved_rate,correct_high,accessible_rho,0.1,,0.9666477272727273,0.990290346907994,1.0
answer_preserved_rate,correct_high,accessible_rho,0.2,,0.9488662131519275,0.9805806938159879,1.0
answer_preserved_rate,correct_high,accessible_rho,0.4,,0.9210263157894737,0.9591836734693877,0.9902096949891068
answer_preserved_rate,correct_high,accessible_rho,0.8,,0.830183962264151,0.8989795918367347,0.9528520265548568
answer_preserved_rate,correct_high,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,low_rho,0.05,,0.9666477272727273,0.990290346907994,1.0
answer_preserved_rate,correct_high,low_rho,0.1,,0.9666477272727273,0.990290346907994,1.0
answer_preserved_rate,correct_high,low_rho,0.2,,0.9666477272727273,0.990290346907994,1.0
answer_preserved_rate,correct_high,low_rho,0.4,,0.9375,0.96875,1.0
answer_preserved_rate,correct_high,low_rho,0.8,,0.9375,0.96875,1.0
answer_preserved_rate,correct_high,projected_gradient,0.025,,0.8616873522458629,0.9166666666666666,0.970014705882353
answer_preserved_rate,correct_high,projected_gradient,0.05,,0.8194370567375886,0.8888888888888888,0.9412883631713556
answer_preserved_rate,correct_high,projected_gradient,0.1,,0.7317016711833785,0.7916666666666666,0.8661033163265307
answer_preserved_rate,correct_high,projected_gradient,0.2,,0.5542391304347827,0.6019463340891913,0.6632012622720898
answer_preserved_rate,correct_high,projected_gradient,0.4,,0.5305969387755103,0.5833333333333334,0.6348684210526316
answer_preserved_rate,correct_high,projected_gradient,0.8,,0.5305969387755103,0.5833333333333334,0.6348684210526316
answer_preserved_rate,correct_high,random_activation,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,random_activation,0.05,,0.9632876016260162,0.9905660377358491,1.0
answer_preserved_rate,correct_high,random_activation,0.1,,0.9467494089834515,0.9807692307692307,1.0
answer_preserved_rate,correct_high,random_activation,0.2,,0.9333173076923077,0.9702941176470588,1.0
answer_preserved_rate,correct_high,random_activation,0.4,,0.9333173076923077,0.9702941176470588,1.0
answer_preserved_rate,correct_high,random_activation,0.8,,0.9,0.9479166666666666,0.9886487154150198
answer_preserved_rate,correct_high,standard_delta_pca,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_high,standard_delta_pca,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_high,temperature_1.25,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_high,temperature_1.5,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_high,temperature_2,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.025,,0.9081565520945221,0.9591836734693877,0.991294642857143
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.05,,0.8616873522458629,0.9166666666666666,0.970014705882353
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.1,,0.8194370567375886,0.8888888888888888,0.9412883631713556
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.2,,0.7317016711833785,0.7916666666666666,0.8661033163265307
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.4,,0.5,0.5192307692307693,0.546329365079365
answer_preserved_rate,correct_high,wrong_logit_gradient_normed,0.8,,0.5,0.5,0.5
answer_preserved_rate,correct_low,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.4,,0.9374495967741936,0.9827586206896551,1.0
answer_preserved_rate,correct_low,accessible_rho,0.8,,0.9374495967741936,0.9827586206896551,1.0
answer_preserved_rate,correct_low,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.025,,0.8793103448275862,0.9478221415607986,1.0
answer_preserved_rate,correct_low,projected_gradient,0.05,,0.8461538461538461,0.9090909090909091,0.978304347826087
answer_preserved_rate,correct_low,projected_gradient,0.1,,0.7397692307692307,0.8552631578947368,0.9444444444444444
answer_preserved_rate,correct_low,projected_gradient,0.2,,0.5,0.5745370370370371,0.6617647058823529
answer_preserved_rate,correct_low,projected_gradient,0.4,,0.4230769230769231,0.5161290322580645,0.6111111111111112
answer_preserved_rate,correct_low,projected_gradient,0.8,,0.3331896551724138,0.44381313131313127,0.559138655462185
answer_preserved_rate,correct_low,random_activation,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.4,,0.9047619047619048,0.9655172413793104,1.0
answer_preserved_rate,correct_low,random_activation,0.8,,0.8665,0.9242424242424242,0.9827729885057471
answer_preserved_rate,correct_low,standard_delta_pca,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.8,,0.8999137931034483,0.9666666666666667,1.0
answer_preserved_rate,correct_low,temperature_1.25,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,temperature_1.5,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,temperature_2,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.025,,0.88,0.9491379310344827,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.05,,0.8330882352941177,0.9107142857142857,0.9782608695652174
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.1,,0.7199347826086956,0.8166666666666667,0.9333695652173913
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.2,,0.6187888198757764,0.7407407407407407,0.8698088455772114
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.4,,0.363474025974026,0.42592592592592593,0.4827729885057471
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.8,,0.23809523809523808,0.3287593984962406,0.4289148351648352
answer_preserved_rate,wrong_low,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.8,,0.9451690924657534,0.9736796536796537,1.0
answer_preserved_rate,wrong_low,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.1,,0.9809939207195203,0.9935064935064936,1.0
answer_preserved_rate,wrong_low,low_rho,0.2,,0.9809939207195203,0.9935064935064936,1.0
answer_preserved_rate,wrong_low,low_rho,0.4,,0.9696634062140391,0.987012987012987,1.0
answer_preserved_rate,wrong_low,low_rho,0.8,,0.9590163934426229,0.98,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.025,,0.9477436347673397,0.9738550922761449,0.9931552511415525
