policy,target_coverage,coverage,selective_risk,answered
confidence,0.25,0.25,0.0,54
confidence,0.5,0.5,0.15740740740740744,108
confidence,0.75,0.75,0.3395061728395061,162
confidence,1.0,1.0,0.44907407407407407,216
negative_entropy,0.25,0.25,0.0,54
negative_entropy,0.5,0.5,0.12037037037037035,108
negative_entropy,0.75,0.75,0.32098765432098764,162
negative_entropy,1.0,1.0,0.44907407407407407,216
margin,0.25,0.25,0.0,54
margin,0.5,0.5,0.2222222222222222,108
margin,0.75,0.75,0.3827160493827161,162
margin,1.0,1.0,0.44907407407407407,216
self_consistency,0.25,0.8101851851851852,0.39428571428571424,175
self_consistency,0.5,0.8101851851851852,0.39428571428571424,175
self_consistency,0.75,0.8101851851851852,0.39428571428571424,175
self_consistency,1.0,1.0,0.44907407407407407,216
verbalized_confidence,0.25,0.25,0.40740740740740744,54
verbalized_confidence,0.5,0.5,0.5,108
verbalized_confidence,0.75,0.75,0.48765432098765427,162
verbalized_confidence,1.0,1.0,0.44907407407407407,216
rho,0.25,0.25,0.35185185185185186,54
rho,0.5,0.5,0.35185185185185186,108
rho,0.75,0.75,0.3827160493827161,162
rho,1.0,1.0,0.44907407407407407,216
accessible_policy,0.25,0.25,0.01851851851851849,54
accessible_policy,0.5,0.5,0.2129629629629629,108
accessible_policy,0.75,0.75,0.345679012345679,162
accessible_policy,1.0,1.0,0.44907407407407407,216
