metric,group,method,eps,coverage,ci_low,median,ci_high
accuracy,base,none,,,0.23483796296296297,0.28703703703703703,0.3425925925925926
answer_preserved_rate,correct_low,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,accessible_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,low_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,projected_gradient,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,random_activation,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,standard_delta_pca,0.8,,1.0,1.0,1.0
answer_preserved_rate,correct_low,temperature_1.25,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,temperature_1.5,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,temperature_2,0.0,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.025,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.05,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.1,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.2,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.4,,1.0,1.0,1.0
answer_preserved_rate,correct_low,wrong_logit_gradient_normed,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,accessible_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,low_rho,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,projected_gradient,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,random_activation,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,standard_delta_pca,0.8,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,temperature_1.25,0.0,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,temperature_1.5,0.0,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,temperature_2,0.0,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.025,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.05,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.1,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.2,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.4,,1.0,1.0,1.0
answer_preserved_rate,wrong_low,wrong_logit_gradient_normed,0.8,,1.0,1.0,1.0
confidence_delta,correct_low,accessible_rho,0.025,,0.0,0.0,0.0
confidence_delta,correct_low,accessible_rho,0.05,,0.0,0.0,0.0
confidence_delta,correct_low,accessible_rho,0.1,,0.0,0.0,0.0
confidence_delta,correct_low,accessible_rho,0.2,,0.0,0.0,0.0
confidence_delta,correct_low,accessible_rho,0.4,,0.0,0.0,0.0
confidence_delta,correct_low,accessible_rho,0.8,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.025,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.05,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.1,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.2,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.4,,0.0,0.0,0.0
confidence_delta,correct_low,low_rho,0.8,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.025,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.05,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.1,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.2,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.4,,0.0,0.0,0.0
confidence_delta,correct_low,projected_gradient,0.8,,0.0,0.0,0.0
confidence_delta,correct_low,random_activation,0.025,,0.0,0.0,0.0
confidence_delta,correct_low,random_activation,0.05,,0.0,0.0,0.0
confidence_delta,correct_low,random_activation,0.1,,0.0,0.0,0.0
confidence_delta,correct_low,random_activation,0.2,,0.0,0.0,0.0
