model,item_id,task_type,layer,route,rho,rank,objective,correct,confidence,outcome_group
Qwen/Qwen2.5-1.5B-Instruct,0,math,14,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,0,math,14,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,0,math,14,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,0,math,27,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,0,math,27,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,0,math,27,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,14,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,14,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,14,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,27,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,27,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,1,math,27,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,14,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,14,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,14,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,27,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,27,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,2,math,27,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,14,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,14,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,14,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,27,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,27,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,3,math,27,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,14,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,14,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,14,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,27,state_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,27,delta_pca,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,4,math,27,random,0.0,0,decrease_wrong_confidence,0,0.25,wrong_unassigned
Qwen/Qwen2.5-1.5B-Instruct,5,math,14,state_pca,0.0,0,increase_correct_confidence,1,0.25,correct_unassigned
Qwen/Qwen2.5-1.5B-Instruct,5,math,14,delta_pca,0.0,0,increase_correct_confidence,1,0.25,correct_unassigned
Qwen/Qwen2.5-1.5B-Instruct,5,math,14,random,0.0,0,increase_correct_confidence,1,0.25,correct_unassigned
Qwen/Qwen2.5-1.5B-Instruct,5,math,27,state_pca,0.0,0,increase_correct_confidence,1,0.25,correct_unassigned
