policy,target_coverage,coverage,selective_risk,answered
confidence,0.25,1.0,0.712962962962963,216
confidence,0.5,1.0,0.712962962962963,216
confidence,0.75,1.0,0.712962962962963,216
confidence,1.0,1.0,0.712962962962963,216
negative_entropy,0.25,1.0,0.712962962962963,216
negative_entropy,0.5,1.0,0.712962962962963,216
negative_entropy,0.75,1.0,0.712962962962963,216
negative_entropy,1.0,1.0,0.712962962962963,216
margin,0.25,1.0,0.712962962962963,216
margin,0.5,1.0,0.712962962962963,216
margin,0.75,1.0,0.712962962962963,216
margin,1.0,1.0,0.712962962962963,216
self_consistency,0.25,1.0,0.712962962962963,216
self_consistency,0.5,1.0,0.712962962962963,216
self_consistency,0.75,1.0,0.712962962962963,216
self_consistency,1.0,1.0,0.712962962962963,216
verbalized_confidence,0.25,1.0,0.712962962962963,216
verbalized_confidence,0.5,1.0,0.712962962962963,216
verbalized_confidence,0.75,1.0,0.712962962962963,216
verbalized_confidence,1.0,1.0,0.712962962962963,216
rho,0.25,1.0,0.712962962962963,216
rho,0.5,1.0,0.712962962962963,216
rho,0.75,1.0,0.712962962962963,216
rho,1.0,1.0,0.712962962962963,216
accessible_policy,0.25,1.0,0.712962962962963,216
accessible_policy,0.5,1.0,0.712962962962963,216
accessible_policy,0.75,1.0,0.712962962962963,216
accessible_policy,1.0,1.0,0.712962962962963,216
