model,item_id,task_type,layer,method,eps,objective,correct_before,pred_before,pred_after,gold,answer_preserved,correct_after,confidence_before,confidence_after,same_answer_confidence_after,gold_probability_before,gold_probability_after,wrong_confidence_reduced,correct_confidence_increased,overcorrection,semantic_drift_proxy,p_after_A,p_after_B,p_after_C,p_after_D,outcome_group
distilgpt2,0,math,3,accessible_rho,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9492823726656496,0.9492823726656496,0.002505924742807563,0.0025047935148664086,1,0,0,8.563887719359426e-07,0.9492823726656496,0.0025047935148664086,0.019095568681758095,0.02911726513772582,wrong_high
distilgpt2,0,math,3,accessible_rho,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9492823726656496,0.9492823726656496,0.002505924742807563,0.0025047935148664086,1,0,0,8.563887719359426e-07,0.9492823726656496,0.0025047935148664086,0.019095568681758095,0.02911726513772582,wrong_high
distilgpt2,0,math,3,accessible_rho,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9473090938816923,0.9473090938816923,0.002505924742807563,0.0025789321879611184,1,0,0,1.6304219165248583e-05,0.9473090938816923,0.0025789321879611184,0.019660773005248988,0.030451200925097694,wrong_high
distilgpt2,0,math,3,accessible_rho,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.945299296972398,0.945299296972398,0.002505924742807563,0.002613986873885746,1,0,0,5.2787281293965654e-05,0.945299296972398,0.002613986873885746,0.02024183684924479,0.031844879304471246,wrong_high
distilgpt2,0,math,3,low_rho,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9499924642038174,0.9499924642038174,0.002505924742807563,0.0025066671751501975,0,0,0,5.675937498404049e-07,0.9499924642038174,0.0025066671751501975,0.018813581931156422,0.02868728668987586,wrong_high
distilgpt2,0,math,3,low_rho,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9500293845045996,0.9500293845045996,0.002505924742807563,0.0024679008109274904,0,0,0,6.404305283124862e-07,0.9500293845045996,0.0024679008109274904,0.01881431309811812,0.028688401586354644,wrong_high
distilgpt2,0,math,3,low_rho,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9495634903216187,0.9495634903216187,0.002505924742807563,0.002505535276961504,1,0,0,1.4574149358139219e-06,0.9495634903216187,0.002505535276961504,0.01880508656347386,0.029125887837945945,wrong_high
distilgpt2,0,math,3,low_rho,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9491650106614044,0.9491650106614044,0.002505924742807563,0.00246565541837084,1,0,0,4.167757590073915e-06,0.9491650106614044,0.00246565541837084,0.018797195101154077,0.02957213881907081,wrong_high
distilgpt2,0,math,3,projected_gradient,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9462263754491153,0.9462263754491153,0.002505924742807563,0.002616550475675108,1,0,0,3.133153771001551e-05,0.9462263754491153,0.002616550475675108,0.020261688520913503,0.03089538555429589,wrong_high
distilgpt2,0,math,3,projected_gradient,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9425102190062469,0.9425102190062469,0.002505924742807563,0.0027313521010822583,1,0,0,0.0001294864481286009,0.9425102190062469,0.0027313521010822583,0.021483748416681474,0.03327468047598935,wrong_high
distilgpt2,0,math,3,projected_gradient,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9343289159901736,0.9343289159901736,0.002505924742807563,0.0029737641314372186,1,0,0,0.0005525914590138437,0.9343289159901736,0.0029737641314372186,0.024132959847785896,0.03856436003060319,wrong_high
distilgpt2,0,math,3,projected_gradient,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9148559400292803,0.9148559400292803,0.002505924742807563,0.0035122842535241037,1,0,0,0.002460178375572993,0.9148559400292803,0.0035122842535241037,0.030819315199450203,0.050812460517745316,wrong_high
distilgpt2,0,math,3,random_activation,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.950452119414003,0.950452119414003,0.002505924742807563,0.0024689989536194326,0,0,0,1.4473054984463118e-06,0.950452119414003,0.0024689989536194326,0.018822684909635474,0.028256196722742093,wrong_high
distilgpt2,0,math,3,random_activation,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9500293845045996,0.9500293845045996,0.002505924742807563,0.0024679008109274904,0,0,0,6.404305283124862e-07,0.9500293845045996,0.0024679008109274904,0.01881431309811812,0.028688401586354644,wrong_high
distilgpt2,0,math,3,random_activation,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.949711092533228,0.949711092533228,0.002505924742807563,0.002505924742807563,0,0,0,0.0,0.949711092533228,0.002505924742807563,0.01910419272230947,0.02867879000165489,wrong_high
distilgpt2,0,math,3,random_activation,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.950452119414003,0.950452119414003,0.002505924742807563,0.0024689989536194326,0,0,0,1.4473054984463118e-06,0.950452119414003,0.0024689989536194326,0.018822684909635474,0.028256196722742093,wrong_high
distilgpt2,0,math,3,standard_delta_pca,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9492823726656496,0.9492823726656496,0.002505924742807563,0.0025047935148664086,1,0,0,8.563887719359426e-07,0.9492823726656496,0.0025047935148664086,0.019095568681758095,0.02911726513772582,wrong_high
distilgpt2,0,math,3,standard_delta_pca,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9492823726656496,0.9492823726656496,0.002505924742807563,0.0025047935148664086,1,0,0,8.563887719359426e-07,0.9492823726656496,0.0025047935148664086,0.019095568681758095,0.02911726513772582,wrong_high
distilgpt2,0,math,3,standard_delta_pca,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.9473090938816923,0.9473090938816923,0.002505924742807563,0.0025789321879611184,1,0,0,1.6304219165248583e-05,0.9473090938816923,0.0025789321879611184,0.019660773005248988,0.030451200925097694,wrong_high
distilgpt2,0,math,3,standard_delta_pca,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.949711092533228,0.945299296972398,0.945299296972398,0.002505924742807563,0.002613986873885746,1,0,0,5.2787281293965654e-05,0.945299296972398,0.002613986873885746,0.02024183684924479,0.031844879304471246,wrong_high
distilgpt2,0,math,3,temperature_1.25,0.0,temperature_rescale,0,A,A,B,1,0,0.949711092533228,0.8981508669604354,0.8981508669604354,0.002505924742807563,0.007770527547360238,1,0,0,0.004926864251818112,0.8981508669604354,0.007770527547360238,0.03946199502544648,0.05461661046675788,wrong_high
distilgpt2,0,math,3,temperature_1.5,0.0,temperature_rescale,0,A,A,B,1,0,0.949711092533228,0.8403137995360974,0.8403137995360974,0.002505924742807563,0.016045718592351176,1,0,0,0.017029612446379752,0.8403137995360974,0.016045718592351176,0.06215359910692088,0.08148688276463055,wrong_high
distilgpt2,0,math,3,temperature_2,0.0,temperature_rescale,0,A,A,B,1,0,0.949711092533228,0.7315441031042296,0.7315441031042296,0.002505924742807563,0.037577576768749274,1,0,0,0.04913551873765219,0.7315441031042296,0.037577576768749274,0.1037550165226802,0.12712330360434101,wrong_high
distilgpt2,0,math,5,accessible_rho,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996365780263013,0.9996365780263013,7.482462708794785e-05,7.482462708794785e-05,0,0,0,0.0,0.9996365780263013,7.482462708794785e-05,0.00014880653953732402,0.00013979080707343213,wrong_high
distilgpt2,0,math,5,accessible_rho,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996365780263013,0.9996365780263013,7.482462708794785e-05,7.482462708794785e-05,0,0,0,0.0,0.9996365780263013,7.482462708794785e-05,0.00014880653953732402,0.00013979080707343213,wrong_high
distilgpt2,0,math,5,accessible_rho,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996317540295354,0.9996317540295354,7.482462708794785e-05,7.96500165527496e-05,1,0,0,3.769222195729351e-08,0.9996317540295354,7.96500165527496e-05,0.00014880582143408404,0.00013979013247786805,wrong_high
distilgpt2,0,math,5,accessible_rho,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996317540295354,0.9996317540295354,7.482462708794785e-05,7.96500165527496e-05,1,0,0,3.769222195729351e-08,0.9996317540295354,7.96500165527496e-05,0.00014880582143408404,0.00013979013247786805,wrong_high
distilgpt2,0,math,5,low_rho,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996365780263013,0.9996365780263013,7.482462708794785e-05,7.482462708794785e-05,0,0,0,0.0,0.9996365780263013,7.482462708794785e-05,0.00014880653953732402,0.00013979080707343213,wrong_high
distilgpt2,0,math,5,low_rho,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996365780263013,0.9996365780263013,7.482462708794785e-05,7.482462708794785e-05,0,0,0,0.0,0.9996365780263013,7.482462708794785e-05,0.00014880653953732402,0.00013979080707343213,wrong_high
distilgpt2,0,math,5,low_rho,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996455905635047,0.9996455905635047,7.482462708794785e-05,7.482530169284946e-05,0,0,0,7.041410832080856e-08,0.9996455905635047,7.482530169284946e-05,0.00013979206740131242,0.00013979206740131242,wrong_high
distilgpt2,0,math,5,low_rho,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996227417418222,0.9996227417418222,7.482462708794785e-05,7.96492984594491e-05,1,0,0,1.0809448253980263e-07,0.9996227417418222,7.96492984594491e-05,0.00014880447985917832,0.00014880447985917832,wrong_high
distilgpt2,0,math,5,projected_gradient,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996317540295354,0.9996317540295354,7.482462708794785e-05,7.96500165527496e-05,1,0,0,3.769222195729351e-08,0.9996317540295354,7.96500165527496e-05,0.00014880582143408404,0.00013979013247786805,wrong_high
distilgpt2,0,math,5,projected_gradient,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996080135145318,0.9996080135145318,7.482462708794785e-05,8.478498764453127e-05,1,0,0,3.0085077207791273e-07,0.9996080135145318,8.478498764453127e-05,0.0001583992104178365,0.000148802287405856,wrong_high
distilgpt2,0,math,5,projected_gradient,0.2,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9995984204454479,0.9995984204454479,7.482462708794785e-05,8.478417397734098e-05,1,0,0,5.209790644034977e-07,0.9995984204454479,8.478417397734098e-05,0.00015839769028739754,0.00015839769028739754,wrong_high
distilgpt2,0,math,5,projected_gradient,0.4,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.999561662274821,0.999561662274821,7.482462708794785e-05,9.024896456119553e-05,1,0,0,1.7532734837187043e-06,0.999561662274821,9.024896456119553e-05,0.00017948149741385395,0.00016860726320389746,wrong_high
distilgpt2,0,math,5,random_activation,0.05,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996365780263013,0.9996365780263013,7.482462708794785e-05,7.482462708794785e-05,0,0,0,0.0,0.9996365780263013,7.482462708794785e-05,0.00014880653953732402,0.00013979080707343213,wrong_high
distilgpt2,0,math,5,random_activation,0.1,decrease_wrong_confidence,0,A,A,B,1,0,0.9996365780263013,0.9996317540295354,0.9996317540295354,7.482462708794785e-05,7.96500165527496e-05,1,0,0,3.769222195729351e-08,0.9996317540295354,7.96500165527496e-05,0.00014880582143408404,0.00013979013247786805,wrong_high
