outcome_group,method,eps,n,answer_preserved_rate,correct_after_rate,confidence_delta,wrong_confidence_reduced_rate,correct_confidence_increased_rate,overcorrection_rate,semantic_drift_proxy_mean,gold_probability_delta
correct_high,accessible_rho,0.05,122,1.0,1.0,0.00026285746672272126,0.0,0.319672131147541,0.0,8.620549447570439e-07,0.00026285746672272126
correct_high,accessible_rho,0.1,122,1.0,1.0,0.0006453945476774248,0.0,0.5573770491803278,0.0,2.372278918519578e-06,0.0006453945476774248
correct_high,accessible_rho,0.2,122,1.0,1.0,0.001158529746264958,0.0,0.5819672131147541,0.0,6.968414777224798e-06,0.001158529746264958
correct_high,accessible_rho,0.4,122,1.0,1.0,0.002193157584001515,0.0,0.7704918032786885,0.0,2.5043681979124097e-05,0.002193157584001515
correct_high,low_rho,0.05,122,1.0,1.0,4.8161383102818256e-05,0.0,0.20491803278688525,0.0,5.211503214519049e-07,4.8161383102818256e-05
correct_high,low_rho,0.1,122,1.0,1.0,0.0002205609311011214,0.0,0.3114754098360656,0.0,8.753046901366559e-07,0.0002205609311011214
correct_high,low_rho,0.2,122,1.0,1.0,0.00037625665887552895,0.0,0.5819672131147541,0.0,1.5868838585558153e-06,0.00037625665887552895
correct_high,low_rho,0.4,122,1.0,1.0,0.000683048280612053,0.0,0.680327868852459,0.0,4.733797359395039e-06,0.000683048280612053
correct_high,projected_gradient,0.05,122,1.0,1.0,0.0024950649267545533,0.0,0.8524590163934426,0.0,2.2564261324456804e-05,0.0024950649267545533
correct_high,projected_gradient,0.1,122,1.0,1.0,0.004844801891003336,0.0,0.9672131147540983,0.0,8.532362611230414e-05,0.004844801891003336
correct_high,projected_gradient,0.2,122,1.0,1.0,0.00908371676773223,0.0,1.0,0.0,0.000314626930401032,0.00908371676773223
correct_high,projected_gradient,0.4,122,1.0,1.0,0.016237735935337394,0.0,1.0,0.0,0.0011153133454487917,0.016237735935337394
correct_high,random_activation,0.05,122,1.0,1.0,2.386869167381178e-05,0.0,0.20491803278688525,0.0,4.947795368706956e-07,2.386869167381178e-05
correct_high,random_activation,0.1,122,1.0,1.0,-3.8927660453880186e-05,0.0,0.2540983606557377,0.0,6.035053746595148e-07,-3.8927660453880186e-05
correct_high,random_activation,0.2,122,1.0,1.0,-2.171663140315694e-05,0.0,0.3770491803278688,0.0,1.4327246982488308e-06,-2.171663140315694e-05
correct_high,random_activation,0.4,122,1.0,1.0,-2.285556211611972e-05,0.0,0.38524590163934425,0.0,3.302446826336845e-06,-2.285556211611972e-05
correct_high,standard_delta_pca,0.05,122,1.0,1.0,-0.00042911077231244654,0.0,0.22950819672131148,0.0,1.329465921651459e-06,-0.00042911077231244654
correct_high,standard_delta_pca,0.1,122,1.0,1.0,-0.0008494023470683176,0.0,0.21311475409836064,0.0,3.4601754826203226e-06,-0.0008494023470683176
correct_high,standard_delta_pca,0.2,122,1.0,1.0,-0.0017927253528735587,0.0,0.23770491803278687,0.0,1.2693883068871972e-05,-0.0017927253528735587
correct_high,standard_delta_pca,0.4,122,1.0,1.0,-0.003682982278068514,0.0,0.22950819672131148,0.0,4.9259755406509125e-05,-0.003682982278068514
correct_high,temperature_1.25,0.0,122,1.0,1.0,-0.03527591922763318,0.0,0.0,0.0,0.003305511479328931,-0.03527591922763318
correct_high,temperature_1.5,0.0,122,1.0,1.0,-0.07515681363931914,0.0,0.0,0.0,0.011734471986571078,-0.07515681363931914
correct_high,temperature_2,0.0,122,1.0,1.0,-0.15694615449780502,0.0,0.0,0.0,0.036192091362054965,-0.15694615449780502
correct_mid,accessible_rho,0.05,2,1.0,1.0,9.204567512566264e-05,0.0,0.5,0.0,1.9040389231039442e-07,9.204567512566264e-05
correct_mid,accessible_rho,0.1,2,1.0,1.0,0.0005706082971153048,0.0,0.5,0.0,1.437877805986597e-06,0.0005706082971153048
correct_mid,accessible_rho,0.2,2,1.0,1.0,0.0010537110051302978,0.0,0.5,0.0,4.592972327348559e-06,0.0010537110051302978
correct_mid,accessible_rho,0.4,2,1.0,1.0,0.002538702002856552,0.0,0.5,0.0,2.694374295306466e-05,0.002538702002856552
correct_mid,low_rho,0.05,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_mid,low_rho,0.1,2,1.0,1.0,8.091972640722478e-05,0.0,0.5,0.0,1.676499279633122e-07,8.091972640722478e-05
correct_mid,low_rho,0.2,2,1.0,1.0,-0.0003233727512450546,0.0,0.0,0.0,9.86599774207215e-07,-0.0003233727512450546
correct_mid,low_rho,0.4,2,1.0,1.0,0.00040142288293920636,0.0,1.0,0.0,2.760190231379708e-06,0.00040142288293920636
correct_mid,projected_gradient,0.05,2,1.0,1.0,0.0023886370346941632,0.0,0.5,0.0,2.3321690876184674e-05,0.0023886370346941632
correct_mid,projected_gradient,0.1,2,1.0,1.0,0.004647053758710551,0.0,1.0,0.0,7.959423482363354e-05,0.004647053758710551
correct_mid,projected_gradient,0.2,2,1.0,1.0,0.008473996529874017,0.0,1.0,0.0,0.0002851213469709746,0.008473996529874017
correct_mid,projected_gradient,0.4,2,1.0,1.0,0.015128828804291894,0.0,1.0,0.0,0.0010075229609797802,0.015128828804291894
correct_mid,random_activation,0.05,2,1.0,1.0,-0.0004041521891930966,0.0,0.0,0.0,8.0013782418134e-07,-0.0004041521891930966
correct_mid,random_activation,0.1,2,1.0,1.0,-0.0004041521891930966,0.0,0.0,0.0,8.0013782418134e-07,-0.0004041521891930966
correct_mid,random_activation,0.2,2,1.0,1.0,9.204567512566264e-05,0.0,0.5,0.0,1.9040389231039442e-07,9.204567512566264e-05
correct_mid,random_activation,0.4,2,1.0,1.0,-0.0006428092556380882,0.0,0.0,0.0,3.990975652701913e-06,-0.0006428092556380882
correct_mid,standard_delta_pca,0.05,2,1.0,1.0,-0.0004974481725259494,0.0,0.0,0.0,9.71570466540388e-07,-0.0004974481725259494
correct_mid,standard_delta_pca,0.1,2,1.0,1.0,-0.0009902182345848942,0.0,0.0,0.0,3.847487134118578e-06,-0.0009902182345848942
correct_mid,standard_delta_pca,0.2,2,1.0,1.0,-0.0015130736092068275,0.0,0.5,0.0,1.0498123674298738e-05,-0.0015130736092068275
correct_mid,standard_delta_pca,0.4,2,1.0,1.0,-0.0027206772352399433,0.0,0.0,0.0,2.885905631106828e-05,-0.0027206772352399433
correct_mid,temperature_1.25,0.0,2,1.0,1.0,-0.037525785821431956,0.0,0.0,0.0,0.00371679326623937,-0.037525785821431956
correct_mid,temperature_1.5,0.0,2,1.0,1.0,-0.08233411382377531,0.0,0.0,0.0,0.013454891693132463,-0.08233411382377531
correct_mid,temperature_2,0.0,2,1.0,1.0,-0.1764439157886033,0.0,0.0,0.0,0.04191623095288721,-0.1764439157886033
wrong_high,accessible_rho,0.05,298,1.0,0.0,-0.00029555453060459147,0.348993288590604,0.0,0.0,1.0087654717833384e-06,8.790602780072918e-05
wrong_high,accessible_rho,0.1,298,1.0,0.0,-0.0006276860664155004,0.5201342281879194,0.0,0.0,2.181734423423229e-06,0.00017421214718411557
wrong_high,accessible_rho,0.2,298,1.0,0.0,-0.0011856376940491131,0.5738255033557047,0.0,0.0,6.6338813511655805e-06,0.00030126828026448386
wrong_high,accessible_rho,0.4,298,1.0,0.0,-0.002313518092097233,0.7214765100671141,0.0,0.0,2.3972116151711164e-05,0.0005667069587430833
wrong_high,low_rho,0.05,298,1.0,0.0,-0.0001503103754830759,0.2651006711409396,0.0,0.0,6.718227391459437e-07,4.321492554044612e-05
wrong_high,low_rho,0.1,298,1.0,0.0,-0.0002915823380811311,0.34563758389261745,0.0,0.0,9.690142105116287e-07,6.1842078723999e-05
wrong_high,low_rho,0.2,298,1.0,0.0,-0.0005520678156619718,0.5503355704697986,0.0,0.0,2.271860161465935e-06,9.390654373964656e-05
wrong_high,low_rho,0.4,298,1.0,0.0,-0.0009607012848619201,0.6778523489932886,0.0,0.0,6.4408245186257765e-06,0.00017238547097068666
wrong_high,projected_gradient,0.05,298,1.0,0.0,-0.003375081682580938,0.7986577181208053,0.0,0.0,3.225438111910014e-05,0.0008108900033774475
wrong_high,projected_gradient,0.1,298,1.0,0.0,-0.006971283461050026,0.9697986577181208,0.0,0.0,0.00013088744375737072,0.0016485855927464692
wrong_high,projected_gradient,0.2,298,1.0,0.0,-0.014737693998237544,1.0,0.0,0.0,0.0005494521632155022,0.0034776191211689667
wrong_high,projected_gradient,0.4,298,1.0,0.0,-0.033005540002477574,1.0,0.0,0.0,0.002445764546895149,0.007781647960933365
wrong_high,random_activation,0.05,298,1.0,0.0,2.3598496482479803e-06,0.20469798657718122,0.0,0.0,6.19813206717417e-07,3.050997350920355e-05
wrong_high,random_activation,0.1,298,1.0,0.0,1.673669562707314e-05,0.27181208053691275,0.0,0.0,9.570964034555583e-07,-8.906493898751255e-06
wrong_high,random_activation,0.2,298,1.0,0.0,1.945180251983203e-05,0.3624161073825503,0.0,0.0,1.64510126694767e-06,6.483536855039426e-06
wrong_high,random_activation,0.4,298,1.0,0.0,9.52257142148305e-05,0.412751677852349,0.0,0.0,4.396319700659304e-06,-1.2647416715421897e-05
wrong_high,standard_delta_pca,0.05,298,1.0,0.0,-0.0005665772027944049,0.5503355704697986,0.0,0.0,1.8995940835309506e-06,0.00014430768908195793
wrong_high,standard_delta_pca,0.1,298,1.0,0.0,-0.0011398637718057492,0.6442953020134228,0.0,0.0,4.714425550132757e-06,0.0002654632640005372
wrong_high,standard_delta_pca,0.2,298,1.0,0.0,-0.0022918699043367186,0.6040268456375839,0.0,0.0,1.6383226504748014e-05,0.0005331487306896032
wrong_high,standard_delta_pca,0.4,298,1.0,0.0,-0.004660048935096084,0.5671140939597316,0.0,0.0,6.448207787155366e-05,0.001048539706073933
wrong_high,temperature_1.25,0.0,298,1.0,0.0,-0.03893290607142219,1.0,0.0,0.0,0.003472986064147401,0.010660489242888095
wrong_high,temperature_1.5,0.0,298,1.0,0.0,-0.08120891699161026,1.0,0.0,0.0,0.012157902539975599,0.022966230667774395
wrong_high,temperature_2,0.0,298,1.0,0.0,-0.16497210505009063,1.0,0.0,0.0,0.03684209288237903,0.048890347138136066
wrong_mid,accessible_rho,0.05,10,1.0,0.0,0.00038249415179780755,0.3,0.0,0.0,4.605696833794974e-06,-7.102021232148134e-05
wrong_mid,accessible_rho,0.1,10,1.0,0.0,-7.263755362374447e-05,0.4,0.0,0.0,5.671712573419522e-06,-6.507326538843922e-05
wrong_mid,accessible_rho,0.2,10,1.0,0.0,-0.0009079825212854331,0.5,0.0,0.0,3.2059765802699973e-06,2.7728961699818172e-05
wrong_mid,accessible_rho,0.4,10,1.0,0.0,-0.0018037150020460135,0.6,0.0,0.0,2.8377993910159005e-05,0.00013642935822711158
wrong_mid,low_rho,0.05,10,1.0,0.0,4.913734013467508e-05,0.1,0.0,0.0,5.278812250298234e-07,9.89359346040275e-06
wrong_mid,low_rho,0.1,10,1.0,0.0,-3.877923394302041e-05,0.2,0.0,0.0,8.250787356102159e-07,-7.528142163950452e-06
wrong_mid,low_rho,0.2,10,1.0,0.0,-0.0005637852943783939,0.5,0.0,0.0,2.762707095816603e-06,0.0001786525013794983
wrong_mid,low_rho,0.4,10,1.0,0.0,-0.0002555848394236726,0.5,0.0,0.0,1.2806619481557112e-05,0.0002976702666983577
wrong_mid,projected_gradient,0.05,10,1.0,0.0,-0.0039111317414670665,0.7,0.0,0.0,3.42702001332676e-05,0.0008506065488865025
wrong_mid,projected_gradient,0.1,10,1.0,0.0,-0.009253505183450805,1.0,0.0,0.0,0.00015737664236119877,0.002047913265214033
wrong_mid,projected_gradient,0.2,10,1.0,0.0,-0.02107333625554897,1.0,0.0,0.0,0.0007147161059410268,0.004794172307110486
wrong_mid,projected_gradient,0.4,10,1.0,0.0,-0.04691785728683873,1.0,0.0,0.0,0.003165885192992282,0.010663236398715543
