model,item_id,task_type,layer,route,rho,rank,objective,correct,confidence,outcome_group
Qwen/Qwen2.5-0.5B,0,math,12,state_pca,0.016083171813197305,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,0,math,12,delta_pca,0.6757912314115831,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,0,math,12,random,0.7136623338153768,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,0,math,23,state_pca,0.10545424400314668,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,0,math,23,delta_pca,0.5779034450802197,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,0,math,23,random,0.14892423627817095,1,decrease_wrong_confidence,0,0.39335513279138107,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,12,state_pca,0.03137188962793208,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,12,delta_pca,0.13123280825871111,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,12,random,0.1698536903792672,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,23,state_pca,0.0908567924091576,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,23,delta_pca,0.5839986946512934,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,1,math,23,random,0.18620261416636769,1,decrease_wrong_confidence,0,0.38060433002680616,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,12,state_pca,0.0028983460609539958,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,12,delta_pca,0.5340690819746418,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,12,random,0.6303820382372323,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,23,state_pca,0.11803152195068356,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,23,delta_pca,0.1451271314309477,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,2,math,23,random,0.3180431401432515,1,decrease_wrong_confidence,0,0.29918629851449446,wrong_unassigned
Qwen/Qwen2.5-0.5B,3,math,12,state_pca,0.012598930188058032,1,decrease_wrong_confidence,0,0.3952915374399903,wrong_unassigned
