subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
delta_forward_1d,1,0,correct,183,0.07355708137547189,0.06123956283268803,0.01231751854278385,0.005464976521173656,0.368680957091525,0.09435345337177026
delta_forward_1d,1,0,error,137,0.06883587266486933,0.06476838072878552,0.004067491936083812,-0.011122889882593072,0.24095736395245412,0.09911872745514277
delta_forward_1d,1,1,correct,183,0.14644826264338107,0.09243086576397222,0.05401739687940884,-0.008141214714810864,0.5109844215416117,0.0634635716677622
delta_forward_1d,1,1,error,137,0.1064751766057759,0.06900786442585599,0.03746731217991991,-0.0035629164677418584,0.6284864370380172,0.05416845496725804
delta_forward_1d,1,2,correct,183,0.07204765867864575,0.08918988788826723,-0.01714222920962147,-0.029850519534328383,-0.005486638326919476,0.03266810457212139
delta_forward_1d,1,2,error,137,0.0950171965558012,0.09705854948990399,-0.002041352934102796,-0.03231642990572976,-0.07372157576880882,0.028786672021107653
delta_forward_1d,1,3,correct,183,0.11268444401796038,0.10295983280571624,0.009724611212244126,-0.016140804996024362,0.033464740982266414,0.039361132062212506
delta_forward_1d,1,3,error,137,0.1559897658814788,0.1009555479158597,0.05503421796561912,0.0066414220899629894,0.5587498078850128,0.02858850677369439
delta_forward_1d,1,4,correct,183,0.08526325573095753,0.08097573545044663,0.0042875202805109005,-0.02404361579747687,0.035076497593437714,0.026145659229276922
delta_forward_1d,1,4,error,137,0.15564719150185263,0.09550355522757768,0.06014363627427496,0.014398375311836645,0.4665092591425399,0.023618038466684265
delta_forward_1d,1,5,correct,183,0.46987949500572246,0.15069170472769342,0.31918779027802907,0.359736983399743,2.1024382938154367,0.008885691009093574
delta_forward_1d,1,5,error,137,0.14829081993010784,0.10401183517793595,0.04427898475217189,-0.005300523253853814,0.5508064627725594,0.002386011215693845
delta_pca,1,0,correct,183,0.06327929805109249,0.06123956283268803,0.00203973521840446,-0.050274249591147936,-0.019336512401853998,0.13761615169343386
delta_pca,1,0,error,137,0.05638233532204237,0.06476838072878552,-0.008386045406743148,-0.050274249591147936,-0.16004128896936412,0.13575574590003048
delta_pca,1,1,correct,183,0.08868400059041014,0.09243086576397222,-0.0037468651735620877,-0.03290171816108796,-0.07797515567880169,0.05437356391347582
delta_pca,1,1,error,137,0.07467783044429845,0.06900786442585599,0.005669966018442453,-0.019156913697747188,0.08117159765323913,0.05845947770912256
delta_pca,1,2,correct,183,0.09654899874592154,0.08918988788826723,0.00735911085765432,0.01887740487963277,0.23154216926483126,0.0431769370037145
delta_pca,1,2,error,137,0.057029862534631416,0.09705854948990399,-0.04002868695527257,-0.04004851373483287,-0.3399690531335181,0.03381814910914221
delta_pca,1,3,correct,183,0.0824738454575231,0.10295983280571624,-0.02048598734819314,-0.03354792375232882,-0.04488712435154132,0.0536866456483964
delta_pca,1,3,error,137,0.101689655214844,0.1009555479158597,0.0007341072989842976,-0.028863786422338736,-0.08334911964494379,0.03302892515703758
delta_pca,1,4,correct,183,0.06846605292133802,0.08097573545044663,-0.012509682529108617,-0.026579284931796964,-0.24703403953302108,0.016452085738477746
delta_pca,1,4,error,137,0.08915979194270054,0.09550355522757768,-0.006343763284877138,-0.025779606875466543,-0.058988021265808016,0.013623148029434849
delta_pca,1,5,correct,183,0.24808361990325886,0.15069170472769342,0.09739191517556543,0.02004073637245056,0.521674547713263,0.009470733434637462
delta_pca,1,5,error,137,0.10882657465014195,0.10401183517793595,0.004814739472205994,-0.024149565735457,0.08966330098898832,0.011769256181174302
delta_pca,2,0,correct,183,0.14318086937879448,0.1147598313923297,0.028421037986464785,0.05543992412826307,0.35857237799822306,0.2648763201310915
delta_pca,2,0,error,137,0.14036191985806437,0.12034011605967496,0.02002180379838942,0.005550711168195194,0.24075316879479372,0.2595995909794327
delta_pca,2,1,correct,183,0.1462759747814191,0.16085793120492578,-0.014581956423506707,-0.01989132776534233,-0.13930562345969344,0.11043883062010754
delta_pca,2,1,error,137,0.12704924024379485,0.12974976806230018,-0.002700527818505343,-0.014873461707471086,-0.01917574518460002,0.1116584948594415
delta_pca,2,2,correct,183,0.12756663115199138,0.21370461771651975,-0.08613798656452837,-0.07887706799814875,-0.5484494728079884,0.06778899359926296
delta_pca,2,2,error,137,0.12730809670811868,0.17972921813803672,-0.05242112142991805,-0.07098131034806468,-0.400548263649487,0.05909671656263207
delta_pca,2,3,correct,183,0.3518267799553617,0.20597960081116376,0.14584717914419795,0.16300533741058665,1.172160561694299,0.11053673296963523
