subspace,k,layer,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_std,error_minus_correct_adjusted
delta_forward_1d,1,0,320,0.07153581389624517,0.06275033799445477,0.008785475901790397,0.06445638860382039,-0.008250026606700041
delta_forward_1d,1,1,320,0.12933478518353136,0.08240289331609121,0.04693189186744014,0.12663114156124566,-0.01655008469948893
delta_forward_1d,1,2,320,0.08188149208230291,0.09255865863646796,-0.010677166554165039,0.10257034118349191,0.015100876275518678
delta_forward_1d,1,3,320,0.1312245349407792,0.10210174833724642,0.029122786603532798,0.1267631835471356,0.045309606753375004
delta_forward_1d,1,4,320,0.115396378232872,0.08719545829253086,0.02820091994034114,0.11884379952458313,0.055856115993764055
delta_forward_1d,1,5,320,0.33219934348897495,0.1307068855767035,0.20149245791227144,0.30251294034815424,-0.27490880552585717
delta_pca,1,0,320,0.06032653588271791,0.06275033799445477,-0.002423802111736859,0.08520019897751,-0.01042578062514761
delta_pca,1,1,320,0.08268760899660607,0.08240289331609121,0.0002847156805148559,0.09084064077467789,0.009416831192004538
delta_pca,1,2,320,0.07962986855546296,0.09255865863646796,-0.012928790081005007,0.0946442034660332,-0.0473877978129269
delta_pca,1,3,320,0.09070061400987611,0.10210174833724642,-0.011401134327370301,0.12565468151663894,0.02122009464717744
delta_pca,1,4,320,0.07732555993985885,0.08719545829253086,-0.009869898352672015,0.0779287915423739,0.0061659192442314785
delta_pca,1,5,320,0.18846419740426817,0.1307068855767035,0.057757311827564675,0.19449101044185207,-0.09257717570335942
delta_pca,2,0,320,0.1419740066152319,0.11714889076553689,0.024825115849695014,0.06273194471464234,-0.008399234188075366
delta_pca,2,1,320,0.1380445290574987,0.14753974885948923,-0.009495219801990498,0.09293276439349141,0.011881428605001364
delta_pca,2,2,320,0.12745594609320837,0.1991588997719817,-0.07170295367877333,0.10510970232286967,0.03371686513461032
delta_pca,2,3,320,0.293116540654316,0.19491932016473382,0.09819722048958221,0.14719601593460324,-0.11129917349983234
delta_pca,2,4,320,0.20187377231585052,0.16825902037045587,0.03361475194539469,0.1332386676356694,-0.03975568343784862
delta_pca,2,5,320,0.3119172287294335,0.24799508073403972,0.06392214799539378,0.20185509636916416,-0.08571055264872854
delta_pca,4,0,320,0.19729060415902094,0.21558818956143658,-0.018297585402415606,0.09330795870297781,0.02525956327709813
delta_pca,4,1,320,0.28952534162205973,0.27795716836961143,0.011568173252448318,0.14739807417327092,-0.023241724492874996
delta_pca,4,2,320,0.26059369411007727,0.3400882471025889,-0.0794945529925116,0.10677662716012405,0.03456869352322291
delta_pca,4,3,320,0.40964167554676834,0.3133412331930738,0.0963004423536946,0.14848676277827835,-0.10547009171568228
delta_pca,4,4,320,0.30343710855975814,0.28639819996814414,0.017038908591614006,0.13433236567004925,-0.025575521460733983
delta_pca,4,5,320,0.4650205357389412,0.3946821047378629,0.07033843100107831,0.1771398420321062,-0.0857207189487785
delta_pca,8,0,320,0.2789074365449738,0.39323597167631297,-0.1143285351313392,0.09442458861161016,0.020470190915586356
delta_pca,8,1,320,0.45407451010373423,0.4529374541524295,0.0011370559513047477,0.12852130633589748,-0.021871194777023976
delta_pca,8,2,320,0.4467528283420343,0.5064996472328137,-0.0597468188907795,0.11698956002542323,0.0509661333948143
delta_pca,8,3,320,0.5950934307460687,0.5172352830143093,0.07785814773175942,0.1385432031840823,-0.08582998458083363
delta_pca,8,4,320,0.4727065533519049,0.46976943036185626,0.0029371229900486866,0.13330210872665058,-0.011482326166218233
delta_pca,8,5,320,0.6357080263241783,0.6049064569693942,0.030801569354784154,0.11694120856613771,-0.03091968604114545
delta_pca,16,0,320,0.6534835266958662,0.6823604960988227,-0.02887696940295652,0.11140091293872975,-0.0033511509008525044
delta_pca,16,1,320,0.7370913313320917,0.694980248998147,0.042111082333944665,0.0844949473724379,-0.020934523877399743
delta_pca,16,2,320,0.7276281257349766,0.7407883659526436,-0.013160240217666954,0.08845062221613464,-0.012317496843974114
delta_pca,16,3,320,0.7842530570771776,0.7421072448240078,0.04214581225316988,0.08660254509621468,-0.05501289022292631
delta_pca,16,4,320,0.7074637538527877,0.7116500179060935,-0.004186264053305808,0.0975564151612064,-0.0015719144646949151
delta_pca,16,5,320,0.8309010135051187,0.8155412884875067,0.015359725017611885,0.068515824941051,3.111261492777691e-05
delta_pca,32,0,320,0.9999999999999977,0.9999999999999997,-1.9914625504213745e-15,6.151956900657809e-15,-2.2624264819153304e-15
delta_pca,32,1,320,0.9999999999999993,0.9999999999999932,5.950448467295643e-15,9.819199160600437e-14,1.3142147150095258e-14
delta_pca,32,2,320,0.9999999999999988,0.9999999999999956,3.0413171980825383e-15,3.610325337124242e-14,6.973436980384387e-15
delta_pca,32,3,320,0.9999999999999976,0.9999999999999976,8.430756093247283e-17,1.6823293008635473e-14,-2.1709861913984588e-15
delta_pca,32,4,320,0.9999999999999986,0.9999999999999973,1.2254086634300165e-15,1.2401324601918465e-14,3.494277625061306e-15
delta_pca,32,5,320,0.9999999999999991,0.9999999999999964,2.576411306520754e-15,2.638403625065668e-14,-1.4882771910257743e-15
state_pca,1,0,320,0.050504362387208346,0.06275033799445477,-0.012245975607246424,0.08921483896681073,0.02869024017933254
state_pca,1,1,320,0.0965381091821492,0.08240289331609121,0.014135215866057985,0.08994594593661646,-0.015363728874003332
state_pca,1,2,320,0.12680795119586016,0.09255865863646796,0.03424929255939222,0.12553187920650666,-0.031417238721653466
state_pca,1,3,320,0.13378722936772866,0.10210174833724642,0.03168548103048226,0.11767100544284428,-0.001407248671619312
state_pca,1,4,320,0.10965501822915755,0.08719545829253086,0.022459559936626683,0.13894124839444705,-0.02217184046807013
state_pca,1,5,320,0.18450430806078422,0.1307068855767035,0.05379742248408072,0.19300171818851936,-0.13058185030396274
state_pca,1,6,320,0.14809189193125244,0.20183918482264848,-0.053747292891396035,0.18347832898008967,0.08352159458659422
state_pca,2,0,320,0.17592001467812932,0.11714889076553689,0.05877112391259244,0.15182289021523973,0.033188719265440404
state_pca,2,1,320,0.14641353718730413,0.14753974885948923,-0.0011262116721850956,0.09720225803545277,-0.027521989128431602
state_pca,2,2,320,0.22116052067494066,0.1991588997719817,0.022001620902958957,0.16262621278381117,-0.001323384112328789
state_pca,2,3,320,0.23569377703301514,0.19491932016473382,0.040774456868281336,0.13371784549494786,0.00811608533538178
state_pca,2,4,320,0.17728740346539168,0.16825902037045587,0.009028383094935826,0.1387970638590896,0.011262715327284518
state_pca,2,5,320,0.3071457491763503,0.24799508073403972,0.05915066844231056,0.19390121932243043,-0.12101810461916492
state_pca,2,6,320,0.32320597124548095,0.34330483385759414,-0.02009886261211321,0.20399166970376037,0.012030809887397959
state_pca,4,0,320,0.21411583816267515,0.21558818956143658,-0.0014723513987614377,0.16578872226357097,0.05065087232277045
state_pca,4,1,320,0.32853879093193117,0.27795716836961143,0.050581622562319774,0.14449792880768456,-0.09320014915627718
state_pca,4,2,320,0.36031591436096233,0.3400882471025889,0.0202276672583735,0.15109210905199946,0.0685472309562008
state_pca,4,3,320,0.35987339546782166,0.3133412331930738,0.046532162274747886,0.14511178512776107,0.0018449481270478019
state_pca,4,4,320,0.36318721664988884,0.28639819996814414,0.07678901668174469,0.14019171475613793,-0.03922052296838531
state_pca,4,5,320,0.4610372905436913,0.3946821047378629,0.06635518580582836,0.17794165288501007,-0.09832073588752507
state_pca,4,6,320,0.49592746209658234,0.5250199448773953,-0.02909248278081298,0.1654853746255004,0.022459983401556048
state_pca,8,0,320,0.36569557986961504,0.39323597167631297,-0.02754039180669795,0.2041930397329334,0.04038102340903877
state_pca,8,1,320,0.49108352153722523,0.4529374541524295,0.03814606738479575,0.12261129350367525,-0.05841039481051985
state_pca,8,2,320,0.5638189144909942,0.5064996472328137,0.057319267258180484,0.09626860868184324,-0.001496038219212549
state_pca,8,3,320,0.5484156814972605,0.5172352830143093,0.031180398482951198,0.1319002903411012,0.022741996726164827
state_pca,8,4,320,0.5238661347951163,0.46976943036185626,0.05409670443326013,0.12013504888817773,0.0008602573800128993
state_pca,8,5,320,0.6408321681091596,0.6049064569693942,0.03592571113976547,0.11932263177950161,-0.02978266245574295
state_pca,8,6,320,0.707137489261585,0.7128615099480637,-0.005724020686478825,0.11404299750613749,0.01904621405413341
state_pca,16,0,320,0.6728431505478547,0.6823604960988227,-0.00951734555096791,0.15635639143928634,0.023066756700212472
state_pca,16,1,320,0.734502501541905,0.694980248998147,0.03952225254375791,0.0951825367048261,-0.04026049207771586
state_pca,16,2,320,0.7894979051179852,0.7407883659526436,0.04870953916534167,0.07085796693325698,-0.009867260928201727
state_pca,16,3,320,0.7668977271753444,0.7421072448240078,0.024790482351336726,0.08457444179106938,-0.02224883837431784
state_pca,16,4,320,0.7430606485895138,0.7116500179060935,0.031410630683420294,0.08658262937567905,0.013090194350949966
state_pca,16,5,320,0.8462916661357023,0.8155412884875067,0.030750377648195576,0.05928131359656442,-0.0016092620580278431
state_pca,16,6,320,0.8868144645614185,0.8791973655140259,0.0076170990473927915,0.056684717232528936,0.024091329777504916
state_pca,32,0,320,0.9999999999999998,0.9999999999999997,1.9637069748057457e-16,5.209962232791415e-16,1.1574731529517111e-16
state_pca,32,1,320,0.9999999999999979,0.9999999999999932,4.64628335805628e-15,9.704385408232057e-14,1.1758134651801323e-14
state_pca,32,2,320,0.9999999999999967,0.9999999999999956,1.0033640585049852e-15,5.2888167397016406e-14,1.9992782508303108e-15
