architecture,split,subspace,k,layer,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,saturation_rate
cnn,digits_even_vs_odd,state_pca,1,0,90,0.6625675983980795,0.730749067802768,-0.06818146940468858,0.18888888888888888
cnn,digits_even_vs_odd,state_pca,1,1,90,0.6666956964463155,0.6908394136447663,-0.02414371719845078,0.2111111111111111
cnn,digits_even_vs_odd,state_pca,1,2,90,0.6591698788956492,0.7205863449314609,-0.06141646603581184,0.17777777777777778
cnn,digits_even_vs_odd,state_pca,2,0,90,0.8835098524592627,0.9323712482644554,-0.048861395805192664,0.4
cnn,digits_even_vs_odd,state_pca,2,1,90,0.8599890852267161,0.9276977000432814,-0.06770861481656541,0.4444444444444444
cnn,digits_even_vs_odd,state_pca,2,2,90,0.8987489460268395,0.9305041660210048,-0.03175521999416523,0.4444444444444444
cnn,digits_even_vs_odd,state_pca,4,0,90,0.9999999592977448,0.9999999707500098,-1.1452265037527177e-08,1.0
cnn,digits_even_vs_odd,state_pca,4,1,90,0.999999958372714,0.9999999597995282,-1.4268139928811745e-09,1.0
cnn,digits_even_vs_odd,state_pca,4,2,90,0.9999999582372913,0.9999900143612197,9.94387607152388e-06,1.0
cnn,digits_even_vs_odd,state_pca,8,0,90,0.9999999999999973,0.9999999999999978,-5.82250297358971e-16,1.0
cnn,digits_even_vs_odd,state_pca,8,1,90,0.9999999999999969,0.9999999999999989,-2.1118909090647422e-15,1.0
cnn,digits_even_vs_odd,state_pca,8,2,90,0.9999999999999992,0.9999999999999992,-6.1679056923619804e-18,1.0
cnn,digits_low_vs_high,state_pca,1,0,90,0.5677984054967553,0.5938419720920405,-0.026043566595285103,0.07777777777777778
cnn,digits_low_vs_high,state_pca,1,1,90,0.5647666783234635,0.6053609967858183,-0.040594318462354874,0.07777777777777778
cnn,digits_low_vs_high,state_pca,1,2,90,0.5140087206153604,0.5942069771447408,-0.08019825652938033,0.07777777777777778
cnn,digits_low_vs_high,state_pca,2,0,90,0.8404746921836777,0.8416035011646653,-0.0011288089809874946,0.28888888888888886
cnn,digits_low_vs_high,state_pca,2,1,90,0.8673077552503436,0.8564892232540599,0.010818531996283808,0.24444444444444444
cnn,digits_low_vs_high,state_pca,2,2,90,0.8035079271848204,0.8569882186429093,-0.053480291458088865,0.2777777777777778
cnn,digits_low_vs_high,state_pca,4,0,90,0.9999999999998617,0.9999999999998189,4.2746053610345474e-14,1.0
cnn,digits_low_vs_high,state_pca,4,1,90,0.9999999999998616,0.9999999999998437,1.786842279077266e-14,1.0
cnn,digits_low_vs_high,state_pca,4,2,90,0.9999999999999077,0.9999999999999025,5.161303483368505e-15,1.0
cnn,digits_low_vs_high,state_pca,8,0,90,0.9999999999999981,0.9999999999999982,-1.1719020815487764e-16,1.0
cnn,digits_low_vs_high,state_pca,8,1,90,0.9999999999999986,0.9999999999999992,-7.401486830834377e-16,1.0
cnn,digits_low_vs_high,state_pca,8,2,90,0.9999999999999993,0.9999999999999993,-9.86864910777917e-18,1.0
mlp,digits_even_vs_odd,state_pca,1,0,90,0.6146315164337173,0.557817816135374,0.056813700298343345,0.044444444444444446
mlp,digits_even_vs_odd,state_pca,1,1,90,0.37367804338977556,0.5268491840286742,-0.15317114063889858,0.0
mlp,digits_even_vs_odd,state_pca,1,2,90,0.3999197120460046,0.47421040947899246,-0.07429069743298786,0.022222222222222223
mlp,digits_even_vs_odd,state_pca,2,0,90,0.8259883977872808,0.8745059931247847,-0.04851759533750387,0.23333333333333334
mlp,digits_even_vs_odd,state_pca,2,1,90,0.7708200067162617,0.7634637974704201,0.007356209245841562,0.1111111111111111
mlp,digits_even_vs_odd,state_pca,2,2,90,0.739931462441959,0.7663747199630636,-0.02644325752110453,0.08888888888888889
mlp,digits_even_vs_odd,state_pca,4,0,90,0.9999999999999958,0.999999999999994,1.7171449447535755e-15,1.0
mlp,digits_even_vs_odd,state_pca,4,1,90,0.9999999999999963,0.9999999999999767,1.9703991524819585e-14,1.0
mlp,digits_even_vs_odd,state_pca,4,2,90,0.9999999999999967,0.9999999999999962,4.1078251911130794e-16,1.0
mlp,digits_even_vs_odd,state_pca,8,0,90,0.999999999999999,0.9999999999999989,1.7270135938613546e-16,1.0
mlp,digits_even_vs_odd,state_pca,8,1,90,0.9999999999999996,0.9999999999999996,-7.401486830834377e-18,1.0
mlp,digits_even_vs_odd,state_pca,8,2,90,0.9999999999999997,0.9999999999999999,-6.167905692361981e-17,1.0
mlp,digits_low_vs_high,state_pca,1,0,90,0.6299394966195295,0.6064347216863019,0.02350477493322762,0.011111111111111112
mlp,digits_low_vs_high,state_pca,1,1,90,0.4983480426276994,0.5136463774577001,-0.015298334830000683,0.011111111111111112
mlp,digits_low_vs_high,state_pca,1,2,90,0.4857092145628344,0.5301737476529146,-0.04446453309008025,0.0
mlp,digits_low_vs_high,state_pca,2,0,90,0.9178588145660528,0.8647867045279721,0.053072110038080794,0.34444444444444444
mlp,digits_low_vs_high,state_pca,2,1,90,0.8893686817048818,0.7521228014334034,0.13724588027147827,0.08888888888888889
mlp,digits_low_vs_high,state_pca,2,2,90,0.8928741728595057,0.7921560094821939,0.10071816337731182,0.1
