source,subspace_family,sign,n,rho_mean,cost_entropy_tau_median,cost_varentropy_tau_median,entropy_target_success_rate,varentropy_target_success_rate,top1_changed_rate,top10_jaccard_mean
decoder_main_local_linear,delta_pca,decrease,36,0.7781493111063492,1.1372874271491384,2.001281680785633,0.9722222222222222,0.75,0.0,0.9393939393939394
decoder_main_local_linear,delta_pca,increase,36,0.7781493111063492,1.068477661723355,1.8783109481782194,0.9722222222222222,0.8055555555555556,0.027777777777777776,0.9545454545454546
decoder_main_local_linear,state_pca,decrease,36,0.8106934935841394,0.9791555857753869,1.5320867700982896,0.9722222222222222,0.8333333333333334,0.0,0.9545454545454546
decoder_main_local_linear,state_pca,increase,36,0.8106934935841394,0.9609167399545283,1.424959166441854,0.9722222222222222,0.8888888888888888,0.027777777777777776,0.9545454545454546
mlm_full_grid_interpolated,delta_pca,decrease,792,0.5214193136611484,0.39177015202938625,0.4416512602655288,0.797979797979798,0.7537878787878788,0.04924242424242424,
mlm_full_grid_interpolated,delta_pca,increase,792,0.5214193136611484,0.3890568053241341,0.43954684586597087,0.7436868686868687,0.7222222222222222,0.08333333333333333,
mlm_full_grid_interpolated,random,decrease,1584,0.511858224839718,0.4057631266970197,0.466065319003619,0.821969696969697,0.7733585858585859,0.059343434343434344,
mlm_full_grid_interpolated,random,increase,1584,0.511858224839718,0.4026823010253274,0.46376932737635895,0.7455808080808081,0.740530303030303,0.08396464646464646,
mlm_full_grid_interpolated,state_pca,decrease,792,0.5277289197612707,0.3633379715336489,0.4220654374979358,0.8358585858585859,0.7904040404040404,0.041666666666666664,
mlm_full_grid_interpolated,state_pca,increase,792,0.5277289197612707,0.3566378334105128,0.4136336549406655,0.7588383838383839,0.7575757575757576,0.08712121212121213,
mlm_topk32_local_linear,delta_pca,decrease,115,0.5149650097534614,0.23032129440407592,0.21206151282475028,0.7478260869565218,0.8,0.017391304347826087,0.9467720685111989
mlm_topk32_local_linear,delta_pca,increase,115,0.5149650097534614,0.2512141900413321,0.22479389416174517,0.6695652173913044,0.7478260869565218,0.02608695652173913,0.9512516469038208
mlm_topk32_local_linear,random,decrease,184,0.5044646596126929,0.24482948689029135,0.2591706547954048,0.7880434782608695,0.7771739130434783,0.02717391304347826,0.9537220026350461
mlm_topk32_local_linear,random,increase,184,0.5044646596126929,0.26003671072463785,0.26210896500715464,0.7336956521739131,0.7391304347826086,0.016304347826086956,0.9461462450592886
mlm_topk32_local_linear,state_pca,decrease,184,0.5304606580441567,0.2330840743086247,0.25608967601379296,0.8152173913043478,0.7554347826086957,0.02717391304347826,0.955862977602108
mlm_topk32_local_linear,state_pca,increase,184,0.5304606580441567,0.242514072856937,0.25999616014871957,0.75,0.7771739130434783,0.021739130434782608,0.9489459815546774
