source,direction,subspace_family,sign,n,fisher_output_energy_mean,entropy_efficiency_mean,varentropy_efficiency_mean,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,top10_jaccard_mean
decoder_main,accessible_ls,delta_pca,decrease,36,0.05,0.8331870439739988,1.239771691935253,0.04165935219869994,0.06198858459676266,0.0,0.9393939393939394
decoder_main,accessible_ls,delta_pca,increase,36,0.05,0.9056364734960495,1.4170206047482283,0.045281823674802484,0.07085103023741142,0.027777777777777776,0.9545454545454546
decoder_main,accessible_ls,random,decrease,36,0.05,0.8061486345096774,1.1437017936348495,0.04030743172548387,0.05718508968174247,0.0,0.9402356902356903
decoder_main,accessible_ls,random,increase,36,0.05,0.9334091359384463,1.466246848942355,0.04667045679692231,0.07331234244711776,0.027777777777777776,0.9444444444444444
decoder_main,accessible_ls,state_pca,decrease,36,0.05,0.849420821582216,1.2552780294608243,0.0424710410791108,0.06276390147304121,0.0,0.9545454545454546
decoder_main,accessible_ls,state_pca,increase,36,0.05,0.9177713339827184,1.4164437587379133,0.045888566699135915,0.07082218793689567,0.027777777777777776,0.9545454545454546
decoder_main,grad_orthogonal_control,delta_pca,decrease,36,0.05,0.12314435787001904,0.45223061851191926,0.0061572178935009525,0.022611530925595966,0.05555555555555555,0.9393939393939394
decoder_main,grad_orthogonal_control,delta_pca,increase,36,0.05,0.08317559753684628,0.4602221186806619,0.004158779876842314,0.023011105934033094,0.027777777777777776,0.9250841750841752
decoder_main,grad_orthogonal_control,random,decrease,36,0.05,0.09351165757065844,0.5143806966332731,0.004675582878532922,0.02571903483166366,0.0,0.9545454545454546
decoder_main,grad_orthogonal_control,random,increase,36,0.05,0.08733142021049661,0.3777507031048224,0.004366571010524831,0.018887535155241122,0.027777777777777776,0.9217171717171717
decoder_main,grad_orthogonal_control,state_pca,decrease,36,0.05,0.06364906053915648,0.324411306054144,0.003182453026957824,0.0162205653027072,0.05555555555555555,0.9149831649831649
decoder_main,grad_orthogonal_control,state_pca,increase,36,0.05,0.06342253128920697,0.37676292345958873,0.003171126564460348,0.018838146172979436,0.0,0.920875420875421
decoder_main,random_control,delta_pca,decrease,36,0.05,0.40390260198449973,0.7785561946344709,0.020195130099224985,0.03892780973172355,0.027777777777777776,0.8914141414141414
