contrast,metric,high_rho,control,delta_high_minus_control
high_rho_route_vs_equal_output_energy_control,abs_delta_entropy,0.04814800503773046,0.02456794343995162,0.02358006159777884
high_rho_route_vs_equal_output_energy_control,abs_delta_varentropy,0.07878620080814079,0.0455394010251095,0.03324679978303129
high_rho_route_vs_equal_output_energy_control,output_drift,0.05,0.05,0.0
high_rho_route_vs_equal_output_energy_control,target_success_rate,1.0,0.9927536231884058,0.007246376811594235
high_rho_route_vs_equal_output_energy_control,top10_preservation,0.961038961038961,0.9297258297258297,0.03131313131313129
high_rho_route_vs_equal_output_energy_control,top1_changed_rate,0.009523809523809525,0.02857142857142857,0.019047619047619046
high_rho_route_vs_gradient_orthogonal_route,abs_delta_entropy,0.04814800503773046,0.0026413263587706207,0.045506678678959835
high_rho_route_vs_gradient_orthogonal_route,abs_delta_varentropy,0.07878620080814079,0.016405462355023714,0.06238073845311708
high_rho_route_vs_gradient_orthogonal_route,output_drift,0.05,0.05,0.0
high_rho_route_vs_gradient_orthogonal_route,target_success_rate,1.0,0.5,0.5
high_rho_route_vs_gradient_orthogonal_route,top10_preservation,0.961038961038961,0.9271284271284272,0.03391053391053378
high_rho_route_vs_gradient_orthogonal_route,top1_changed_rate,0.009523809523809525,0.02857142857142857,0.019047619047619046
high_rho_route_vs_gradient_route,abs_delta_entropy,0.04814800503773046,0.04784055072649916,0.00030745431123129635
high_rho_route_vs_gradient_route,abs_delta_varentropy,0.07878620080814079,0.07771627892462023,0.0010699218835205637
high_rho_route_vs_gradient_route,output_drift,0.05,0.05,0.0
high_rho_route_vs_gradient_route,target_success_rate,1.0,1.0,0.0
high_rho_route_vs_gradient_route,top10_preservation,0.961038961038961,0.9575757575757576,0.0034632034632033903
high_rho_route_vs_gradient_route,top1_changed_rate,0.009523809523809525,0.004761904761904762,-0.004761904761904762
high_rho_route_vs_low_rho_route,abs_delta_entropy,0.04814800503773046,0.02750999765834499,0.020638007379385467
high_rho_route_vs_low_rho_route,abs_delta_varentropy,0.07878620080814079,0.050399042293651095,0.028387158514489697
high_rho_route_vs_low_rho_route,output_drift,0.05,0.05,0.0
high_rho_route_vs_low_rho_route,target_success_rate,1.0,1.0,0.0
high_rho_route_vs_low_rho_route,top10_preservation,0.961038961038961,0.9396825396825396,0.021356421356421462
high_rho_route_vs_low_rho_route,top1_changed_rate,0.009523809523809525,0.04285714285714286,0.03333333333333333
high_rho_route_vs_random_route,abs_delta_entropy,0.04814800503773046,0.03724920993321916,0.010898795104511298
high_rho_route_vs_random_route,abs_delta_varentropy,0.07878620080814079,0.06379882845299224,0.014987372355148548
high_rho_route_vs_random_route,output_drift,0.05,0.05,0.0
high_rho_route_vs_random_route,target_success_rate,1.0,1.0,0.0
high_rho_route_vs_random_route,top10_preservation,0.961038961038961,0.9525252525252526,0.008513708513708473
high_rho_route_vs_random_route,top1_changed_rate,0.009523809523809525,0.004761904761904762,-0.004761904761904762
