model,subspace_family,sign,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
Qwen/Qwen2.5-0.5B,delta_pca,decrease,random_control,abs_delta_entropy_mean,0.04284404751067171,0.019512452404383002,0.023331595106288707,2.195728482650793
Qwen/Qwen2.5-0.5B,delta_pca,decrease,random_control,abs_delta_varentropy_mean,0.06040120955019682,0.03034098968457971,0.030060219865617112,1.9907461878507775
Qwen/Qwen2.5-0.5B,delta_pca,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.04284404751067171,0.0015571627955310678,0.041286884715140644,27.51417361988784
Qwen/Qwen2.5-0.5B,delta_pca,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.06040120955019682,0.011827105583930369,0.048574103966266456,5.107015331989991
Qwen/Qwen2.5-0.5B,delta_pca,increase,random_control,abs_delta_entropy_mean,0.04360772514024188,0.020024525045123396,0.023583200095118485,2.177715828064633
Qwen/Qwen2.5-0.5B,delta_pca,increase,random_control,abs_delta_varentropy_mean,0.06297444062706929,0.02973005101537486,0.03324438961169443,2.1182082935041766
Qwen/Qwen2.5-0.5B,delta_pca,increase,grad_orthogonal_control,abs_delta_entropy_mean,0.04360772514024188,0.0015108841142187851,0.042096841026023096,28.86238906733731
Qwen/Qwen2.5-0.5B,delta_pca,increase,grad_orthogonal_control,abs_delta_varentropy_mean,0.06297444062706929,0.010422198464847252,0.05255224216222204,6.0423375010055755
Qwen/Qwen2.5-0.5B,random,decrease,random_control,abs_delta_entropy_mean,0.04367943712832081,0.021129079601828513,0.022550357526492294,2.06726643807716
Qwen/Qwen2.5-0.5B,random,decrease,random_control,abs_delta_varentropy_mean,0.05885790401988723,0.029883918351047804,0.02897398566883943,1.9695510919445252
Qwen/Qwen2.5-0.5B,random,decrease,grad_orthogonal_control,abs_delta_entropy_mean,0.04367943712832081,0.0012590377551443914,0.04242039937317642,34.69271429696838
Qwen/Qwen2.5-0.5B,random,decrease,grad_orthogonal_control,abs_delta_varentropy_mean,0.05885790401988723,0.010454132205206787,0.048403771814680446,5.630109019529374
Qwen/Qwen2.5-0.5B,random,increase,random_control,abs_delta_entropy_mean,0.04447295014801979,0.022036872279160853,0.022436077868858935,2.018115347071081
