model,subspace_family,direction,sign,n,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,top10_jaccard_mean,delta_confidence_mean
Qwen/Qwen2.5-0.5B,delta_pca,accessible_ls,decrease,18,0.04284404751067171,0.06040120955019682,0.0,0.9393939393939394,0.014187096050403155
Qwen/Qwen2.5-0.5B,delta_pca,accessible_ls,increase,18,0.04360772514024188,0.06297444062706929,0.05555555555555555,0.9292929292929293,-0.014714103647935323
Qwen/Qwen2.5-0.5B,delta_pca,grad_orthogonal_control,decrease,18,0.0015571627955310678,0.011827105583930369,0.1111111111111111,0.9191919191919192,-0.0019858207493741514
Qwen/Qwen2.5-0.5B,delta_pca,grad_orthogonal_control,increase,18,0.0015108841142187851,0.010422198464847252,0.0,0.9090909090909091,0.0010432562460938708
Qwen/Qwen2.5-0.5B,delta_pca,random_control,decrease,18,0.019512452404383002,0.03034098968457971,0.05555555555555555,0.861952861952862,-0.0015194343003817087
Qwen/Qwen2.5-0.5B,delta_pca,random_control,increase,18,0.020024525045123396,0.02973005101537486,0.0,0.9595959595959597,0.0006851321607346974
Qwen/Qwen2.5-0.5B,random,accessible_ls,decrease,18,0.04367943712832081,0.05885790401988723,0.0,0.9494949494949494,0.01357539455925577
Qwen/Qwen2.5-0.5B,random,accessible_ls,increase,18,0.04447295014801979,0.06198253790932654,0.05555555555555555,0.9191919191919192,-0.014124906504256506
Qwen/Qwen2.5-0.5B,random,grad_orthogonal_control,decrease,18,0.0012590377551443914,0.010454132205206787,0.0,0.9595959595959597,0.0018007039772156286
Qwen/Qwen2.5-0.5B,random,grad_orthogonal_control,increase,18,0.0012692506289601552,0.011700407425275318,0.05555555555555555,0.9006734006734006,-0.0027118611873561066
Qwen/Qwen2.5-0.5B,random,random_control,decrease,18,0.021129079601828513,0.029883918351047804,0.05555555555555555,0.9494949494949494,0.0012146768419220577
Qwen/Qwen2.5-0.5B,random,random_control,increase,18,0.022036872279160853,0.031132671621897548,0.0,0.8888888888888888,-0.0018378842437324196
Qwen/Qwen2.5-0.5B,state_pca,accessible_ls,decrease,18,0.04352844878658799,0.05864938510081086,0.0,0.9494949494949494,0.013138532242244483
Qwen/Qwen2.5-0.5B,state_pca,accessible_ls,increase,18,0.0449872573285522,0.0625121394567917,0.05555555555555555,0.9292929292929293,-0.013899483130938488
Qwen/Qwen2.5-0.5B,state_pca,grad_orthogonal_control,decrease,18,0.0013059428406476917,0.013164511954665788,0.05555555555555555,0.8804713804713805,0.0006550409442781421
Qwen/Qwen2.5-0.5B,state_pca,grad_orthogonal_control,increase,18,0.0013622373133807726,0.013034793902928181,0.0,0.9191919191919192,-0.0016225602369163582
Qwen/Qwen2.5-0.5B,state_pca,random_control,decrease,18,0.017353271793270106,0.028812968706541833,0.1111111111111111,0.9191919191919192,0.002944257750126166
Qwen/Qwen2.5-0.5B,state_pca,random_control,increase,18,0.017459421488830878,0.030125213621980524,0.0,0.9090909090909091,-0.003662831799127202
microsoft/phi-2,delta_pca,accessible_ls,decrease,18,0.04047465688672825,0.06357595964332857,0.0,0.9393939393939394,0.012760601656482242
microsoft/phi-2,delta_pca,accessible_ls,increase,18,0.04695592220936317,0.07872761984775364,0.0,0.9797979797979798,-0.014358709277326846
microsoft/phi-2,delta_pca,grad_orthogonal_control,decrease,18,0.010757272991470933,0.033395956267261655,0.0,0.9595959595959597,-0.001991328210243709
microsoft/phi-2,delta_pca,grad_orthogonal_control,increase,18,0.006806675639465927,0.03560001340321903,0.05555555555555555,0.941077441077441,-0.0021125652526058267
microsoft/phi-2,delta_pca,random_control,decrease,18,0.020877807794067067,0.04751462977886748,0.0,0.9208754208754208,-0.0023914682969242446
microsoft/phi-2,delta_pca,random_control,increase,18,0.022706764440802503,0.04123153038823835,0.0,0.9797979797979798,0.0005625242976480969
microsoft/phi-2,random,accessible_ls,decrease,18,0.03693542632264704,0.05551227534359779,0.0,0.930976430976431,0.011778583714980456
microsoft/phi-2,random,accessible_ls,increase,18,0.04886796344582494,0.08464214698490904,0.0,0.9696969696969696,-0.01503610047122542
microsoft/phi-2,random,grad_orthogonal_control,decrease,18,0.008092128001921571,0.040983937458120616,0.0,0.9494949494949494,-3.247946618203009e-06
microsoft/phi-2,random,grad_orthogonal_control,increase,18,0.007463891392089607,0.02607466288520702,0.0,0.9427609427609427,-0.0036984604034071018
microsoft/phi-2,random,random_control,decrease,18,0.015394166552169828,0.029177459025595178,0.05555555555555555,0.9292929292929293,-0.0003578687747866426
microsoft/phi-2,random,random_control,increase,18,0.018185639992116875,0.03954169736921282,0.0,0.9511784511784511,-0.0020725570916394886
microsoft/phi-2,state_pca,accessible_ls,decrease,18,0.041413633371633715,0.06687841784527168,0.0,0.9595959595959597,0.013530215658142688
microsoft/phi-2,state_pca,accessible_ls,increase,18,0.04678987606971972,0.07913223641699973,0.0,0.9797979797979798,-0.01479873795032201
microsoft/phi-2,state_pca,grad_orthogonal_control,decrease,18,0.005058963213268054,0.019276618650748697,0.05555555555555555,0.9494949494949494,-0.0040059392888543745
microsoft/phi-2,state_pca,grad_orthogonal_control,increase,18,0.004980015815540009,0.024641498443030783,0.0,0.9225589225589226,0.0013965611888914163
microsoft/phi-2,state_pca,random_control,decrease,18,0.02470267890567738,0.05224676528574996,0.05555555555555555,0.9393939393939394,-0.001418675942603363
microsoft/phi-2,state_pca,random_control,increase,18,0.024161760298346532,0.04938396283465188,0.0,0.9612794612794614,-0.00032635046184498813
