sign,epsilon,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control
decrease,0.05,strict_orthogonal_ls,abs_delta_entropy_mean,0.0008397303130043123,1.2868456731864946e-08,0.0008397174445475804,65254.93542088596
decrease,0.05,strict_orthogonal_ls,abs_delta_varentropy_mean,0.0010320342017335021,2.562851901863471e-08,0.0010320085732144835,40268.975393509914
decrease,0.05,strict_orthogonal_ls,abs_delta_semantic_entropy_proxy_mean,0.00031512376687907353,1.2118448714312735e-08,0.00031511164843035924,26003.639104969792
decrease,0.05,strict_orthogonal_ls,selected_top1_changed_rate,0.0,0.0,0.0,inf
decrease,0.05,strict_orthogonal_ls,target_correct_changed_rate,0.0,0.0,0.0,inf
decrease,0.05,grad_orthogonal_control,abs_delta_entropy_mean,0.0008397303130043123,8.763827908847114e-07,0.0008388539302134275,958.1775472297917
decrease,0.05,grad_orthogonal_control,abs_delta_varentropy_mean,0.0010320342017335021,0.0003407738749065966,0.0006912603268269056,3.028501530571774
decrease,0.05,grad_orthogonal_control,abs_delta_semantic_entropy_proxy_mean,0.00031512376687907353,0.00015654438012744503,0.0001585793867516285,2.012999550814451
decrease,0.05,grad_orthogonal_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
decrease,0.05,grad_orthogonal_control,target_correct_changed_rate,0.0,0.0,0.0,inf
decrease,0.05,random_control,abs_delta_entropy_mean,0.0008397303130043123,0.0005757915624757186,0.0002639387505285936,1.4583928763973926
decrease,0.05,random_control,abs_delta_varentropy_mean,0.0010320342017335021,0.000992845626058605,3.918857567489719e-05,1.0394709657235113
decrease,0.05,random_control,abs_delta_semantic_entropy_proxy_mean,0.00031512376687907353,0.00033274422953134906,-1.7620462652275523e-05,0.9470450241102816
decrease,0.05,random_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
decrease,0.05,random_control,target_correct_changed_rate,0.0,0.0,0.0,inf
decrease,0.1,strict_orthogonal_ls,abs_delta_entropy_mean,0.0016789449506527153,1.2868456731864946e-08,0.0016789320821959835,130469.79802133556
decrease,0.1,strict_orthogonal_ls,abs_delta_varentropy_mean,0.002062239404993214,2.562851901863471e-08,0.002062213776474195,80466.58503730716
decrease,0.1,strict_orthogonal_ls,abs_delta_semantic_entropy_proxy_mean,0.0006301163696322477,1.2118448714312735e-08,0.0006301042511835333,51996.45470199797
decrease,0.1,strict_orthogonal_ls,selected_top1_changed_rate,0.0,0.0,0.0,inf
decrease,0.1,strict_orthogonal_ls,target_correct_changed_rate,0.0,0.0,0.0,inf
decrease,0.1,grad_orthogonal_control,abs_delta_entropy_mean,0.0016789449506527153,3.008209094709471e-06,0.0016759367415580058,558.1210939111484
decrease,0.1,grad_orthogonal_control,abs_delta_varentropy_mean,0.002062239404993214,0.0006817762396506713,0.0013804631653425426,3.02480386534131
decrease,0.1,grad_orthogonal_control,abs_delta_semantic_entropy_proxy_mean,0.0006301163696322477,0.00031295951104202616,0.0003171568585902215,2.013411790982865
decrease,0.1,grad_orthogonal_control,selected_top1_changed_rate,0.0,0.0,0.0,inf
decrease,0.1,grad_orthogonal_control,target_correct_changed_rate,0.0,0.0,0.0,inf
decrease,0.1,random_control,abs_delta_entropy_mean,0.0016789449506527153,0.001151656353252723,0.0005272885973999924,1.4578523757635908
