direction,sign,epsilon,n,delta_entropy_mean,abs_delta_entropy_mean,delta_varentropy_mean,abs_delta_varentropy_mean,delta_semantic_entropy_proxy_mean,abs_delta_semantic_entropy_proxy_mean,selected_top1_changed_rate,target_correct_changed_rate,target_in_topm_rate,delta_target_prob_topm_mean,first_order_entropy_mean,first_order_logit_norm_mean
accessible_ls,decrease,0.05,63,-0.0008397303130043123,0.0008397303130043123,0.0008040916718244802,0.0010320342017335021,-0.00031512376687907353,0.00031512376687907353,0.0,0.0,0.873015873015873,8.197780112349651e-05,-0.016800056147439037,0.23370690821691623
grad_orthogonal_control,decrease,0.05,63,-3.794127751615809e-08,8.763827908847114e-07,9.586648622169783e-06,0.0003407738749065966,1.5557278285066764e-05,0.00015654438012744503,0.0,0.0,0.873015873015873,-2.1532788664633827e-05,-9.361999711620863e-19,0.2409995607987208
random_control,decrease,0.05,63,-0.00017520133165459581,0.0005757915624757186,0.00018316859357964032,0.000992845626058605,-0.0001151008145021113,0.00033274422953134906,0.0,0.0,0.873015873015873,-1.4987496315127211e-05,-0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,decrease,0.05,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
accessible_ls,increase,0.05,63,0.0008403108619394513,0.0008403108619394513,-0.0008057192505788832,0.0010334482724831968,0.00031528932505872387,0.00031528932505872387,0.0,0.0,0.873015873015873,-8.207996566617084e-05,0.016800056147439037,0.23370690821691623
grad_orthogonal_control,increase,0.05,63,-6.170422148497163e-08,8.696294419182433e-07,-9.783447638597687e-06,0.00034004230788449024,-1.540827693840347e-05,0.00015652726304545535,0.0,0.0,0.873015873015873,2.1395916385527453e-05,9.361999711620863e-19,0.2409995607987208
random_control,increase,0.05,63,0.00017509679164958122,0.0005761719807892087,-0.0001844148796694242,0.000992596671721694,0.00011502876809328346,0.0003329169514548434,0.0,0.0,0.873015873015873,1.4820743571666537e-05,0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,increase,0.05,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
accessible_ls,decrease,0.1,63,-0.0016789449506527153,0.0016789449506527153,0.0016064103587510395,0.002062239404993214,-0.0006301163696322477,0.0006301163696322477,0.0,0.0,0.873015873015873,0.0001638056158466889,-0.016800056147439037,0.23370690821691623
grad_orthogonal_control,decrease,0.1,63,-1.4101502668516208e-07,3.008209094709471e-06,1.877953574984183e-05,0.0006817762396506713,3.1230305825214834e-05,0.00031295951104202616,0.0,0.0,0.873015873015873,-4.3217544531923556e-05,-9.361999711620863e-19,0.2409995607987208
random_control,decrease,0.1,63,-0.00035113929746655745,0.001151656353252723,0.0003655692320036195,0.001985718410018464,-0.00023048695666940308,0.0006654619136772048,0.0,0.0,0.873015873015873,-3.0102307581651467e-05,-0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,decrease,0.1,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
accessible_ls,increase,0.1,63,0.001681085185931004,0.001681085185931004,-0.0016132121902485898,0.0020686832170745064,0.0006307162041462238,0.0006307162041462238,0.0,0.0,0.873015873015873,-0.0001642254899509341,0.016800056147439037,0.23370690821691623
grad_orthogonal_control,increase,0.1,63,-1.3303003278935107e-07,2.9592809905825626e-06,-1.9925602157252636e-05,0.000679232744622559,-3.0667596629208653e-05,0.0003130974031094535,0.0,0.0,0.873015873015873,4.267434558651894e-05,9.361999711620863e-19,0.2409995607987208
random_control,increase,0.1,63,0.00034978138123962105,0.0011524339446826258,-0.00036996310438202994,0.0019851311290207297,0.00022987539941107034,0.0006659666242059814,0.0,0.0,0.873015873015873,2.9552701510051767e-05,0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,increase,0.1,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
accessible_ls,decrease,0.2,63,-0.003355886698753261,0.003355886698753261,0.003206206170823941,0.004118331933334462,-0.0012597045240293379,0.0012597045240293379,0.0,0.0,0.873015873015873,0.0003273124178587548,-0.016800056147439037,0.23370690821691623
grad_orthogonal_control,decrease,0.2,63,-7.335480783191766e-07,1.1669780434673983e-05,3.6442061213163134e-05,0.0013652412942214368,6.297507843748837e-05,0.0006258084625051375,0.0,0.0,0.873015873015873,-8.686699518333578e-05,-9.361999711620863e-19,0.2409995607987208
random_control,decrease,0.2,63,-0.0007036853484272542,0.0023028532399533373,0.000726777218791843,0.003971827208499186,-0.00046165081656479964,0.0013304404805088354,0.0,0.0,0.873015873015873,-6.059997008347646e-05,-0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,decrease,0.2,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
accessible_ls,increase,0.2,63,0.0033640826891362854,0.0033640826891362854,-0.0032325066566144867,0.004143121184616942,0.001261961262047557,0.001261961262047557,0.0,0.0,0.873015873015873,-0.00032877027189222817,0.016800056147439037,0.23370690821691623
grad_orthogonal_control,increase,0.2,63,-8.840040488564259e-07,1.1546961244380233e-05,-4.0607332717346885e-05,0.0013568773085215705,-6.085600688722779e-05,0.0006262227803600693,0.0,0.0,0.873015873015873,8.484639689092326e-05,9.361999711620863e-19,0.2409995607987208
random_control,increase,0.2,63,0.0006979527506469533,0.0023054815539231706,-0.0007435597272687976,0.003969637751572229,0.00045905335505712683,0.0013323031249355894,0.0,0.0,0.873015873015873,5.869560566272428e-05,0.003504202670688436,0.24321805429936325
strict_orthogonal_ls,increase,0.2,63,2.447595284738388e-09,1.2868456731864946e-08,-2.647858303869137e-09,2.562851901863471e-08,-4.494561858935428e-10,1.2118448714312735e-08,0.0,0.0,0.873015873015873,-7.08880550228139e-10,0.0,0.0
