direction,sign,epsilon,n,delta_entropy_mean,abs_delta_entropy_mean,delta_varentropy_mean,abs_delta_varentropy_mean,delta_semantic_entropy_proxy_mean,abs_delta_semantic_entropy_proxy_mean,selected_top1_changed_rate,target_correct_changed_rate,target_in_topk_rate,delta_target_prob_topk_mean,first_order_entropy_mean,first_order_logit_norm_mean
accessible_ls,decrease,0.1,64,-0.008731416619647409,0.008731416619647409,0.014947345593974457,0.017093703270151032,-0.002207109650123885,0.002207109650123885,0.0,0.0,0.578125,0.0004105120879842143,-0.0869891379176265,0.7286312593871475
grad_orthogonal_control,decrease,0.1,64,-2.269616441937178e-05,3.8113388259734034e-05,-0.0003079422154108548,0.0019746722493550607,-4.5403208190350226e-05,0.0004924622591479066,0.0,0.0,0.578125,-4.210241981261875e-05,-3.0696474008495844e-18,0.8338994511894463
random_control,decrease,0.1,64,-0.0012917018994451834,0.003127441212750398,0.0026574663612405607,0.007503755178010712,-0.00034585654918796015,0.001073568879903686,0.0,0.0,0.578125,1.1128314812409057e-05,-0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,decrease,0.1,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
accessible_ls,increase,0.1,64,0.008665663749671643,0.008665663749671643,-0.014890362155544982,0.017013197139325555,0.0021866569862395192,0.0021866569862395192,0.0,0.0,0.578125,-0.0004148729924306352,0.0869891379176265,0.7286312593871475
grad_orthogonal_control,increase,0.1,64,-2.2614441780406322e-05,3.8193044806971235e-05,0.0003313177826432716,0.0019429231470017563,4.411507012181629e-05,0.0004897035960057102,0.015625,0.015625,0.578125,3.961447229717312e-05,3.0696474008495844e-18,0.8338994511894463
random_control,increase,0.1,64,0.001192355311489735,0.0031062081057683143,-0.002489539020941961,0.00741767278797484,0.00032929183781187153,0.0010719695319561927,0.0,0.0,0.578125,-1.421356560092911e-05,0.012421583713598763,0.9016547274006619
strict_orthogonal_ls,increase,0.1,64,0.0,0.0,-1.0625181290357943e-17,6.960577947356938e-17,0.0,0.0,0.0,0.0,0.578125,0.0,0.0,0.0
accessible_ls,decrease,0.2,64,-0.01752600017035186,0.01752600017035186,0.029943916919476215,0.03425749905824114,-0.004434287832185664,0.004434287832185664,0.0,0.0,0.578125,0.0008166462135040461,-0.0869891379176265,0.7286312593871475
grad_orthogonal_control,decrease,0.2,64,-9.07502671831195e-05,0.00015200269252004352,-0.0005921897195769602,0.004007066756308346,-9.206696521184775e-05,0.0009877491090583333,0.015625,0.0,0.578125,-8.657380303517666e-05,-3.0696474008495844e-18,0.8338994511894463
