sign,epsilon,control,metric,accessible,control_value,accessible_minus_control,accessible_over_control,accessible_output_energy,control_output_energy
decrease,0.02,grad_orthogonal_control,abs_delta_entropy_mean,0.01008458829503075,0.00031202713745539433,0.009772561157575356,32.31958725536296,0.02,0.02
decrease,0.02,grad_orthogonal_control,abs_delta_varentropy_mean,0.016503255085831715,0.0031550347140032334,0.013348220371828482,5.230768147362705,0.02,0.02
decrease,0.02,random_control,abs_delta_entropy_mean,0.01008458829503075,0.005567133021444133,0.004517455273586617,1.8114509310601625,0.02,0.02
decrease,0.02,random_control,abs_delta_varentropy_mean,0.016503255085831715,0.009916345264269374,0.006586909821562341,1.6642477289789745,0.02,0.02
decrease,0.05,grad_orthogonal_control,abs_delta_entropy_mean,0.02512603754519531,0.0019891850644827547,0.023136852480712556,12.63132224036118,0.05,0.05
decrease,0.05,grad_orthogonal_control,abs_delta_varentropy_mean,0.04086413417476621,0.009257933080090147,0.031606201094676066,4.413958690482164,0.05,0.05
decrease,0.05,random_control,abs_delta_entropy_mean,0.02512603754519531,0.014048333353554942,0.011077704191640367,1.7885422357832323,0.05,0.05
decrease,0.05,random_control,abs_delta_varentropy_mean,0.04086413417476621,0.024833104273674723,0.01603102990109149,1.6455507827140963,0.05,0.05
decrease,0.1,grad_orthogonal_control,abs_delta_entropy_mean,0.050214443545544774,0.00853422626376159,0.041680217281783186,5.8838894111312205,0.1,0.1
decrease,0.1,grad_orthogonal_control,abs_delta_varentropy_mean,0.08129270717592857,0.023808406977639546,0.057484300198289026,3.4144538629685433,0.1,0.1
decrease,0.1,random_control,abs_delta_entropy_mean,0.050214443545544774,0.028933159919895948,0.021281283625648826,1.735532644362661,0.1,0.1
decrease,0.1,random_control,abs_delta_varentropy_mean,0.08129270717592857,0.05076232198425998,0.03053038519166859,1.6014379169088293,0.1,0.1
increase,0.02,grad_orthogonal_control,abs_delta_entropy_mean,0.01016949894097947,0.0003139087081706636,0.009855590232808806,32.39635816490504,0.02,0.02
increase,0.02,grad_orthogonal_control,abs_delta_varentropy_mean,0.01676627453883774,0.003247392936737581,0.013518881602100158,5.162995321311992,0.02,0.02
increase,0.02,random_control,abs_delta_entropy_mean,0.01016949894097947,0.005563146490253218,0.0046063524507262525,1.8280120717289587,0.02,0.02
increase,0.02,random_control,abs_delta_varentropy_mean,0.01676627453883774,0.010012556935671001,0.006753717603166738,1.6745247639097827,0.02,0.02
increase,0.05,grad_orthogonal_control,abs_delta_entropy_mean,0.025628365420277115,0.0020169340570951218,0.023611431363181994,12.706595602430466,0.05,0.05
increase,0.05,grad_orthogonal_control,abs_delta_varentropy_mean,0.04246462825010473,0.009706578996400048,0.03275804925370469,4.37482951159764,0.05,0.05
increase,0.05,random_control,abs_delta_entropy_mean,0.025628365420277115,0.013984382444434179,0.011643982975842937,1.8326419148009838,0.05,0.05
increase,0.05,random_control,abs_delta_varentropy_mean,0.04246462825010473,0.025402430784231173,0.01706219746587356,1.6716757782276923,0.05,0.05
increase,0.1,grad_orthogonal_control,abs_delta_entropy_mean,0.05204855447522256,0.008721607588040015,0.04332694688718254,5.967770729171192,0.1,0.1
increase,0.1,grad_orthogonal_control,abs_delta_varentropy_mean,0.08667436877493886,0.025487235984813162,0.061187132790125706,3.4006970715296356,0.1,0.1
increase,0.1,random_control,abs_delta_entropy_mean,0.05204855447522256,0.028618452682771325,0.023430101792451235,1.8187061002971854,0.1,0.1
increase,0.1,random_control,abs_delta_varentropy_mean,0.08667436877493886,0.0523721653550969,0.03430220341984196,1.654970119857831,0.1,0.1
