model,layer,subspace_family,k,n_subspace_prompt_rows,rho_mean,rho_std,mode,n_interventions
bert-base-uncased,4,delta_pca,1,33,0.1823614907553214,0.21236537915471387,fisher_output_equal,19008
bert-base-uncased,4,delta_pca,1,33,0.1823614907553214,0.21236537915471387,latent_equal,6336
bert-base-uncased,4,delta_pca,4,33,0.5857356128858199,0.17946842153621978,fisher_output_equal,19008
bert-base-uncased,4,delta_pca,4,33,0.5857356128858199,0.17946842153621978,latent_equal,6336
bert-base-uncased,4,delta_pca,8,33,0.8742911990758746,0.1289451219674387,fisher_output_equal,19008
bert-base-uncased,4,delta_pca,8,33,0.8742911990758746,0.1289451219674387,latent_equal,6336
bert-base-uncased,4,random,1,66,0.16822133993021496,0.19244382118143946,fisher_output_equal,19008
bert-base-uncased,4,random,1,66,0.16822133993021496,0.19244382118143946,latent_equal,6336
bert-base-uncased,4,random,4,66,0.521279563787996,0.1925971795332858,fisher_output_equal,19008
bert-base-uncased,4,random,4,66,0.521279563787996,0.1925971795332858,latent_equal,6336
bert-base-uncased,4,random,8,66,0.8182066632455772,0.13537916763763175,fisher_output_equal,19008
bert-base-uncased,4,random,8,66,0.8182066632455772,0.13537916763763175,latent_equal,6336
bert-base-uncased,4,state_pca,1,33,0.18085282189224464,0.1817622509899858,fisher_output_equal,19008
bert-base-uncased,4,state_pca,1,33,0.18085282189224464,0.1817622509899858,latent_equal,6336
bert-base-uncased,4,state_pca,4,33,0.5826849727954351,0.21036182051305713,fisher_output_equal,19008
bert-base-uncased,4,state_pca,4,33,0.5826849727954351,0.21036182051305713,latent_equal,6336
bert-base-uncased,4,state_pca,8,33,0.8393565989388088,0.1495151129152087,fisher_output_equal,19008
bert-base-uncased,4,state_pca,8,33,0.8393565989388088,0.1495151129152087,latent_equal,6336
bert-base-uncased,8,delta_pca,1,33,0.13621238584635512,0.19324953782859675,fisher_output_equal,19008
bert-base-uncased,8,delta_pca,1,33,0.13621238584635512,0.19324953782859675,latent_equal,6336
bert-base-uncased,8,delta_pca,4,33,0.5831989782080299,0.20287467654102195,fisher_output_equal,19008
bert-base-uncased,8,delta_pca,4,33,0.5831989782080299,0.20287467654102195,latent_equal,6336
bert-base-uncased,8,delta_pca,8,33,0.8897562871258067,0.10030380872852815,fisher_output_equal,19008
bert-base-uncased,8,delta_pca,8,33,0.8897562871258067,0.10030380872852815,latent_equal,6336
bert-base-uncased,8,random,1,66,0.1588187337004494,0.16933568298942128,fisher_output_equal,19008
bert-base-uncased,8,random,1,66,0.1588187337004494,0.16933568298942128,latent_equal,6336
bert-base-uncased,8,random,4,66,0.57770762565357,0.23686254353059275,fisher_output_equal,19008
bert-base-uncased,8,random,4,66,0.57770762565357,0.23686254353059275,latent_equal,6336
bert-base-uncased,8,random,8,66,0.8439228035572707,0.1340831698556057,fisher_output_equal,19008
bert-base-uncased,8,random,8,66,0.8439228035572707,0.1340831698556057,latent_equal,6336
bert-base-uncased,8,state_pca,1,33,0.27618013969122873,0.2501452490349996,fisher_output_equal,19008
bert-base-uncased,8,state_pca,1,33,0.27618013969122873,0.2501452490349996,latent_equal,6336
bert-base-uncased,8,state_pca,4,33,0.5976259142211112,0.25347600967020956,fisher_output_equal,19008
bert-base-uncased,8,state_pca,4,33,0.5976259142211112,0.25347600967020956,latent_equal,6336
bert-base-uncased,8,state_pca,8,33,0.8682277242147326,0.12220572389990053,fisher_output_equal,19008
bert-base-uncased,8,state_pca,8,33,0.8682277242147326,0.12220572389990053,latent_equal,6336
bert-base-uncased,12,delta_pca,1,33,0.2849902146651598,0.24307537408680602,fisher_output_equal,19008
bert-base-uncased,12,delta_pca,1,33,0.2849902146651598,0.24307537408680602,latent_equal,6336
bert-base-uncased,12,delta_pca,4,33,0.655683165969275,0.2455576709981018,fisher_output_equal,19008
bert-base-uncased,12,delta_pca,4,33,0.655683165969275,0.2455576709981018,latent_equal,6336
bert-base-uncased,12,delta_pca,8,33,0.8895584417607766,0.10371287904418038,fisher_output_equal,19008
bert-base-uncased,12,delta_pca,8,33,0.8895584417607766,0.10371287904418038,latent_equal,6336
bert-base-uncased,12,random,1,66,0.2654834303309646,0.22672324600846225,fisher_output_equal,19008
bert-base-uncased,12,random,1,66,0.2654834303309646,0.22672324600846225,latent_equal,6336
bert-base-uncased,12,random,4,66,0.6160682673613301,0.22504590392873808,fisher_output_equal,19008
bert-base-uncased,12,random,4,66,0.6160682673613301,0.22504590392873808,latent_equal,6336
bert-base-uncased,12,random,8,66,0.8797683984073438,0.13841900959963918,fisher_output_equal,19008
bert-base-uncased,12,random,8,66,0.8797683984073438,0.13841900959963918,latent_equal,6336
bert-base-uncased,12,state_pca,1,33,0.24874841726671928,0.1902590702064659,fisher_output_equal,19008
bert-base-uncased,12,state_pca,1,33,0.24874841726671928,0.1902590702064659,latent_equal,6336
bert-base-uncased,12,state_pca,4,33,0.6320835276023219,0.23116731024529694,fisher_output_equal,19008
bert-base-uncased,12,state_pca,4,33,0.6320835276023219,0.23116731024529694,latent_equal,6336
bert-base-uncased,12,state_pca,8,33,0.9158434794508558,0.10436359666240551,fisher_output_equal,19008
bert-base-uncased,12,state_pca,8,33,0.9158434794508558,0.10436359666240551,latent_equal,6336
distilbert-base-uncased,2,delta_pca,1,33,0.17972863149719087,0.19689658059196008,fisher_output_equal,19008
distilbert-base-uncased,2,delta_pca,1,33,0.17972863149719087,0.19689658059196008,latent_equal,6336
distilbert-base-uncased,2,delta_pca,4,33,0.5697902307913123,0.24126587210445816,fisher_output_equal,19008
distilbert-base-uncased,2,delta_pca,4,33,0.5697902307913123,0.24126587210445816,latent_equal,6336
distilbert-base-uncased,2,delta_pca,8,33,0.8561204352490174,0.14362338382787898,fisher_output_equal,19008
distilbert-base-uncased,2,delta_pca,8,33,0.8561204352490174,0.14362338382787898,latent_equal,6336
distilbert-base-uncased,2,random,1,66,0.19459787036813625,0.18093034793387083,fisher_output_equal,19008
distilbert-base-uncased,2,random,1,66,0.19459787036813625,0.18093034793387083,latent_equal,6336
distilbert-base-uncased,2,random,4,66,0.5077231838191212,0.22028375353607751,fisher_output_equal,19008
distilbert-base-uncased,2,random,4,66,0.5077231838191212,0.22028375353607751,latent_equal,6336
distilbert-base-uncased,2,random,8,66,0.8015774503582085,0.14474131815730648,fisher_output_equal,19008
distilbert-base-uncased,2,random,8,66,0.8015774503582085,0.14474131815730648,latent_equal,6336
distilbert-base-uncased,2,state_pca,1,33,0.20551978560763082,0.23099327924139884,fisher_output_equal,19008
distilbert-base-uncased,2,state_pca,1,33,0.20551978560763082,0.23099327924139884,latent_equal,6336
distilbert-base-uncased,2,state_pca,4,33,0.5709657526451238,0.2280315436420724,fisher_output_equal,19008
distilbert-base-uncased,2,state_pca,4,33,0.5709657526451238,0.2280315436420724,latent_equal,6336
distilbert-base-uncased,2,state_pca,8,33,0.8931788145252482,0.07190832473892006,fisher_output_equal,19008
distilbert-base-uncased,2,state_pca,8,33,0.8931788145252482,0.07190832473892006,latent_equal,6336
distilbert-base-uncased,4,delta_pca,1,33,0.1366517016583284,0.1736713325064338,fisher_output_equal,19008
distilbert-base-uncased,4,delta_pca,1,33,0.1366517016583284,0.1736713325064338,latent_equal,6336
distilbert-base-uncased,4,delta_pca,4,33,0.4867505693374293,0.21737833150735347,fisher_output_equal,19008
distilbert-base-uncased,4,delta_pca,4,33,0.4867505693374293,0.21737833150735347,latent_equal,6336
distilbert-base-uncased,4,delta_pca,8,33,0.8121793898092916,0.12568145554468618,fisher_output_equal,19008
distilbert-base-uncased,4,delta_pca,8,33,0.8121793898092916,0.12568145554468618,latent_equal,6336
distilbert-base-uncased,4,random,1,66,0.17497590460210125,0.18783999717523966,fisher_output_equal,19008
distilbert-base-uncased,4,random,1,66,0.17497590460210125,0.18783999717523966,latent_equal,6336
distilbert-base-uncased,4,random,4,66,0.4239234605844686,0.20298294391002686,fisher_output_equal,19008
distilbert-base-uncased,4,random,4,66,0.4239234605844686,0.20298294391002686,latent_equal,6336
distilbert-base-uncased,4,random,8,66,0.7637425606095163,0.17418392159944432,fisher_output_equal,19008
distilbert-base-uncased,4,random,8,66,0.7637425606095163,0.17418392159944432,latent_equal,6336
distilbert-base-uncased,4,state_pca,1,33,0.1521874086969728,0.16743333833129115,fisher_output_equal,19008
distilbert-base-uncased,4,state_pca,1,33,0.1521874086969728,0.16743333833129115,latent_equal,6336
distilbert-base-uncased,4,state_pca,4,33,0.49506080312090867,0.1954231717650855,fisher_output_equal,19008
distilbert-base-uncased,4,state_pca,4,33,0.49506080312090867,0.1954231717650855,latent_equal,6336
distilbert-base-uncased,4,state_pca,8,33,0.8011778546077609,0.16212498547627857,fisher_output_equal,19008
distilbert-base-uncased,4,state_pca,8,33,0.8011778546077609,0.16212498547627857,latent_equal,6336
distilbert-base-uncased,6,delta_pca,1,33,0.1582637755802377,0.20037504589501745,fisher_output_equal,19008
distilbert-base-uncased,6,delta_pca,1,33,0.1582637755802377,0.20037504589501745,latent_equal,6336
distilbert-base-uncased,6,delta_pca,4,33,0.5548394200020071,0.2145316184692182,fisher_output_equal,19008
distilbert-base-uncased,6,delta_pca,4,33,0.5548394200020071,0.2145316184692182,latent_equal,6336
distilbert-base-uncased,6,delta_pca,8,33,0.8594987612652861,0.10052706185184719,fisher_output_equal,19008
distilbert-base-uncased,6,delta_pca,8,33,0.8594987612652861,0.10052706185184719,latent_equal,6336
distilbert-base-uncased,6,random,1,66,0.15157861678789059,0.18046905836411067,fisher_output_equal,19008
distilbert-base-uncased,6,random,1,66,0.15157861678789059,0.18046905836411067,latent_equal,6336
distilbert-base-uncased,6,random,4,66,0.5866244791716441,0.20806515374273832,fisher_output_equal,19008
distilbert-base-uncased,6,random,4,66,0.5866244791716441,0.20806515374273832,latent_equal,6336
distilbert-base-uncased,6,random,8,66,0.8591715162813777,0.14574532517066238,fisher_output_equal,19008
distilbert-base-uncased,6,random,8,66,0.8591715162813777,0.14574532517066238,latent_equal,6336
distilbert-base-uncased,6,state_pca,1,33,0.13780121591984387,0.12472206248272097,fisher_output_equal,19008
distilbert-base-uncased,6,state_pca,1,33,0.13780121591984387,0.12472206248272097,latent_equal,6336
distilbert-base-uncased,6,state_pca,4,33,0.5697861998305593,0.2423467790095433,fisher_output_equal,19008
distilbert-base-uncased,6,state_pca,4,33,0.5697861998305593,0.2423467790095433,latent_equal,6336
distilbert-base-uncased,6,state_pca,8,33,0.8737995731633531,0.12357386410803964,fisher_output_equal,19008
distilbert-base-uncased,6,state_pca,8,33,0.8737995731633531,0.12357386410803964,latent_equal,6336
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,1,33,0.13301792186538636,0.1611294477777112,fisher_output_equal,12672
google/bert_uncased_L-2_H-128_A-2,1,delta_pca,1,33,0.13301792186538636,0.1611294477777112,latent_equal,4224
