model,task,sign,epsilon,n,abs_delta_entropy_mean,abs_delta_varentropy_mean,selected_top1_changed_rate,target_in_topk_rate,target_correct_changed_rate,embedding_centroid_delta_norm_mean,cluster_distribution_l1_mean,rank_displacement_mean,top5_jaccard_mean,selected_prob_l1_mean,selected_kl_mean,abs_non_target_mass_delta_mean
bert-base-uncased,ambiguous_open,decrease,0.02,432,0.010624253001249225,0.019188223432110522,0.0,0.0,0.0,0.006518214687635305,0.011001402405514256,0.013082210998877665,0.9776234567901234,0.01607172961422707,0.00019688794340486123,
bert-base-uncased,ambiguous_open,decrease,0.05,432,0.02643385610275344,0.04716748946915822,0.016203703703703703,0.0,0.0,0.016087653682244345,0.027138693739894255,0.030022446689113354,0.9483024691358025,0.039649759964979034,0.001203293002295991,
bert-base-uncased,ambiguous_open,decrease,0.1,432,0.052389980388992674,0.0915412390037781,0.05092592592592592,0.0,0.0,0.03152355120764424,0.05314965745513472,0.05103114478114478,0.9096119929453264,0.07760552860885236,0.004650879268725207,
bert-base-uncased,ambiguous_open,increase,0.02,432,0.010684433186638783,0.019584494018546013,0.0,0.0,0.0,0.00663421509864983,0.011197624456880776,0.011749438832772165,0.9783950617283951,0.016358880400554308,0.0002032660393644929,
bert-base-uncased,ambiguous_open,increase,0.05,432,0.02681826694847779,0.04962530486060936,0.009259259259259259,0.0,0.0,0.016809649579199278,0.028362253564748995,0.029601571268237932,0.9506172839506173,0.041450805080406286,0.0013026465396787585,
bert-base-uncased,ambiguous_open,increase,0.1,432,0.05393934768719122,0.10090281598659111,0.0625,0.0,0.0,0.034384604255501654,0.05797254341039094,0.055941358024691364,0.9028880070546736,0.08474446923272506,0.005439354719452026,
bert-base-uncased,factual_deep,decrease,0.02,432,0.012229791065395536,0.01570279955812023,0.0023148148148148147,0.25,0.0,0.006446502244603286,0.011323258025601754,0.012485970819304151,0.9837962962962963,0.015698100001002132,0.00019616067420786948,0.004889551096578223
bert-base-uncased,factual_deep,decrease,0.05,432,0.030026250816300917,0.03885482002481285,0.011574074074074073,0.25,0.0,0.015868677308497652,0.027835595234666128,0.027672558922558918,0.9683641975308641,0.03859108461645698,0.00119776858434509,0.011683519244137151
bert-base-uncased,factual_deep,decrease,0.1,432,0.05854047842828995,0.0773132557714711,0.023148148148148147,0.25,0.0,0.031018976031555814,0.05422340074683869,0.048856621773288436,0.9359567901234568,0.07523791704804131,0.0046945087943873545,0.021599056711549606
bert-base-uncased,factual_deep,increase,0.02,432,0.012617106022205511,0.015961475342504458,0.0023148148148148147,0.25,0.0,0.006601504962964549,0.011626377612781671,0.013468013468013466,0.9714506172839507,0.016108468976968375,0.00020443526666913354,0.005189169392869395
bert-base-uncased,factual_deep,increase,0.05,432,0.0323197085369643,0.040378358460577635,0.016203703703703703,0.25,0.0,0.016827242970980056,0.02968358000346473,0.02984708193041526,0.9377204585537918,0.04109376883632615,0.0013255163568681944,0.013560121951171244
bert-base-uncased,factual_deep,increase,0.1,432,0.06708221452830282,0.08175327900936542,0.05324074074074074,0.25,0.0,0.03479609883223116,0.06160046578650526,0.05439814814814815,0.8893298059964727,0.08502920852126614,0.005666845573029756,0.029115564467814964
bert-base-uncased,factual_simple,decrease,0.02,324,0.012265470151734133,0.020706717294483402,0.0,0.48148148148148145,0.0,0.0069745510283357555,0.011534780500384529,0.011036288814066592,0.9681069958847737,0.015457382381717611,0.0001943163477978069,0.0023831595028616474
