split,budget,contrast,metric,policy,control,delta_policy_minus_control,p_value,bh_fdr_q_value
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.17562036238136325,0.1678113316077078,0.00780903077365544,0.013397320535892822,0.02151254336946231
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,20.008140056685786,19.84384960368245,0.16429045300333556,0.003999200159968006,0.007166566686662668
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.8243796376186368,0.8321886683922923,-0.007809030773655579,0.014397120575884824,0.022953416434150893
grouped_example_5fold,0.05,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8780776531492667,0.8792257693413863,-0.0011481161921196303,0.012397520495900819,0.020050863473514684
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.12794477998274373,0.12672073626689676,0.001224043715846973,0.08178364327134573,0.10408827325444002
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,15.811361999215885,16.706603890371202,-0.895241891155317,0.047190561887622474,0.06525114730140391
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8720552200172562,0.8732792637331033,-0.0012240437158470563,0.09498100379924015,0.11852782646813256
grouped_example_5fold,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.8423974690825424,0.8553085993672707,-0.012911130284728234,0.023795240951809637,0.03613650151325667
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.14935174000575208,0.12207305148116192,0.02727868852459016,0.014197160567886422,0.022715456908618276
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,movement_per_drift,15.99232865583827,17.651693348640094,-1.6593646928018249,0.3017396520695861,0.33213602979649764
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.850648259994248,0.8779269485188381,-0.027278688524590144,0.015996800639872025,0.025234389741769957
grouped_example_5fold,0.05,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9119953983318952,0.9290871440897325,-0.01709174575783723,0.7556488702259548,0.7836358654195087
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,safe_movement_rate,0.14935174000575208,0.09802243313201035,0.05132930687374172,0.8082383523295341,0.8323926019393824
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,movement_per_drift,15.99232865583827,24.753685785712584,-8.761357129874314,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,regret_vs_oracle,0.850648259994248,0.9019775668679897,-0.05132930687374171,0.8008398320335933,0.826673375002419
grouped_example_5fold,0.05,rho_only_vs_shuffled_rho,topk_preservation,0.9119953983318952,0.9526534368708657,-0.04065803853897043,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.05,rho_only_vs_random,safe_movement_rate,0.14935174000575208,0.1075156744319816,0.04183606557377048,0.707258548290342,0.73686472007924
grouped_example_5fold,0.05,rho_only_vs_random,movement_per_drift,15.99232865583827,20.605085368503484,-4.612756712665215,0.0003999200159968006,0.0009003224480731995
grouped_example_5fold,0.05,rho_only_vs_random,regret_vs_oracle,0.850648259994248,0.8924843255680184,-0.0418360655737704,0.7038592281543691,0.7350324806833505
grouped_example_5fold,0.05,rho_only_vs_random,topk_preservation,0.9119953983318952,0.9459165947656025,-0.03392119643370728,0.0001999600079984003,0.0005089891112686554
grouped_example_5fold,0.05,rho_only_vs_highest_entropy,safe_movement_rate,0.14935174000575208,0.028732815645671556,0.12061892436008052,0.0001999600079984003,0.0005089891112686554
