split,fold,budget,policy,cluster_id,example_id,model,task,layer,route_family,subspace_dim,rho,entropy,varentropy,confidence,projected_gradient_norm,unit_fisher_output_energy,jacobian_norm,safe_movement,safe_varentropy_movement,abs_delta_entropy,abs_delta_varentropy,drift,top1_preserved,topk_jaccard,applied_fisher_energy,regret_vs_oracle
leave_one_model_out,distilgpt2,0.3,random,distilgpt2::decoder_completion::17,distilgpt2::decoder_completion::17::same_fisher_output_energy::0.1,distilgpt2,decoder_completion,1.0,random,1.0,0.8894992208576187,0.9827246805156912,0.2447533735328209,0.5675365293435871,352.28459750326294,1.0,19.04165831801627,0.0,0.0,0.0507786734171746,0.092413053619789,0.0012232472985285,1.0,1.0,0.01,0.2729766803840878
leave_one_route_family_out,random,0.2,gradient_plus_rho_learned,distilgpt2::factual_error_prompt::8,distilgpt2::factual_error_prompt::8::same_fisher_output_energy::0.025,distilgpt2,factual_error_prompt,1.0,random,2.0,0.9857077702267882,0.1929610389091085,0.5622862362164432,0.9590564520883986,587.5884988173144,1.0,19.30182252668049,1.0,1.0,0.0197968017627462,0.0294984354998819,9.15112228529857e-05,1.0,1.0,0.000625,0.3950617283950617
leave_one_route_family_out,random,0.3,rho_shuffled_within_fisher_bin,Qwen/Qwen2.5-0.5B::decoder_qa_completion::13,Qwen/Qwen2.5-0.5B::decoder_qa_completion::13::same_fisher_output_energy::0.2,Qwen/Qwen2.5-0.5B,decoder_qa_completion,12.0,random,4.0,0.5390739736107505,1.1399102583525575,0.3126517788251014,0.4487202472000466,170.5635178490918,1.0,19.56835576818633,0.0,0.0,0.0399430785006238,0.1270041967548383,0.0045333897097154,1.0,1.0,0.04,0.2510288065843621
leave_one_route_family_out,state_pca,0.2,lowest_confidence,microsoft/phi-2::masked_factual_cloze::0,microsoft/phi-2::masked_factual_cloze::0::same_fisher_output_energy::0.01,microsoft/phi-2,masked_factual_cloze,8.0,state_pca,4.0,0.4148623671615187,1.7333394974873733,0.5233086434175988,0.372939085153729,9.36236937715575,1.0,6.296809276675261,0.0,0.0,0.0006140279896917,0.0049829137571325,1.1597128803384046e-05,1.0,1.0,0.0001,0.6234567901234568
grouped_example_5fold,fold_2,0.2,rho_only,distilgpt2::decoder_qa_completion::13,distilgpt2::decoder_qa_completion::13::same_fisher_output_energy::0.01,distilgpt2,decoder_qa_completion,1.0,delta_pca,4.0,0.9932409244915308,0.1508182356030915,0.6042725694185932,0.9738372098692072,265.0256056321066,1.0,17.041413196756146,0.0,1.0,0.0059865749379665,0.0143816178136678,1.1317242172248076e-05,1.0,1.0,0.0001,0.5596707818930041
leave_one_route_family_out,random,0.2,gradient_plus_rho_learned,distilgpt2::factual_error_prompt::11,distilgpt2::factual_error_prompt::11::same_fisher_output_energy::0.05,distilgpt2,factual_error_prompt,1.0,random,4.0,0.9276824932276768,0.6802037684542526,0.9757293998802192,0.7886369223836172,207.8094898774384,1.0,18.874573331128214,0.0,0.0,0.0398474587318301,0.0074515370612492,0.0002932931824656,1.0,1.0,0.0025,0.3950617283950617
leave_one_task_out,decoder_qa_completion,0.2,highest_varentropy,Qwen/Qwen2.5-0.5B::decoder_qa_completion::14,Qwen/Qwen2.5-0.5B::decoder_qa_completion::14::same_fisher_output_energy::0.05,Qwen/Qwen2.5-0.5B,decoder_qa_completion,12.0,random,1.0,0.6395052758241924,1.228378306320298,1.1582161636587962,0.6220414450842728,49.84272244384788,1.0,16.488020158237696,0.0,0.0,0.040929503487417,0.0440189113514954,0.0002768358295489,1.0,1.0,0.0025,0.4814814814814815
leave_one_task_out,decoder_completion,0.2,gradient_only_learned,distilgpt2::decoder_completion::16,distilgpt2::decoder_completion::16::same_fisher_output_energy::0.025,distilgpt2,decoder_completion,4.0,random,4.0,0.9900012125711456,0.4809361746252444,0.3901791919432765,0.8180226592934717,213.3078840837183,1.0,11.100763542576331,1.0,1.0,0.0130527661702858,0.0201595550145879,7.636952168975638e-05,1.0,1.0,0.000625,0.4320987654320988
leave_one_route_family_out,state_pca,0.2,controls_plus_rho_learned,Qwen/Qwen2.5-0.5B::ambiguous_prompt::4,Qwen/Qwen2.5-0.5B::ambiguous_prompt::4::same_fisher_output_energy::0.1,Qwen/Qwen2.5-0.5B,ambiguous_prompt,18.0,state_pca,4.0,0.9682573962595596,0.4379819535299921,0.83956024962791,0.8810335941902604,68.14837590293973,1.0,8.647924340063847,0.0,0.0,0.0803654763848072,0.0068586699978122,0.0013658261985587,1.0,1.0,0.01,0.4567901234567901
grouped_example_5fold,fold_4,0.3,highest_fisher_output_energy,Qwen/Qwen2.5-0.5B::ambiguous_prompt::5,Qwen/Qwen2.5-0.5B::ambiguous_prompt::5::same_fisher_output_energy::0.01,Qwen/Qwen2.5-0.5B,ambiguous_prompt,6.0,delta_pca,4.0,0.9811771326210076,1.0977555347492918,1.1212057488948388,0.6531483852094707,102.03932168041412,1.0,21.944684443842757,0.0,0.0,0.008807465446426,0.0081342831966528,1.1296621510327736e-05,1.0,1.0,0.0001,0.2451499118165784
leave_one_route_family_out,random,0.2,rho_shuffled_within_fisher_bin,distilgpt2::decoder_qa_completion::14,distilgpt2::decoder_qa_completion::14::same_fisher_output_energy::0.1,distilgpt2,decoder_qa_completion,4.0,random,2.0,0.9771402936191322,0.0062673166190678,0.0457155708210868,0.9993125129317432,298.92348141546444,1.0,9.954232924601994,0.0,0.0,0.4748995996240606,0.9376401491956544,0.0425611713734987,1.0,0.5,0.01,0.4259259259259259
leave_one_model_out,distilgpt2,0.3,rho_shuffled_within_varentropy_bin,distilgpt2::factual_error_prompt::11,distilgpt2::factual_error_prompt::11::same_fisher_output_energy::0.01,distilgpt2,factual_error_prompt,4.0,state_pca,4.0,0.9489232440602344,1.172708055126035,0.9652148065534106,0.6121039183608562,66.4310488346333,1.0,10.227445843594682,0.0,0.0,0.0048811393788525,0.0078267315204834,1.6708366230814138e-05,1.0,1.0,0.0001,0.2784636488340192
leave_one_model_out,microsoft__phi-2,0.2,controls_plus_rho_learned,microsoft/phi-2::ambiguous_prompt::6,microsoft/phi-2::ambiguous_prompt::6::same_fisher_output_energy::0.01,microsoft/phi-2,ambiguous_prompt,24.0,delta_pca,4.0,0.8161123565146879,1.0917359676341785,1.1519779324904538,0.665635730848416,11.049745491305254,1.0,2.662977843196239,0.0,0.0,0.0010708555248497,0.0069343712272897,1.206656269075139e-05,1.0,1.0,0.0001,0.3333333333333333
