model,model_type,item_id,task,layer,route_family,subspace_dim,budget_mode,eps,rho,rank,entropy,varentropy,confidence,margin,jacobian_norm,projected_gradient_norm,fisher_output_energy,unit_fisher_output_energy,applied_fisher_energy,uncertainty_movement,varentropy_movement,delta_entropy,drift,top1_preserved,topk_jaccard,safe_movement,base_confidence,max_uncertainty_movement,max_safe_movement,safe_movement_target,minimal_energy,minimal_eps
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,1,same_epsilon,0.01,0.007059241549303413,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0017778236969519857,0.0017778236969519857,1.7778236969519857e-07,0.00016339130698966864,7.49874077476953e-05,0.00016339130698966864,3.36271831438152e-08,1,1.0,0,0.46125296182639597,0.002106607078425138,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,1,same_fisher_output_energy,0.01,0.007059241549303413,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0017778236969519857,1.0,0.0001,0.0014514716309488307,0.005730901299779934,0.0014514716309488307,1.303314276363736e-05,1,1.0,0,0.46125296182639597,0.11566184494572118,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,2,same_epsilon,0.01,0.030136630665381876,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0019914139078255452,0.0019914139078255452,1.9914139078255453e-07,0.00012905450736877544,0.00035328581224147726,0.00012905450736877544,2.426407596064478e-08,1,1.0,0,0.46125296182639597,0.0006819330122043721,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,2,same_fisher_output_energy,0.01,0.030136630665381876,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0019914139078255452,1.0,0.0001,0.0003621903856043107,0.0015966587295590529,-0.0003621903856043107,1.2497333885553685e-05,1,1.0,0,0.46125296182639597,0.09101260368414538,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,4,same_epsilon,0.01,0.8585356191485943,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0017926973734759127,0.0017926973734759127,1.792697373475913e-07,0.00028191449429793014,0.0002738958854591189,-0.00028191449429793014,4.475757555093726e-08,1,1.0,0,0.46125296182639597,0.0008970029995341022,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,delta_pca,4,same_fisher_output_energy,0.01,0.8585356191485943,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0017926973734759127,1.0,0.0001,0.0003749559358048882,0.0012998453807679944,-0.0003749559358048882,1.2220260702315667e-05,1,1.0,0,0.46125296182639597,0.10009224898055064,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,1,same_epsilon,0.01,0.05169900118983595,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0014770725658856693,0.0014770725658856693,1.4770725658856692e-07,0.0010502627242061635,0.0016275371597003208,0.0010502627242061635,1.4698520812495954e-07,1,1.0,0,0.46125296182639597,0.0012167670067018688,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,1,same_fisher_output_energy,0.01,0.05169900118983595,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0014770725658856693,1.0,0.0001,0.0021697337142401185,0.004576926694843664,-0.0021697337142401185,1.2719915853918418e-05,1,1.0,0,0.46125296182639597,0.09126419046919104,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,2,same_epsilon,0.01,0.46164876782886927,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0015268362046034108,0.0015268362046034108,1.5268362046034106e-07,0.00046941119704935197,0.0006758170302978428,0.00046941119704935197,3.7789640896313735e-08,1,1.0,0,0.46125296182639597,0.0009503837604326604,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,2,same_fisher_output_energy,0.01,0.46164876782886927,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0015268362046034108,1.0,0.0001,0.0005774891374947799,0.00297771574026795,-0.0005774891374947799,1.1998306486313748e-05,1,1.0,0,0.46125296182639597,0.12598913415726748,0.0,0,0.010000000000000002,0.1
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,4,same_epsilon,0.01,0.8664242197484855,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0027636568348873044,0.0027636568348873044,2.763656834887305e-07,0.0007276202605479565,0.0012179817247588431,0.0007276202605479565,7.665752068160117e-08,1,1.0,0,0.46125296182639597,0.004440651865891376,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,random,4,same_fisher_output_energy,0.01,0.8664242197484855,4,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.0027636568348873044,1.0,0.0001,0.004222973592111545,0.0019201198031679745,-0.004222973592111545,1.2588091132632211e-05,1,1.0,0,0.46125296182639597,0.02307373275505037,0.0,0,0.0025000000000000005,0.05
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,1,same_epsilon,0.01,0.46352939636072554,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.004188365119710751,0.004188365119710751,4.1883651197107516e-07,0.0004859912411713796,0.0012650824909492542,0.0004859912411713796,6.840402398411246e-08,1,1.0,0,0.46125296182639597,0.00978418970087297,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,1,same_fisher_output_energy,0.01,0.46352939636072554,1,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.004188365119710751,1.0,0.0001,0.007462574990947823,0.01933692539796028,0.007462574990947823,1.3467101417408026e-05,1,1.0,0,0.46125296182639597,0.31385835582189614,0.01931244117398223,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,6,state_pca,2,same_epsilon,0.01,0.5650179454940589,2,0.34876457964615826,1.0222661537605457,0.9269200565062092,0.881041035774547,20.17763001405088,148.73107903648267,0.008668297031877001,0.008668297031877001,8.668297031877001e-07,0.0012662755607998344,0.0025857817456964582,0.0012662755607998344,2.682771531734292e-07,1,1.0,0,0.46125296182639597,0.014046553110515725,0.014046553110515725,1,0.0003467318812750801,0.2
