contrast,metric,high_rho,control,delta_high_rho_minus_control
high_rho_route_vs_low_rho_route,safe_movement_rate,0.09523809523809523,0.004761904761904762,0.09047619047619047
high_rho_route_vs_low_rho_route,mean_uncertainty_movement,0.02119474318983035,0.0109653253105094,0.010229417879320952
high_rho_route_vs_low_rho_route,mean_varentropy_movement,0.023452897780443568,0.019548373824907747,0.0039045239555358206
high_rho_route_vs_low_rho_route,mean_drift,0.0010817708251654498,0.0018618165033256326,-0.0007800456781601828
high_rho_route_vs_low_rho_route,top1_preserved_rate,0.9936507936507937,0.9587301587301588,0.03492063492063491
high_rho_route_vs_low_rho_route,topk_jaccard_mean,0.9785714285714285,0.9801587301587301,-0.0015873015873015817
high_rho_route_vs_high_gradient_route,safe_movement_rate,0.09523809523809523,0.08412698412698413,0.0111111111111111
high_rho_route_vs_high_gradient_route,mean_uncertainty_movement,0.02119474318983035,0.019866819076376822,0.001327924113453529
high_rho_route_vs_high_gradient_route,mean_varentropy_movement,0.023452897780443568,0.024288983662553134,-0.0008360858821095662
high_rho_route_vs_high_gradient_route,mean_drift,0.0010817708251654498,0.000800699149252865,0.0002810716759125847
high_rho_route_vs_high_gradient_route,top1_preserved_rate,0.9936507936507937,0.9809523809523809,0.012698412698412764
high_rho_route_vs_high_gradient_route,topk_jaccard_mean,0.9785714285714285,0.969047619047619,0.00952380952380949
high_rho_route_vs_high_jacobian_route,safe_movement_rate,0.09523809523809523,0.07936507936507936,0.015873015873015872
high_rho_route_vs_high_jacobian_route,mean_uncertainty_movement,0.02119474318983035,0.017738627639499786,0.003456115550330565
high_rho_route_vs_high_jacobian_route,mean_varentropy_movement,0.023452897780443568,0.023578256648018183,-0.00012535886757461534
high_rho_route_vs_high_jacobian_route,mean_drift,0.0010817708251654498,0.000734941175453697,0.0003468296497117528
high_rho_route_vs_high_jacobian_route,top1_preserved_rate,0.9936507936507937,0.9746031746031746,0.01904761904761909
high_rho_route_vs_high_jacobian_route,topk_jaccard_mean,0.9785714285714285,0.9880952380952381,-0.009523809523809601
high_rho_route_vs_high_fisher_energy_route,safe_movement_rate,0.09523809523809523,0.10476190476190476,-0.009523809523809532
high_rho_route_vs_high_fisher_energy_route,mean_uncertainty_movement,0.02119474318983035,0.018236973554373072,0.0029577696354572795
high_rho_route_vs_high_fisher_energy_route,mean_varentropy_movement,0.023452897780443568,0.022809054733079957,0.0006438430473636111
high_rho_route_vs_high_fisher_energy_route,mean_drift,0.0010817708251654498,0.0006075600161188826,0.00047421080904656713
high_rho_route_vs_high_fisher_energy_route,top1_preserved_rate,0.9936507936507937,0.9920634920634921,0.0015873015873015817
high_rho_route_vs_high_fisher_energy_route,topk_jaccard_mean,0.9785714285714285,0.9873015873015873,-0.00873015873015881
high_rho_route_vs_deterministic_random_route,safe_movement_rate,0.09523809523809523,0.047619047619047616,0.047619047619047616
high_rho_route_vs_deterministic_random_route,mean_uncertainty_movement,0.02119474318983035,0.019686808971548776,0.0015079342182815758
high_rho_route_vs_deterministic_random_route,mean_varentropy_movement,0.023452897780443568,0.020721831637680783,0.002731066142762785
high_rho_route_vs_deterministic_random_route,mean_drift,0.0010817708251654498,0.0013095996728715402,-0.00022782884770609045
high_rho_route_vs_deterministic_random_route,top1_preserved_rate,0.9936507936507937,0.9809523809523809,0.012698412698412764
high_rho_route_vs_deterministic_random_route,topk_jaccard_mean,0.9785714285714285,0.9753968253968254,0.0031746031746031633
