domain,target_review_cost,contrast,metric,ci_low,median,ci_high
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,automatic_accuracy,-0.014788732394366177,-0.010548523206751037,-0.006320224719101097
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,deferred_error_capture,-0.425531914893617,-0.302677942212826,-0.18181818181818177
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,error_on_non_deferred,0.006320224719101123,0.010548523206751054,0.014788732394366197
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,reviewed_error_rate,-0.0736842105263158,-0.05263157894736842,-0.03157894736842104
medical_breast_cancer,0.17,rho_fixed_review_vs_entropy_fixed_review,safe_decision_rate,-0.012316715542522005,-0.008787346221441172,-0.005266237565828
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,automatic_accuracy,-0.014788732394366177,-0.010548523206751037,-0.006320224719101097
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,deferred_error_capture,-0.425531914893617,-0.302677942212826,-0.18181818181818177
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,error_on_non_deferred,0.006320224719101123,0.010548523206751054,0.014788732394366197
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,review_cost,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,reviewed_error_rate,-0.0736842105263158,-0.05263157894736842,-0.03157894736842104
medical_breast_cancer,0.17,rho_fixed_review_vs_gradient_fixed_review,safe_decision_rate,-0.012316715542522005,-0.008787346221441172,-0.005266237565828
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,automatic_accuracy,-0.016197183098591528,-0.01196340605207602,-0.007032348804500763
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,coverage,0.0,0.0,0.0
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,deferred_error_capture,-0.4680851063829787,-0.35,-0.20754716981132082
medical_breast_cancer,0.17,rho_fixed_review_vs_jacobian_fixed_review,error_on_non_deferred,0.007032348804500704,0.011963406052076003,0.01619718309859155
