domain,target_review_cost,policy,n,review_cost,coverage,automatic_accuracy,error_on_non_deferred,safe_decision_rate,reviewed_error_rate,deferred_error_capture
medical_breast_cancer,0.17,entropy_fixed_review,1707,0.16695957820738136,0.8330404217926186,0.9950773558368495,0.004922644163150493,0.9958992384299942,0.14736842105263157,0.8571428571428571
medical_breast_cancer,0.17,gradient_fixed_review,1707,0.16695957820738136,0.8330404217926186,0.9950773558368495,0.004922644163150493,0.9958992384299942,0.14736842105263157,0.8571428571428571
medical_breast_cancer,0.17,jacobian_fixed_review,1707,0.16695957820738136,0.8330404217926186,0.9964838255977496,0.0035161744022503515,0.997070884592853,0.1543859649122807,0.8979591836734694
medical_breast_cancer,0.17,rho_fixed_review,1707,0.16695957820738136,0.8330404217926186,0.9845288326300985,0.015471167369901548,0.987111892208553,0.09473684210526316,0.5510204081632653
medical_breast_cancer,0.19,entropy_fixed_review,1707,0.19156414762741653,0.8084358523725835,0.9956521739130435,0.004347826086956522,0.9964850615114236,0.13149847094801223,0.8775510204081632
medical_breast_cancer,0.19,gradient_fixed_review,1707,0.19156414762741653,0.8084358523725835,0.9956521739130435,0.004347826086956522,0.9964850615114236,0.13149847094801223,0.8775510204081632
medical_breast_cancer,0.19,jacobian_fixed_review,1707,0.19156414762741653,0.8084358523725835,0.9971014492753624,0.002898550724637681,0.9976567076742824,0.13761467889908258,0.9183673469387755
medical_breast_cancer,0.19,rho_fixed_review,1707,0.19156414762741653,0.8084358523725835,0.9840579710144928,0.015942028985507246,0.987111892208553,0.08256880733944955,0.5510204081632653
vision_digits_perception,0.17,entropy_fixed_review,5391,0.16972732331663884,0.8302726766833611,0.9968722073279714,0.003127792672028597,0.9974030792060842,0.1551912568306011,0.9102564102564102
vision_digits_perception,0.17,gradient_fixed_review,5391,0.16972732331663884,0.8302726766833611,0.9968722073279714,0.003127792672028597,0.9974030792060842,0.1551912568306011,0.9102564102564102
vision_digits_perception,0.17,jacobian_fixed_review,5391,0.16972732331663884,0.8302726766833611,0.9787756925826631,0.02122430741733691,0.9823780374698572,0.06666666666666667,0.391025641025641
vision_digits_perception,0.17,rho_fixed_review,5391,0.16972732331663884,0.8302726766833611,0.9964253798033958,0.0035746201966041107,0.9970320905212391,0.15300546448087432,0.8974358974358975
vision_digits_perception,0.19,entropy_fixed_review,5391,0.18920422927100725,0.8107957707289928,0.9967970716083276,0.003202928391672386,0.9974030792060842,0.1392156862745098,0.9102564102564102
vision_digits_perception,0.19,gradient_fixed_review,5391,0.18920422927100725,0.8107957707289928,0.9967970716083276,0.003202928391672386,0.9974030792060842,0.1392156862745098,0.9102564102564102
vision_digits_perception,0.19,jacobian_fixed_review,5391,0.18920422927100725,0.8107957707289928,0.9803248684511553,0.01967513154884466,0.9840474865516602,0.06862745098039216,0.44871794871794873
vision_digits_perception,0.19,rho_fixed_review,5391,0.18920422927100725,0.8107957707289928,0.9963395104095173,0.0036604895904827272,0.9970320905212391,0.13725490196078433,0.8974358974358975
