domain,contrast,metric,rho_guided,control,delta_rho_minus_control
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,coverage,0.8394844756883422,0.6854130052724078,0.1540714704159344
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,human_review_cost,0.1605155243116579,0.3145869947275923,-0.1540714704159344
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,automatic_accuracy,0.9867411025819958,0.9974358974358974,-0.010694794853901679
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,error_on_non_deferred,0.013258897418004187,0.002564102564102564,0.010694794853901624
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,safe_decision_rate,0.9888693614528412,0.9982425307557118,-0.009373169302870576
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,false_intervention_rate,0.28763913298183946,0.28763913298183946,0.0
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,near_miss_surrogate_rate,0.011130638547158758,0.0017574692442882249,0.009373169302870533
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,compute_sensor_budget,0.19903339191564148,0.3145869947275923,-0.11555360281195079
medical_breast_cancer,rho_guided_review_or_refine_vs_entropy_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,coverage,0.8394844756883422,0.6854130052724078,0.1540714704159344
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,human_review_cost,0.1605155243116579,0.3145869947275923,-0.1540714704159344
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,automatic_accuracy,0.9867411025819958,0.9974358974358974,-0.010694794853901679
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,error_on_non_deferred,0.013258897418004187,0.002564102564102564,0.010694794853901624
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,safe_decision_rate,0.9888693614528412,0.9982425307557118,-0.009373169302870576
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,false_intervention_rate,0.28763913298183946,0.28763913298183946,0.0
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,near_miss_surrogate_rate,0.011130638547158758,0.0017574692442882249,0.009373169302870533
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,compute_sensor_budget,0.19903339191564148,0.3145869947275923,-0.11555360281195079
medical_breast_cancer,rho_guided_review_or_refine_vs_gradient_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,coverage,0.8295254833040422,0.6854130052724078,0.1441124780316344
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,human_review_cost,0.1704745166959578,0.3145869947275923,-0.14411247803163446
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,automatic_accuracy,0.9887005649717514,0.9974358974358974,-0.00873533246414604
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,error_on_non_deferred,0.011299435028248588,0.002564102564102564,0.008735332464146024
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,safe_decision_rate,0.9906268306971294,0.9982425307557118,-0.007615700058582364
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,false_intervention_rate,0.28763913298183946,0.28763913298183946,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,near_miss_surrogate_rate,0.009373169302870533,0.0017574692442882249,0.007615700058582309
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,compute_sensor_budget,0.20650263620386644,0.3145869947275923,-0.10808435852372583
medical_breast_cancer,rho_guided_guarded_refine_vs_entropy_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,coverage,0.8295254833040422,0.6854130052724078,0.1441124780316344
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,human_review_cost,0.1704745166959578,0.3145869947275923,-0.14411247803163446
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,automatic_accuracy,0.9887005649717514,0.9974358974358974,-0.00873533246414604
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,error_on_non_deferred,0.011299435028248588,0.002564102564102564,0.008735332464146024
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,safe_decision_rate,0.9906268306971294,0.9982425307557118,-0.007615700058582364
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,false_intervention_rate,0.28763913298183946,0.28763913298183946,0.0
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,near_miss_surrogate_rate,0.009373169302870533,0.0017574692442882249,0.007615700058582309
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,compute_sensor_budget,0.20650263620386644,0.3145869947275923,-0.10808435852372583
medical_breast_cancer,rho_guided_guarded_refine_vs_gradient_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,coverage,0.8408458542014469,0.6779818215544426,0.16286403264700422
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,human_review_cost,0.15915414579855314,0.3220181784455574,-0.16286403264700428
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,automatic_accuracy,0.9810280167659386,0.9972640218878249,-0.016236005121886277
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,error_on_non_deferred,0.018971983234061327,0.0027359781121751026,0.016236005121886225
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,safe_decision_rate,0.9840474865516602,0.9981450565757745,-0.01409757002411427
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,false_intervention_rate,0.29493600445186424,0.29493600445186424,0.0
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,near_miss_surrogate_rate,0.013726581339269153,0.001854943424225561,0.011871637915043592
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,compute_sensor_budget,0.19987015396030422,0.3220181784455574,-0.12214802448525319
vision_digits_perception,rho_guided_review_or_refine_vs_entropy_human_review,preservation_when_no_change_needed,0.9997751293006522,1.0,-0.00022487069934784554
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,coverage,0.8408458542014469,0.6787237989241328,0.16212205527731405
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,human_review_cost,0.15915414579855314,0.3212762010758672,-0.16212205527731405
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,automatic_accuracy,0.9810280167659386,0.9972670128450396,-0.016238996079100954
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,error_on_non_deferred,0.018971983234061327,0.002732987154960372,0.016238996079100954
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,safe_decision_rate,0.9840474865516602,0.9981450565757745,-0.01409757002411427
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,false_intervention_rate,0.29493600445186424,0.294194027082174,0.0007419773696902277
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,near_miss_surrogate_rate,0.013726581339269153,0.001854943424225561,0.011871637915043592
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,compute_sensor_budget,0.19987015396030422,0.3212762010758672,-0.12140604711556297
vision_digits_perception,rho_guided_review_or_refine_vs_gradient_human_review,preservation_when_no_change_needed,0.9997751293006522,1.0,-0.00022487069934784554
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,coverage,0.8126507141532183,0.6779818215544426,0.13466889259877568
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,human_review_cost,0.18734928584678168,0.3220181784455574,-0.13466889259877574
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,automatic_accuracy,0.9933805067336224,0.9972640218878249,-0.003883515154202488
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,error_on_non_deferred,0.0066194932663775395,0.0027359781121751026,0.003883515154202437
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,safe_decision_rate,0.9946206640697459,0.9981450565757745,-0.0035243925060285397
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,false_intervention_rate,0.29493600445186424,0.29493600445186424,0.0
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,near_miss_surrogate_rate,0.005379335930254127,0.001854943424225561,0.0035243925060285657
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,compute_sensor_budget,0.2210165089964756,0.3220181784455574,-0.10100166944908182
vision_digits_perception,rho_guided_guarded_refine_vs_entropy_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,coverage,0.8126507141532183,0.6787237989241328,0.1339269152290855
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,human_review_cost,0.18734928584678168,0.3212762010758672,-0.1339269152290855
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,automatic_accuracy,0.9933805067336224,0.9972670128450396,-0.003886506111417165
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,error_on_non_deferred,0.0066194932663775395,0.002732987154960372,0.0038865061114171677
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,safe_decision_rate,0.9946206640697459,0.9981450565757745,-0.0035243925060285397
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,false_intervention_rate,0.29493600445186424,0.294194027082174,0.0007419773696902277
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,near_miss_surrogate_rate,0.005379335930254127,0.001854943424225561,0.0035243925060285657
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,compute_sensor_budget,0.2210165089964756,0.3212762010758672,-0.10025969207939159
vision_digits_perception,rho_guided_guarded_refine_vs_gradient_human_review,preservation_when_no_change_needed,1.0,1.0,0.0
