domain,fold_id,sample_id,true_label,true_name,pred_before,pred_after_intervention,correct_before,correct_after_intervention,entropy,confidence,margin,grad_entropy_norm,jacobian_fro_norm,rho_high,rho_low,high_route_idx,low_route_idx,entropy_threshold,grad_threshold,rho_low_threshold,high_uncertainty,low_accessibility,entropy_drop_after_intervention,post_intervention_entropy,post_intervention_confidence,output_drift_after_intervention,intervention_energy,intervention_changed_top1
medical_breast_cancer,0,0,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,0.0,1.7661298513412476,1.0016711824796162e-15,1.4500131409034968e-17,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,8,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,2.3085382494514306e-09,1.7661298513412476,0.8265996063884148,0.011965804058232344,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,12,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,2.318110634003112e-11,1.7661298513412476,0.8265996032172384,0.011965807298078774,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,17,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,5.848202929650164e-16,1.7661298513412476,0.0004834122374413344,6.997845484551364e-06,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,25,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,3.3391813163957802e-21,1.7661298513412476,2.760925410205452e-09,3.996698624085794e-11,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,28,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,1.374255158624702e-15,1.7661298513412476,0.0011359587869114555,1.644407205774834e-05,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,30,0,malignant,0,0,1,1,1.8420681158204388e-07,1.0,1.0,2.6993984615192214e-22,1.7661298513412476,2.2493040395403132e-10,3.2560781073359233e-12,0,15,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,0,1,0.0,1.8420681158204388e-07,1.0,0.0,0.0,0
medical_breast_cancer,0,38,0,malignant,0,0,1,1,0.6130475997924805,0.6974043846130371,0.3948087692260742,0.41843271255493164,1.7661298513412476,0.8432690265707243,0.006866016061386468,0,14,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,1,0,0.0,0.6130475997924805,0.6974043846130371,0.0,0.0,0
medical_breast_cancer,0,39,0,malignant,0,0,1,1,0.0004433009016793221,0.99996018409729,0.9999203681945801,0.0009580908808857203,1.7661298513412476,0.8432696079235238,0.00686699190561679,0,14,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,1,0,0.0004431166948677401,1.8420681158204388e-07,1.0,3.9821308746468276e-05,5.961671018600464,0
medical_breast_cancer,0,40,0,malignant,1,1,0,0,0.005791064351797104,0.999299168586731,0.9985983371734619,0.012078703381121159,1.7661298513412476,0.8432690593670537,0.0068660221989387486,0,14,1.1504090252856258e-05,2.5551333965267953e-05,0.8432690010929595,1,0,0.005790880144985522,1.8420681158204388e-07,1.0,0.0007008426473475993,5.961671018600464,0
