prompt_id,observed_condition,topic,fact_id,template_id,entropy_topk_l0,varentropy_topk_l0,trace_fim_l0,grad_norm_sq_l0,top1_prob_topk_layer_l0,rho_fisher_state_1d_l0,rho_euclidean_state_1d_l0,rho_shuffled_u_state_1d_l0,rho_random_u_state_1d_l0,entropy_topk_l1,varentropy_topk_l1,trace_fim_l1,grad_norm_sq_l1,top1_prob_topk_layer_l1,rho_fisher_state_1d_l1,rho_euclidean_state_1d_l1,rho_shuffled_u_state_1d_l1,rho_random_u_state_1d_l1,rho_fisher_delta_1d_l1,rho_euclidean_delta_1d_l1,rho_shuffled_u_delta_1d_l1,rho_random_u_delta_1d_l1,rho_matched_random_trace_delta_1d_l1,rho_high_trace_random_delta_1d_l1,entropy_topk_l2,varentropy_topk_l2,trace_fim_l2,grad_norm_sq_l2,top1_prob_topk_layer_l2,rho_fisher_state_1d_l2,rho_euclidean_state_1d_l2,rho_shuffled_u_state_1d_l2,rho_random_u_state_1d_l2,rho_fisher_delta_1d_l2,rho_euclidean_delta_1d_l2,rho_shuffled_u_delta_1d_l2,rho_random_u_delta_1d_l2,rho_matched_random_trace_delta_1d_l2,rho_high_trace_random_delta_1d_l2,entropy_topk_l3,varentropy_topk_l3,trace_fim_l3,grad_norm_sq_l3,top1_prob_topk_layer_l3,rho_fisher_state_1d_l3,rho_euclidean_state_1d_l3,rho_shuffled_u_state_1d_l3,rho_random_u_state_1d_l3,rho_fisher_delta_1d_l3,rho_euclidean_delta_1d_l3,rho_shuffled_u_delta_1d_l3,rho_random_u_delta_1d_l3,rho_matched_random_trace_delta_1d_l3,rho_high_trace_random_delta_1d_l3,entropy_topk_l4,varentropy_topk_l4,trace_fim_l4,grad_norm_sq_l4,top1_prob_topk_layer_l4,rho_fisher_state_1d_l4,rho_euclidean_state_1d_l4,rho_shuffled_u_state_1d_l4,rho_random_u_state_1d_l4,rho_fisher_delta_1d_l4,rho_euclidean_delta_1d_l4,rho_shuffled_u_delta_1d_l4,rho_random_u_delta_1d_l4,rho_matched_random_trace_delta_1d_l4,rho_high_trace_random_delta_1d_l4,entropy_topk_l5,varentropy_topk_l5,trace_fim_l5,grad_norm_sq_l5,top1_prob_topk_layer_l5,rho_fisher_state_1d_l5,rho_euclidean_state_1d_l5,rho_shuffled_u_state_1d_l5,rho_random_u_state_1d_l5,rho_fisher_delta_1d_l5,rho_euclidean_delta_1d_l5,rho_shuffled_u_delta_1d_l5,rho_random_u_delta_1d_l5,rho_matched_random_trace_delta_1d_l5,rho_high_trace_random_delta_1d_l5,entropy_topk_l6,varentropy_topk_l6,trace_fim_l6,grad_norm_sq_l6,top1_prob_topk_layer_l6,rho_fisher_state_1d_l6,rho_euclidean_state_1d_l6,rho_shuffled_u_state_1d_l6,rho_random_u_state_1d_l6,rho_fisher_delta_1d_l6,rho_euclidean_delta_1d_l6,rho_shuffled_u_delta_1d_l6,rho_random_u_delta_1d_l6,rho_matched_random_trace_delta_1d_l6,rho_high_trace_random_delta_1d_l6
0,error,capital,capital:france,t0,3.3096673050916237,0.3449003907573439,82.81395231880441,1.6089443849627054,0.09098628957658025,0.16527210858048527,0.22370855727668038,0.019561505312096827,0.20569249536197814,3.418824947683924,0.1002052389738376,44.580092828692344,0.20111673484782103,0.06189738959748093,0.00108033145491869,0.07466130614736803,0.2180967996107178,0.0013330214564974867,0.02481376889281179,0.018724466686748546,0.02733849730902988,0.058991208857861396,0.031137268711429883,0.016170539344764014,3.355511820637186,0.2524559494645815,27.33005542831804,0.4888148302194361,0.10754073489381129,0.13177071258000167,0.25077127893862056,0.014921878912516525,0.01298352337951663,0.01217097024143898,0.12009021163852326,0.026505684298836086,0.020419157277840667,0.06982745693892217,0.16111364769640207,3.379435051674695,0.19642938901405896,18.164600331924746,0.20880677315421808,0.08093914109210248,0.007472718389748868,0.04854027629734739,0.01350686455279366,0.001965292864198471,0.00019095426069953587,0.06580694339170182,0.028392978279975594,1.2449849648930792e-06,0.004216581407356088,0.07267811932307487,3.3724801030317155,0.19657740272188362,9.671973037693999,0.09458190992504559,0.06774135308746466,0.24835979804890707,0.030564921161543565,0.038897624094942775,0.002140251986044668,0.11696464364031423,0.049552420382384214,0.015557034660045935,0.000129255237638858,0.02761284840195189,0.1833293598290175,3.204689067147246,0.47150956015512585,7.346599731955148,0.12859618318438265,0.09323989011628053,0.007884099771875177,0.17541390083196473,0.044629282075382165,0.021184228878676912,0.21295180929621707,0.025695951519159658,0.0036701548148339084,0.10396875801678875,0.0010259053709168557,0.02191694452354957,2.9160762250020786,0.8327321161764475,18.392256007187733,0.8941944558572217,0.15256860362053237,0.00013967582403570045,0.5189677295947693,0.11590666186476999,0.008569194248931879,0.11202648449472542,0.010610135711389397,0.11688193249773114,0.0018696729427204737,0.12742760069119605,0.001097834290581842
1,correct,capital,capital:france,t1,3.257143483632227,0.47631466124942073,74.49331876011644,2.6416591287950606,0.12258330294926918,0.31085007697122025,0.27421814872686273,0.0021536231738471913,0.047061729199979536,3.343087320715987,0.2884123290968443,42.38212086150611,0.9706512252549373,0.0994069165371644,0.018755743799676403,0.20265528779796954,0.0008522408794151287,0.057644027590278125,0.025937226462407453,0.08680636757329083,0.015032426691171288,0.07012292126797307,0.06793310366792639,0.1876550680139208,3.155697911869922,0.8116582660153049,26.58327405386204,2.9217131759465294,0.20306152086368498,0.1655067038703834,0.4303850717372011,0.019220299317013776,0.0011586199449284981,0.056484024932132816,0.34051084295908135,0.00908257888624863,0.06805299403229363,0.053528066050409745,0.5285395257930483,3.24136275255217,0.5784363321595708,16.6786341113363,1.0012090166562455,0.16289337908148394,0.0271952060507995,0.11695874455046107,0.03352279257492839,0.0032555142378179434,0.0014027848444768955,0.05969770960417197,0.0004598507963369919,0.000238071345164755,0.0005657041122211636,0.0006288411467391736,3.385725468828086,0.1766228408311085,8.681305387134408,0.09640473144064655,0.08124466431671803,0.3626013461125532,0.010534928449440102,0.082222053273896,0.014780897071344543,0.3340427263553229,0.1630728638167972,0.00625400979010271,0.10129409217956545,0.13057604313983495,0.09905873426272008,3.1570570179967,0.6412211957472412,8.19074121688442,0.31116613602480514,0.12784381105980133,0.1271648051105859,0.25655330188609854,0.018767470673456497,0.01465645047202608,0.37943134642389303,0.0028579140870690404,0.061257013635577756,0.02488537457754548,0.18522629673583269,0.06356404288732123,2.754918403336153,1.0074526275316003,20.436736101410492,1.2345788999731395,0.16767274540815105,0.012476742523636042,0.5740442961396589,0.00743846482740879,0.011279893679270077,0.10187271600663743,0.07447487212983846,0.014961824794046223,0.04053473350229214,0.11799885823759884,0.07611714995772349
2,correct,capital,capital:france,t2,3.3586981364174386,0.23340398149945685,83.35351860430836,1.0875659586978248,0.08553650693014624,0.13984648366671174,0.15496681591801242,0.0004288023353571342,0.004241765328465478,2.9466516335569257,1.3945392328865713,41.55432894631288,12.897052060863656,0.28968249220828174,0.5886217027510409,0.5488496593482338,0.032479748025264446,0.18167922112696774,0.029344736013514314,0.28811719461642543,0.14702553330464202,0.020092841861140447,0.0013362717844315382,0.3005382780807627,2.8537538231578443,1.392050790395059,27.187406581579715,4.802000512992922,0.25173127237937587,0.02014853898932197,0.5053073555014863,0.010522330484679394,0.015973789818835207,0.0026492112285810797,0.2854761381923952,0.0019729374553115082,0.0003740070968428323,0.14007993147998815,0.31110832957897194,2.5009147640728724,2.5486897686510845,15.79499031167827,12.060691523407542,0.4499084113520451,0.3167366515404917,0.16788508872984434,0.002928675946464793,0.14820302001539518,0.32087467342218273,0.1608687167346991,0.41028723083053503,0.1032653308375176,0.3983768917517977,0.6360835766542212,3.3322853636545005,0.30855849554188414,9.784235625205259,0.26501482082468464,0.11322825714739687,0.3735752572171385,0.034844688977413454,0.005662641296064891,0.12804157282426512,0.30810107535518194,0.051131291447679854,0.04998580364234899,0.0027929288246033063,0.040795059854233144,0.07654858328632479,3.118600746392165,0.6991236784704511,7.0442576279585625,0.3068912891509821,0.13889528330616271,0.26256541180543685,0.09807185164728453,0.18646997072212668,0.034016630771144946,0.15550494618082938,0.10310353624497473,0.0684106434787483,0.24147834957731593,0.04863342456671812,0.07427798017687576,2.947773906732651,0.6838719589515325,18.854222955561532,0.569133498916131,0.13655135335450444,0.00014375021347530663,0.4270015447640745,0.010758347404303207,0.024810101864852184,0.0015479193284738037,0.1868508151487744,0.05063161902332282,0.22623531657897467,0.10308138384432333,0.023713718863013062
3,error,capital,capital:germany,t0,3.3096673050916237,0.3449003907573439,82.81395231880441,1.6089443849627054,0.09098628957658025,0.16527210858048527,0.22370855727668038,0.009143082205524976,0.00014283710623169414,3.4249243893525714,0.08532256706271285,44.40912942859581,0.15813341179562002,0.056933084996033674,0.0025672005472694957,0.07097375658604836,0.026731085561300303,0.02507254156083786,7.010598199102004e-05,0.02953151116700824,0.04217564194633084,0.011410173345464406,0.011122438463963274,0.00665896977252869,3.3274922899330774,0.32217450193678676,27.063697596493554,0.6281628725969699,0.1178691592357603,0.09605081006480899,0.270045042101323,0.02983501418078942,0.004898951432853813,0.06342288735893961,0.08705471708760144,0.03105117512552115,0.1459782920275765,0.04240250606720764,0.11270379002728217,3.367536883143053,0.2207957846862466,17.544131763442113,0.22066053394334117,0.08497982554497567,0.00020231294308477245,0.0701233852094557,0.030485021118022277,0.005724776484471663,0.008837983721104385,0.02927705907953907,0.018250050913644292,0.00041300836929634,0.016024544910485418,0.13268530120445068,3.374265832620478,0.19447375253198224,9.441930627376898,0.09505342937273878,0.06930650161723355,0.3613520036691577,0.015642337107637513,0.19472879270044646,0.03566635843177741,0.23902592573906076,0.16796899882517236,0.008639765774514708,0.007608400054796279,0.009837872000304787,0.17113617922825955,3.2751813826524714,0.37123362843239927,7.476389366338683,0.1549207085130148,0.09187853798574627,0.15114292045491426,0.09628213413528183,0.002750722659583619,0.02183400165899611,0.35403417646492713,0.0073894624143438425,0.039327357342183865,0.011993944507564101,0.0027094050880003724,0.0331861075535881,3.1149049730072833,0.6687005627223794,18.338837125321813,1.2703656072833462,0.1594158520753274,0.47972076455845536,0.37029111985730223,0.043385021872312655,0.2570352636641792,0.036240491681199576,0.3035069099491877,0.0006876910992759356,0.013794556412314135,0.09599618675276565,0.2890124593683053
4,error,capital,capital:germany,t1,3.257143483632227,0.47631466124942073,74.49331876011644,2.6416591287950606,0.12258330294926918,0.31085007697122025,0.27421814872686273,0.1424688194001123,0.04277258185380613,3.359508266896052,0.24890193941512745,41.52986203076631,0.7767157731762765,0.09443562770786061,0.036988203319093076,0.17271453863265926,0.06235056497628949,0.0840477317135286,0.02430517211102956,0.0704178922903335,0.11037808653853334,0.003986945541174887,0.22370767771121636,0.24882969824350057,3.146465183246471,0.857618941542192,26.856826029450236,3.4296882153255757,0.2145232054565107,0.17310273171139384,0.4663025031443928,0.01969322947615821,0.0003137554249612225,0.06546952807932768,0.36278965472615654,0.001484094869762022,0.00655492588148994,0.05487070785907363,0.5944668195541021,3.271176693316527,0.4747585765912494,16.446004876002092,0.6596782784340338,0.13866360294624477,0.024291455055637633,0.11708821473276923,0.007817754167653729,0.010233248923020726,0.015928484073983083,0.006973477931446278,0.07416093825917044,0.09080759228409266,0.038685953807919615,0.002679743939337453,3.3799251963886263,0.19360771323018877,8.784881064003772,0.11918826435811486,0.07979514783391674,0.3973094406770632,0.00786731094231383,0.0014334274759493508,0.002719532890784544,0.2797421746456098,0.11447393728223962,0.36821389189687775,0.03210304573051294,0.15317265794456164,0.17609926047042018,3.2538954078815254,0.42053078324865467,8.263113486006173,0.18910064990805922,0.09948234660180942,0.0577917272562664,0.15881685720144142,0.010919584873001808,0.00035645183820058726,0.26147251808964056,0.15257088792744042,0.03462143133171772,0.02486736420476681,0.002089510577188418,0.009770283158319569,3.057247405116283,0.7394389192585701,19.182708537982112,1.446136623053813,0.16212863172091924,0.2851989712465664,0.40811127440423317,0.008332443824979894,0.12748295621386954,0.16805754856410277,0.02819385187681489,0.00010852293945903083,0.29058467984345426,0.01273031965885998,0.33188650841375855
5,error,capital,capital:germany,t2,3.3586981364174386,0.23340398149945685,83.35351860430836,1.0875659586978248,0.08553650693014624,0.13984648366671174,0.15496681591801242,0.01168021056684485,0.015487830750022125,2.986260761302818,1.2970272919791157,41.3936527493712,11.711221895809608,0.27713842390073234,0.6275727582278348,0.5087078570669572,0.6550226023973162,0.31767894472056657,0.016943459964267306,0.290102117396842,0.014570653092148165,0.05121079361233619,0.0029915219946495594,0.5115552154023001,2.8308118379942244,1.4531257529500414,26.97094080527706,5.155828454764967,0.25967063876482943,0.027325576847879007,0.5426160312766242,0.038975121294689365,0.11191528819958109,0.0046724681591303625,0.2553509222251582,0.040145886601920026,0.0013239342476286274,0.0012610046395904787,0.3261429978750902,2.519177326108351,2.510747476839412,15.71983670257488,12.005180737867896,0.44493389337396005,0.33001679588611443,0.20596118966691823,0.010964705143743482,0.14828866924897374,0.34278802174869166,0.17297545207839782,0.16890700440166706,0.07763337578699278,0.3088080618481778,0.6462764760582445,3.3513167902690446,0.2607953042567627,9.496432429190028,0.20573893598102166,0.10323213502962414,0.27474132003804946,0.046290606385547654,0.004878840275429024,0.00850293940498849,0.24229009374560032,0.009816340628622378,0.16222220831967343,0.0194969992017748,0.03355386867785937,0.09911846030294669,3.281611525307481,0.3452635514158066,7.447709832598904,0.11288510318834391,0.07755963256498617,0.06256564295658486,0.06858871879433989,0.0053137837413539755,0.007994469718475453,0.37712921900426827,0.018646749685391047,6.284121305046447e-05,0.06700412686090933,0.12070835481150062,0.00032825766319240907,3.2612575400276764,0.38090769798960017,18.080237703433195,0.3800863771968628,0.09684324971330374,0.23981521044231807,0.2556105551048751,0.0014280064199795382,0.21627779410651907,0.025533561329108046,3.38956799815762e-05,0.0899376320383285,1.410900873521757e-05,0.22923154186494557,0.20697519010859952
6,error,capital,capital:italy,t0,3.3096673050916237,0.3449003907573439,82.81395231880441,1.6089443849627054,0.09098628957658025,0.16527210858048527,0.22370855727668038,0.013430064387697522,0.07034459194103837,3.4285769411287594,0.07698133235096541,44.77235125790748,0.1473078641291124,0.055803900196987416,0.0002867355650351522,0.0745441639954272,0.004469956849199551,0.0006755126415544048,7.673692590597504e-05,0.030897263263659346,0.022776669382704066,0.07102731437621361,0.01961652410358027,0.01176794184217463,3.3251398865008275,0.34405811236621797,26.842602838631848,0.827009455637921,0.12943646402609324,0.06675857085963434,0.23534052105399692,0.03231013050998716,0.02625398135545313,0.02616519068358814,0.151630175046299,0.020467458769216806,0.007859636342058197,0.06350191473397597,0.22981742327418606,3.3362885261520665,0.3075767709987898,18.351778926213136,0.494621032332618,0.11375059819341295,0.008779812205195369,0.09778138603723105,0.07359439898287634,0.013798719044009576,0.1190657766797466,0.0017481683121105872,0.15749132333654403,0.03174169489427005,0.008932430111669477,0.2502601890681391,3.379707509354892,0.18354868075051395,9.649171648659639,0.0993482855197692,0.07226943336971915,0.4071383470960801,0.006427608554446515,0.022958581270949924,0.0019378780830471127,0.2201887433113218,0.14909869271364995,0.017441826093252982,0.08001858774300134,0.1292233721171377,0.14664753572737532,3.1607059283580816,0.6191035457054093,7.669143982605148,0.3204034024294339,0.12830206983176115,0.19560385794238325,0.09689880103637774,0.03504095416504262,0.06249334356308775,0.16653494880314715,0.061104704464454804,0.035263051194912985,0.02156935044093778,0.005030011600632299,0.06503548199181966,2.6939457643855063,0.960273860378871,18.201003971171392,1.3342869542463816,0.1891806740697854,0.6550874725194952,0.5054675255689072,0.014703218731171197,0.1642109110046549,0.13454569692370405,0.11570083717113398,0.006137302732551288,0.06428193740460861,0.02744944550027575,0.0001949469683786297
7,error,capital,capital:italy,t1,3.257143483632227,0.47631466124942073,74.49331876011644,2.6416591287950606,0.12258330294926918,0.31085007697122025,0.27421814872686273,0.07921207946976744,0.021353719968491877,3.354372584936552,0.26802337010554633,42.125836938661784,0.964117970524768,0.10732067601481678,0.01573917932352334,0.19767266498618308,0.027893520587472943,0.04501372123386013,0.008875571524402737,0.08827329019844575,0.1476281356007438,0.01893765109357471,0.07822586891453355,0.20301220663852065,3.138370525983349,0.8855455698679496,26.13643790132223,3.5472590324456643,0.21881209108472988,0.18491938310141612,0.4564287229950353,0.02948513102993578,0.001027386939678934,0.055678964646907574,0.34050071939576926,0.14306361698389475,0.0009943726788797954,0.06355242249885157,0.593227799371909,3.2552694567139033,0.5258478252602625,16.236599910542896,0.7938595879118882,0.15012580647684945,0.05088717438624693,0.12329392817278921,5.980195733325743e-06,0.11338376458557188,0.04083133095132664,0.00026537351882653133,0.00467748568557726,0.005627412042116126,0.0006513707617733174,0.00760548344143321,3.388303461009679,0.17483056616780174,8.859671714581673,0.10919438966117559,0.0875475415548223,0.3172995222056772,0.015843236774197786,0.11623175729517478,0.004799105296110258,0.35437913456544445,0.16348120212374267,0.02743045112691724,0.015031227327032848,0.0544515452158088,0.09844268264278745,3.1954518732770056,0.5453009942057411,8.680087618686063,0.29065008461876707,0.09857668266165819,0.007428520629887097,0.05731446081851944,0.17655280480264507,0.1656479100953188,0.14030813814322715,0.045586815105320665,0.007477218863987923,0.0001479680173565382,0.006007199327096048,0.012610764537145698,2.5268215500621265,0.9865409361052001,18.994541170409214,1.4027234607442178,0.19482325465937428,0.5109820490078684,0.5006692223806319,0.07781860427103691,0.01007072591355654,0.11356398622035516,6.579009325546515e-08,0.10867943962647926,0.005769804873646558,0.1455046463827858,0.008028230902505684
8,error,capital,capital:italy,t2,3.3586981364174386,0.23340398149945685,83.35351860430836,1.0875659586978248,0.08553650693014624,0.13984648366671174,0.15496681591801242,0.006614265902775939,0.016988178682233866,3.0139065757293144,1.204248930315451,42.06227023545933,10.192233064203315,0.26141658647781485,0.5791009303528788,0.5011568735284831,0.06537938724505975,0.17036259413893198,0.0128811093246087,0.28246729307948665,0.011678822250074522,0.09240979890900222,0.0030762206990485857,0.29777701319956906,2.813421228076951,1.5312677637240513,26.36942735182767,5.990624072215577,0.2837841924852478,0.01682263930482911,0.5603471786274321,0.16980204418846415,0.008958080126436306,0.008080035531293031,0.24727510197383892,0.00047351083286739605,0.005398634685846398,0.0005436432198103335,0.4136586634583936,2.411115136440378,2.7509338876253535,15.000909993030625,13.360371968136409,0.4804016514174093,0.4229482880987195,0.20368443528053376,0.004803923661774377,0.018075330619033863,0.3256324040842716,0.1846702921221741,0.005191821445406347,0.07285561980162268,0.366315303147153,0.6561361621679291,3.347581145126641,0.2789664190076673,9.667160529476465,0.2506759629112336,0.11214518122544813,0.35231865334713386,0.04306970121472694,0.0001478984442537771,0.04865359191992275,0.2334781714697309,0.019135643074963644,0.025392634987798698,0.06929197739907565,0.037955052672644374,0.08435236595391685,3.1069012631357587,0.6893170652320983,8.298066259570028,0.3091379522755521,0.11404353708196491,0.01989961003100887,0.032540716875909134,0.2988882626916554,0.0037835269497197665,0.3683347932794359,0.00042810112702056915,0.15227243725828618,0.00023465873337893945,0.0051151479833478385,0.0023484990774975613,2.689391942727299,0.9006674538135717,18.493601931810456,1.164209714553634,0.16207816970506225,0.5217994995904784,0.4835378264496932,0.10471225445033967,0.03584040460447135,0.032147517951066476,0.05038416503807992,0.16574104555444683,0.03532722164217766,0.0009114393846139365,0.014216772591361972
9,correct,capital,capital:spain,t0,3.3096673050916237,0.3449003907573439,82.81395231880441,1.6089443849627054,0.09098628957658025,0.16527210858048527,0.22370855727668038,5.39312931500243e-07,0.017492536789252448,3.4221326170076822,0.0907102604828472,44.77626884734923,0.17054130403401452,0.06005248814181599,0.016501870614183282,0.057570028370028434,0.14306629034786555,0.01902490532632083,0.00779140885047477,0.06999504907402414,0.030509232809461214,0.0034302063635387645,0.05782115523081275,0.007740163849423291,3.2841791938491456,0.45526970242968723,26.963332384480818,1.299215441039818,0.15006591548949913,0.09043573389235789,0.32199026458082924,0.012013021676565656,0.06550547384910006,0.03007336178936899,0.249051802746558,0.0199129307951826,0.1817349723122172,0.042300259172502866,0.3652841118157487,3.3856538936816913,0.18377740249583513,17.49454605365647,0.19900912709249474,0.08019615614618732,0.025917852263215437,0.030279838838780986,0.015676090980513268,0.02093971171005574,0.09060841120356088,0.022205552857695373,0.0026653139512771125,0.001720115635887197,0.13479722399759048,0.08602469008049744,3.3837871176482337,0.17179953320122612,9.703100238695042,0.07200975534806503,0.06305465374244192,0.17515998365369737,0.032775379834731506,0.0360909837791265,0.101624936527795,0.033462343614700206,0.013057424696995501,0.1543107896783923,0.07176263567344833,0.13018513043084923,0.23936293763387512,2.675376947665681,1.8993718530669015,5.794448532846429,1.8723695280472703,0.3545858805581556,0.5621579098468356,0.11079810836468686,0.1352808398598968,1.4594122670470174e-06,0.6995383354238373,0.06132524822188234,0.002339131832750822,0.037483173702543296,0.15272508141885,0.15272508141885,1.9950760554842,1.6148929857587264,12.903792659257018,3.5746953638528125,0.4174127782476307,0.2754640670675251,0.6255975057559027,0.008808461946639581,0.033739388841615384,0.03751014128509451,0.09019130283809156,0.5509378486385149,0.19380543337203615,8.887091484427039e-05,0.24038652286603004
