model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,rho,grad_entropy_proj_norm,grad_varentropy_proj_norm,fisher_output_fro_norm,jacobian_fro_norm
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,0.696231870158657,0.1282541161169956,0.3238934508747151,0.53296509816492,2.598476009094456
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,0.6673225251899265,0.1368400998844328,0.333359614840027,0.5071473591876794,2.6518106397488355
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,16,0.604951057454969,0.1265011614833573,0.3456496233002752,0.4892502433332885,2.1384334410672663
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,32,0.3713398504493843,0.1042840570928751,0.3020209687548864,0.5436448710116304,3.6750890793234174
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,32,0.4190480269631012,0.0909673689640865,0.2749065169277909,0.5141310240898253,3.62404816041131
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,32,0.2156800919197509,0.0829872112351345,0.2764498384120534,0.5010608848647421,3.176302296705008
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,64,0.3004258672706714,0.090611204069265,0.2909840537849691,0.5334748577233765,5.031728438242073
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,64,0.2272494550168176,0.0774589234608578,0.2534285968619462,0.5172785795200399,5.085228186544167
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,64,0.2031723916751565,0.0818550236376337,0.2772719041076865,0.4996052466514553,4.370742533418404
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,128,0.1948382373566201,0.0820171856795938,0.2776642842346441,0.529649454987864,6.9376828989840345
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,0.1190562876532756,0.0531669431393882,0.2078439888990478,0.5112565259194141,6.982036836491054
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,0.1083510571994143,0.0579345736596396,0.2238273574246192,0.5036728002882511,6.206296127929984
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,0.1181207695310509,0.0693174727495899,0.256204351117891,0.5277110617381677,9.69578678525896
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,256,0.0952115084153407,0.0534491694283763,0.2052706256766369,0.5197256455346526,10.18790869867368
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,256,0.071147314801332,0.0464309734371437,0.1920111714705585,0.5054827945092699,8.816993715001972
distilbert-base-uncased,1,factual_deep,plural,2,state_pca,8,16,0.6324167610118381,0.0589010969513141,0.1391200324403269,0.561646446207705,2.744744511181387
distilbert-base-uncased,1,factual_deep,plural,2,delta_pca,8,16,0.6500008302470929,0.070753105550412,0.1732238446519648,0.5619478416948556,2.7027154437575613
distilbert-base-uncased,1,factual_deep,plural,2,random,8,16,0.8652199938151064,0.0772978248876781,0.1796154089647092,0.5472592765277031,2.545441646396472
distilbert-base-uncased,1,factual_deep,plural,2,state_pca,8,32,0.2313840931461397,0.0515377083284557,0.134976147982253,0.5797154695301353,3.824298052212783
distilbert-base-uncased,1,factual_deep,plural,2,delta_pca,8,32,0.4485932132806375,0.0717946467856704,0.1803682158554216,0.5766193093171323,3.7449988970989256
distilbert-base-uncased,1,factual_deep,plural,2,random,8,32,0.4918644722709344,0.0673028560403951,0.1716064767118501,0.5349928559902069,3.444305866133724
distilbert-base-uncased,1,factual_deep,plural,2,state_pca,8,64,0.1335955568233851,0.0482307363993302,0.1325291273882619,0.6007453553753781,5.673204685862041
distilbert-base-uncased,1,factual_deep,plural,2,delta_pca,8,64,0.2399420082585085,0.0663684199998694,0.1807533151447714,0.5840151229182231,5.350179593793344
distilbert-base-uncased,1,factual_deep,plural,2,random,8,64,0.4138062889196756,0.0801632665260729,0.2012087312887764,0.5468333806981494,4.967320283228179
distilbert-base-uncased,1,factual_deep,plural,2,state_pca,8,128,0.1011091285322228,0.0530104912159999,0.1377130876165988,0.5934398142151691,7.7012873128961905
distilbert-base-uncased,1,factual_deep,plural,2,delta_pca,8,128,0.1338088682778815,0.0610326009649282,0.1872072168785414,0.5781774088949693,7.440313899382001
distilbert-base-uncased,1,factual_deep,plural,2,random,8,128,0.2705786129488248,0.0827172151321903,0.2236346903801058,0.54014898602609,6.850324995494764
distilbert-base-uncased,1,factual_deep,plural,2,state_pca,8,256,0.1228354159966201,0.0668329750670066,0.1686850787087597,0.5962987251457538,10.62993404406601
distilbert-base-uncased,1,factual_deep,plural,2,delta_pca,8,256,0.1364766527346392,0.069454897582367,0.2038617815996072,0.5800699178265869,10.434252547888104
distilbert-base-uncased,1,factual_deep,plural,2,random,8,256,0.2416291867214155,0.0935666788820688,0.2658901436089235,0.5400326561234248,9.783881215490345
distilbert-base-uncased,2,factual_simple,lexical,2,state_pca,8,16,0.4351799889638838,0.0619692341655355,0.1324335535962342,0.5640726860064257,2.812198991974674
distilbert-base-uncased,2,factual_simple,lexical,2,delta_pca,8,16,0.5288076056265751,0.0397141216629505,0.0838718407037431,0.5697394818605247,2.662490906194225
distilbert-base-uncased,2,factual_simple,lexical,2,random,8,16,0.4361846614664994,0.0412134834982427,0.0715652980651942,0.5148055885363426,2.617481318349701
distilbert-base-uncased,2,factual_simple,lexical,2,state_pca,8,32,0.2488417337061154,0.0569542455503214,0.1364355887590325,0.5875345355944037,4.173694312861187
distilbert-base-uncased,2,factual_simple,lexical,2,delta_pca,8,32,0.1107863324103553,0.0351060922143686,0.0792658144951152,0.5812045794655635,3.8017030584686826
distilbert-base-uncased,2,factual_simple,lexical,2,random,8,32,0.2287961335757579,0.0418713999322219,0.084579365721022,0.5095351065446843,3.501911262168384
distilbert-base-uncased,2,factual_simple,lexical,2,state_pca,8,64,0.0817016066201992,0.036895128372062,0.1110508100099911,0.600911855055026,5.775589559945234
distilbert-base-uncased,2,factual_simple,lexical,2,delta_pca,8,64,0.0895650302423995,0.0373301358420409,0.0902241028683645,0.5849730187104905,5.31480648223804
distilbert-base-uncased,2,factual_simple,lexical,2,random,8,64,0.249673678069982,0.0521814929958195,0.1065250983587109,0.5243068626624716,4.944563287982417
distilbert-base-uncased,2,factual_simple,lexical,2,state_pca,8,128,0.1143071522072506,0.0553401715843825,0.1369473440289864,0.6117690296489234,8.153795145515037
distilbert-base-uncased,2,factual_simple,lexical,2,delta_pca,8,128,0.0945031916022424,0.049037172394307,0.1082628970225107,0.5988797262013267,7.621539329708558
distilbert-base-uncased,2,factual_simple,lexical,2,random,8,128,0.1874503676151722,0.0658363307410171,0.145091167785283,0.5392419562994915,7.206044106422778
distilbert-base-uncased,2,factual_simple,lexical,2,state_pca,8,256,0.1181882017848954,0.0714260081946195,0.1720511999018049,0.6105817121067219,11.155514972247676
distilbert-base-uncased,2,factual_simple,lexical,2,delta_pca,8,256,0.0564191862383927,0.0418105897159061,0.1054522321303618,0.5946104417673735,10.69314527197051
distilbert-base-uncased,2,factual_simple,lexical,2,random,8,256,0.1425995794391239,0.0664975331848984,0.1725750990764084,0.542074349805844,10.17411096143676
distilbert-base-uncased,3,ambiguous_open,polysemy,2,state_pca,8,16,0.6636889332778491,0.0674748844007282,0.1267550921753696,0.5002667780488252,2.540031444466643
distilbert-base-uncased,3,ambiguous_open,polysemy,2,delta_pca,8,16,0.7990793977503985,0.0476712370604532,0.1026652999169635,0.4805845736640681,2.282009595876052
distilbert-base-uncased,3,ambiguous_open,polysemy,2,random,8,16,0.4477593477476179,0.056259237930521,0.1186433844083243,0.5337497499440556,2.3802644972363978
distilbert-base-uncased,3,ambiguous_open,polysemy,2,state_pca,8,32,0.2252331793127163,0.0596906708677273,0.1368217483355129,0.4974888193107567,3.463446063921671
distilbert-base-uncased,3,ambiguous_open,polysemy,2,delta_pca,8,32,0.2487208936517584,0.0393284111625918,0.0980989410068136,0.5017649120481994,3.4615449079504543
distilbert-base-uncased,3,ambiguous_open,polysemy,2,random,8,32,0.2630758682440675,0.0487331144009827,0.1225580420511243,0.5070741408318766,3.0227248103458093
distilbert-base-uncased,3,ambiguous_open,polysemy,2,state_pca,8,64,0.2475090733827594,0.0610675152487079,0.1537933869822549,0.507448922405737,4.787302165645594
distilbert-base-uncased,3,ambiguous_open,polysemy,2,delta_pca,8,64,0.153271401995842,0.0368732318637852,0.1006678668737585,0.5081237209271163,4.81520484226123
distilbert-base-uncased,3,ambiguous_open,polysemy,2,random,8,64,0.227954731618502,0.0453595521022416,0.1196641756595,0.5034057458120645,4.334803980063928
distilbert-base-uncased,3,ambiguous_open,polysemy,2,state_pca,8,128,0.1432715383863824,0.0551414454936324,0.1547819111940884,0.5122251945590647,6.766016423308085
distilbert-base-uncased,3,ambiguous_open,polysemy,2,delta_pca,8,128,0.0410011705990342,0.0219264532210992,0.0731545827195772,0.5185505271641117,7.1465845878839565
distilbert-base-uncased,3,ambiguous_open,polysemy,2,random,8,128,0.1579582285785843,0.0436302539574213,0.1251961146213056,0.5010003240277551,6.161914844039847
distilbert-base-uncased,3,ambiguous_open,polysemy,2,state_pca,8,256,0.0947778830199785,0.0481022667549764,0.1504098346842818,0.5138155406042868,9.516380069410657
distilbert-base-uncased,3,ambiguous_open,polysemy,2,delta_pca,8,256,0.0379724112978944,0.0255759268108878,0.0776268532563601,0.5220047309461932,10.077146753143271
distilbert-base-uncased,3,ambiguous_open,polysemy,2,random,8,256,0.0832699567796244,0.0375741541236411,0.117367681061933,0.497251099522704,8.602114488494323
distilbert-base-uncased,4,factual_deep,role,2,state_pca,8,16,0.7235002995995684,0.155658622027799,0.3334766307189587,0.4625616752840854,2.4768868342507737
distilbert-base-uncased,4,factual_deep,role,2,delta_pca,8,16,0.7684616583354702,0.1209723875767991,0.2456429378471092,0.4585828701426568,2.5951646375542
distilbert-base-uncased,4,factual_deep,role,2,random,8,16,0.8913637297854782,0.0897710343494952,0.165948250450435,0.4105078264113438,2.325912973345455
distilbert-base-uncased,4,factual_deep,role,2,state_pca,8,32,0.694962533824978,0.1625926071748771,0.4007651217684235,0.4918529060109065,3.44192549622351
distilbert-base-uncased,4,factual_deep,role,2,delta_pca,8,32,0.6277653880446279,0.1271610703619411,0.2891492573359552,0.5143745351453498,3.923317098711693
distilbert-base-uncased,4,factual_deep,role,2,random,8,32,0.5895509052773581,0.1160180996482643,0.2518256535473437,0.469969483841025,3.257259643005189
distilbert-base-uncased,4,factual_deep,role,2,state_pca,8,64,0.589342083536405,0.1731063367463736,0.471333323027653,0.4965234467952736,4.579217134662033
distilbert-base-uncased,4,factual_deep,role,2,delta_pca,8,64,0.4263925943633056,0.1133593713563922,0.307828047413981,0.520153357209722,5.617542594132341
distilbert-base-uncased,4,factual_deep,role,2,random,8,64,0.4420627230128478,0.1196631740057601,0.3077609116434857,0.4848618912996024,4.640953109108274
distilbert-base-uncased,4,factual_deep,role,2,state_pca,8,128,0.5146750997428885,0.1539224847853087,0.4816005271911494,0.5016148663643512,6.532070688778345
distilbert-base-uncased,4,factual_deep,role,2,delta_pca,8,128,0.435468050415302,0.1246460289732153,0.3643046162434134,0.5480674437445782,7.977265471644532
distilbert-base-uncased,4,factual_deep,role,2,random,8,128,0.3283212563154657,0.112122248575265,0.3342508386571262,0.5044324326217531,6.561624546298509
distilbert-base-uncased,4,factual_deep,role,2,state_pca,8,256,0.4263336093838684,0.1389264687627721,0.4793570215707431,0.5120154500121045,9.401434382177564
distilbert-base-uncased,4,factual_deep,role,2,delta_pca,8,256,0.3058483548737045,0.1047148238648717,0.3566334358423099,0.5490688168309191,11.260057778901832
distilbert-base-uncased,4,factual_deep,role,2,random,8,256,0.2236029087704704,0.0998229454918936,0.3362007739181058,0.5161935371016587,9.342965747387996
distilbert-base-uncased,5,factual_simple,capital,2,state_pca,8,16,0.809330653299546,0.1176581417726779,0.3040175385974579,0.5243856028856783,2.746544564698667
distilbert-base-uncased,5,factual_simple,capital,2,delta_pca,8,16,0.6044176159243848,0.1104444689346079,0.2957967740116523,0.5678099535033121,2.85132131501294
distilbert-base-uncased,5,factual_simple,capital,2,random,8,16,0.5908884260296888,0.11678515599978,0.3001316529891263,0.5281407618328539,2.6710099230159834
distilbert-base-uncased,5,factual_simple,capital,2,state_pca,8,32,0.4406969585373648,0.0872340943756478,0.268803725862235,0.5378103403819031,3.9367655908546615
distilbert-base-uncased,5,factual_simple,capital,2,delta_pca,8,32,0.4457748960800409,0.1154631396482041,0.3148770499724043,0.582011146991225,3.897867911493921
distilbert-base-uncased,5,factual_simple,capital,2,random,8,32,0.3124263499157692,0.0871789937603895,0.2573987133388732,0.5324940344956494,3.61332874777336
distilbert-base-uncased,5,factual_simple,capital,2,state_pca,8,64,0.3606179755688012,0.0941805232105691,0.275676800841422,0.5886840103471506,5.639223681340536
distilbert-base-uncased,5,factual_simple,capital,2,delta_pca,8,64,0.3769827795484076,0.1202165025036825,0.3341631501891998,0.5965943899043714,5.502702346057218
distilbert-base-uncased,5,factual_simple,capital,2,random,8,64,0.2793049669646297,0.0737109052455858,0.2264672856790067,0.5369097471784761,4.986237523866207
distilbert-base-uncased,5,factual_simple,capital,2,state_pca,8,128,0.3126522985126765,0.1127720804486379,0.3134409504129741,0.5876901890910298,7.487666588091399
distilbert-base-uncased,5,factual_simple,capital,2,delta_pca,8,128,0.3198837696662825,0.1169015590482906,0.3439563550853666,0.5878576033600561,7.420750213431042
distilbert-base-uncased,5,factual_simple,capital,2,random,8,128,0.1781572699577061,0.0697592332350075,0.2224837721354399,0.5455645313536782,7.080193228880731
distilbert-base-uncased,5,factual_simple,capital,2,state_pca,8,256,0.233633095077121,0.1049371177546524,0.3230559811378888,0.5895743022615748,10.580692586105576
distilbert-base-uncased,5,factual_simple,capital,2,delta_pca,8,256,0.2307756078368542,0.1028389569523909,0.3421742314487153,0.5894924623384197,10.571394694408172
distilbert-base-uncased,5,factual_simple,capital,2,random,8,256,0.1650857594368635,0.0751540554189926,0.2357251918878545,0.5384975292232734,9.771477979018828
distilbert-base-uncased,6,ambiguous_open,open,2,state_pca,8,16,0.590733412268011,0.0567988308914529,0.1312618698665279,0.4738261230596836,2.2061224096061123
distilbert-base-uncased,6,ambiguous_open,open,2,delta_pca,8,16,0.5178020828392663,0.0523285475840137,0.1182242234228743,0.5175083727032169,2.3472818349091145
distilbert-base-uncased,6,ambiguous_open,open,2,random,8,16,0.5493293414249986,0.069790144828772,0.1644116737831017,0.5092304496350853,2.2741012085476084
distilbert-base-uncased,6,ambiguous_open,open,2,state_pca,8,32,0.3784599309429393,0.0529948519297566,0.135465324353972,0.4877315144821066,3.1204027735932054
distilbert-base-uncased,6,ambiguous_open,open,2,delta_pca,8,32,0.4673200113763964,0.0743810084422914,0.1738047036831735,0.5403955741661747,3.543324173669009
distilbert-base-uncased,6,ambiguous_open,open,2,random,8,32,0.3478755590689145,0.0557900041177242,0.1471610999667121,0.5124377613316395,3.165165538935119
distilbert-base-uncased,6,ambiguous_open,open,2,state_pca,8,64,0.1629130064690818,0.0419879733762749,0.1200151716488895,0.51433459203042,4.889357916743975
distilbert-base-uncased,6,ambiguous_open,open,2,delta_pca,8,64,0.1611015106208341,0.0431155709678188,0.1229537383031522,0.5307081912974615,4.876793124361664
distilbert-base-uncased,6,ambiguous_open,open,2,random,8,64,0.2498406851679166,0.0582181546166128,0.155831650764138,0.5195074396220238,4.4860987435273385
distilbert-base-uncased,6,ambiguous_open,open,2,state_pca,8,128,0.0890845306231806,0.0346108756295299,0.1093384245876872,0.5182320908098972,6.836957086297523
distilbert-base-uncased,6,ambiguous_open,open,2,delta_pca,8,128,0.073960325072189,0.026696298671869,0.0883688070325714,0.5328609183594537,6.917079951270458
distilbert-base-uncased,6,ambiguous_open,open,2,random,8,128,0.1506876396964003,0.0522574720161144,0.1511550359513636,0.5162051464375084,6.292789504280193
distilbert-base-uncased,6,ambiguous_open,open,2,state_pca,8,256,0.0761261000646554,0.0358830184528945,0.1139496843370189,0.5173255502030112,9.501483641027288
distilbert-base-uncased,6,ambiguous_open,open,2,delta_pca,8,256,0.0542031549285563,0.0264213008348587,0.0839998595175747,0.5348212516092569,9.899145003023657
distilbert-base-uncased,6,ambiguous_open,open,2,random,8,256,0.1344947723929604,0.0523522265145088,0.1532852984376464,0.5157744457430773,8.82487104760227
distilbert-base-uncased,7,factual_deep,common,2,state_pca,8,16,0.8262442861060597,0.1842945915151851,0.3616314290173189,0.7114115753673074,3.557945159122092
