split,fold,target_review_cost,policy,n,review_cost,coverage,automatic_accuracy,error_on_non_deferred,reviewed_error_rate,deferred_error_capture
grouped_prompt,fold_0,0.15,entropy_fixed_review,40.0,0.15,0.85,0.5588235294117647,0.4411764705882353,0.8333333333333334,0.25
grouped_prompt,fold_0,0.15,gradient_fixed_review,40.0,0.15,0.85,0.5,0.5,0.5,0.15
grouped_prompt,fold_0,0.15,jacobian_fixed_review,40.0,0.15,0.85,0.5294117647058824,0.47058823529411764,0.6666666666666666,0.2
grouped_prompt,fold_0,0.15,fisher_fixed_review,40.0,0.15,0.85,0.5882352941176471,0.4117647058823529,1.0,0.3
grouped_prompt,fold_0,0.15,rho_only_low_access_review,40.0,0.15,0.85,0.5294117647058824,0.47058823529411764,0.6666666666666666,0.2
grouped_prompt,fold_0,0.15,rho_entropy_low_access_review,40.0,0.15,0.85,0.5294117647058824,0.47058823529411764,0.6666666666666666,0.2
grouped_prompt,fold_0,0.15,rho_entropy_gradient_low_access_review,40.0,0.15,0.85,0.5294117647058824,0.47058823529411764,0.6666666666666666,0.2
grouped_prompt,fold_0,0.25,entropy_fixed_review,40.0,0.25,0.75,0.5666666666666667,0.43333333333333335,0.7,0.35
grouped_prompt,fold_0,0.25,gradient_fixed_review,40.0,0.25,0.75,0.43333333333333335,0.5666666666666667,0.3,0.15
grouped_prompt,fold_0,0.25,jacobian_fixed_review,40.0,0.25,0.75,0.5666666666666667,0.43333333333333335,0.7,0.35
grouped_prompt,fold_0,0.25,fisher_fixed_review,40.0,0.25,0.75,0.6333333333333333,0.36666666666666664,0.9,0.45
grouped_prompt,fold_0,0.25,rho_only_low_access_review,40.0,0.25,0.75,0.5666666666666667,0.43333333333333335,0.7,0.35
grouped_prompt,fold_0,0.25,rho_entropy_low_access_review,40.0,0.25,0.75,0.5666666666666667,0.43333333333333335,0.7,0.35
grouped_prompt,fold_0,0.25,rho_entropy_gradient_low_access_review,40.0,0.25,0.75,0.5333333333333333,0.4666666666666667,0.6,0.3
grouped_prompt,fold_0,0.35,entropy_fixed_review,40.0,0.35,0.65,0.5384615384615384,0.46153846153846156,0.5714285714285714,0.4
grouped_prompt,fold_0,0.35,gradient_fixed_review,40.0,0.35,0.65,0.4230769230769231,0.5769230769230769,0.35714285714285715,0.25
grouped_prompt,fold_0,0.35,jacobian_fixed_review,40.0,0.35,0.65,0.5769230769230769,0.4230769230769231,0.6428571428571429,0.45
grouped_prompt,fold_0,0.35,fisher_fixed_review,40.0,0.35,0.65,0.6153846153846154,0.38461538461538464,0.7142857142857143,0.5
grouped_prompt,fold_0,0.35,rho_only_low_access_review,40.0,0.35,0.65,0.5384615384615384,0.46153846153846156,0.5714285714285714,0.4
grouped_prompt,fold_0,0.35,rho_entropy_low_access_review,40.0,0.35,0.65,0.5769230769230769,0.4230769230769231,0.6428571428571429,0.45
grouped_prompt,fold_0,0.35,rho_entropy_gradient_low_access_review,40.0,0.35,0.65,0.5384615384615384,0.46153846153846156,0.5714285714285714,0.4
grouped_prompt,fold_1,0.15,entropy_fixed_review,15.0,0.13333333333333333,0.8666666666666667,0.38461538461538464,0.6153846153846154,1.0,0.2
grouped_prompt,fold_1,0.15,gradient_fixed_review,15.0,0.13333333333333333,0.8666666666666667,0.38461538461538464,0.6153846153846154,1.0,0.2
grouped_prompt,fold_1,0.15,jacobian_fixed_review,15.0,0.13333333333333333,0.8666666666666667,0.3076923076923077,0.6923076923076923,0.5,0.1
grouped_prompt,fold_1,0.15,fisher_fixed_review,15.0,0.13333333333333333,0.8666666666666667,0.38461538461538464,0.6153846153846154,1.0,0.2
grouped_prompt,fold_1,0.15,rho_only_low_access_review,15.0,0.13333333333333333,0.8666666666666667,0.3076923076923077,0.6923076923076923,0.5,0.1
grouped_prompt,fold_1,0.15,rho_entropy_low_access_review,15.0,0.13333333333333333,0.8666666666666667,0.38461538461538464,0.6153846153846154,1.0,0.2
grouped_prompt,fold_1,0.15,rho_entropy_gradient_low_access_review,15.0,0.13333333333333333,0.8666666666666667,0.38461538461538464,0.6153846153846154,1.0,0.2
grouped_prompt,fold_1,0.25,entropy_fixed_review,15.0,0.26666666666666666,0.7333333333333333,0.45454545454545453,0.5454545454545454,1.0,0.4
grouped_prompt,fold_1,0.25,gradient_fixed_review,15.0,0.26666666666666666,0.7333333333333333,0.45454545454545453,0.5454545454545454,1.0,0.4
grouped_prompt,fold_1,0.25,jacobian_fixed_review,15.0,0.26666666666666666,0.7333333333333333,0.36363636363636365,0.6363636363636364,0.75,0.3
grouped_prompt,fold_1,0.25,fisher_fixed_review,15.0,0.26666666666666666,0.7333333333333333,0.45454545454545453,0.5454545454545454,1.0,0.4
grouped_prompt,fold_1,0.25,rho_only_low_access_review,15.0,0.26666666666666666,0.7333333333333333,0.36363636363636365,0.6363636363636364,0.75,0.3
grouped_prompt,fold_1,0.25,rho_entropy_low_access_review,15.0,0.26666666666666666,0.7333333333333333,0.45454545454545453,0.5454545454545454,1.0,0.4
