model,subspace_family,metric,route,control,route_mean,control_mean,route_minus_control,route_over_control,n_route,n_control
bert-base-uncased,delta_pca,rho,train_route,random_route_pooled,0.5393985335702514,0.5904195261684565,-0.05102099259820514,0.9135851875880405,20,30
bert-base-uncased,delta_pca,rho,train_route,test_oracle,0.5393985335702514,0.5379998953319031,0.0013986382383482932,1.0025996998335576,20,20
bert-base-uncased,state_pca,rho,train_route,random_route_pooled,0.6245864472123289,0.5904195261684565,0.03416692104387242,1.0578688873411752,30,30
bert-base-uncased,state_pca,rho,train_route,test_oracle,0.6245864472123289,0.6240814999712525,0.0005049472410764144,1.000809104645947,30,30
distilbert-base-uncased,delta_pca,rho,train_route,random_route_pooled,0.48074674517163407,0.5297754968657008,-0.04902875169406673,0.9074537195771898,20,30
distilbert-base-uncased,delta_pca,rho,train_route,test_oracle,0.48074674517163407,0.49861091818149905,-0.01786417300986498,0.9641721182620349,20,20
distilbert-base-uncased,state_pca,rho,train_route,random_route_pooled,0.541986212549816,0.5297754968657008,0.012210715684115248,1.023048849477481,30,30
distilbert-base-uncased,state_pca,rho,train_route,test_oracle,0.541986212549816,0.5504157820023236,-0.008429569452507502,0.9846850876589293,30,30
google/bert_uncased_L-2_H-128_A-2,delta_pca,rho,train_route,random_route_pooled,0.3742103654952025,0.4291110379166141,-0.05490067242141161,0.8720595194009434,10,20
google/bert_uncased_L-2_H-128_A-2,delta_pca,rho,train_route,test_oracle,0.3742103654952025,0.452419843094831,-0.07820947759962854,0.8271307530089144,10,10
google/bert_uncased_L-2_H-128_A-2,state_pca,rho,train_route,random_route_pooled,0.42033613568963635,0.4291110379166141,-0.008774902226977743,0.9795509752683572,20,20
google/bert_uncased_L-2_H-128_A-2,state_pca,rho,train_route,test_oracle,0.42033613568963635,0.36053092540618564,0.059805210283450705,1.1658809440995173,20,20
bert-base-uncased,delta_pca,abs_delta_entropy,train_route,random_route_pooled,0.03714188928386666,0.04207826672177817,-0.004936377437911511,0.8826858180601669,40,60
bert-base-uncased,delta_pca,abs_delta_entropy,train_route,test_oracle,0.03714188928386666,0.03698648372474873,0.00015540555911792986,1.0042016851419142,40,40
bert-base-uncased,state_pca,abs_delta_entropy,train_route,random_route_pooled,0.04346934513699233,0.04207826672177817,0.0013910784152141586,1.0330593088449194,60,60
bert-base-uncased,state_pca,abs_delta_entropy,train_route,test_oracle,0.04346934513699233,0.04370038086653234,-0.00023103572954001617,0.9947131872775746,60,60
distilbert-base-uncased,delta_pca,abs_delta_entropy,train_route,random_route_pooled,0.027808506776834552,0.03310541570091716,-0.005296908924082605,0.8399987188822444,40,60
distilbert-base-uncased,delta_pca,abs_delta_entropy,train_route,test_oracle,0.027808506776834552,0.027857384216888693,-4.8877440054141685e-05,0.9982454404306736,40,40
distilbert-base-uncased,state_pca,abs_delta_entropy,train_route,random_route_pooled,0.03334082078979027,0.03310541570091716,0.0002354050888731113,1.0071107727811008,60,60
distilbert-base-uncased,state_pca,abs_delta_entropy,train_route,test_oracle,0.03334082078979027,0.03372691713838157,-0.0003860963485913041,0.9885522786738216,60,60
google/bert_uncased_L-2_H-128_A-2,delta_pca,abs_delta_entropy,train_route,random_route_pooled,0.02539655272401824,0.02771635772703629,-0.002319805003018049,0.9163019533134701,20,40
google/bert_uncased_L-2_H-128_A-2,delta_pca,abs_delta_entropy,train_route,test_oracle,0.02539655272401824,0.027863402021935657,-0.0024668492979174166,0.9114663279101607,20,20
google/bert_uncased_L-2_H-128_A-2,state_pca,abs_delta_entropy,train_route,random_route_pooled,0.027132878422697036,0.02771635772703629,-0.000583479304339253,0.9789481969425553,40,40
google/bert_uncased_L-2_H-128_A-2,state_pca,abs_delta_entropy,train_route,test_oracle,0.027132878422697036,0.024878991637200275,0.0022538867854967615,1.0905939765712467,40,40
