model,init_state,split,route_source,subspace_family,subspace_k,sign,n,abs_delta_entropy_mean,abs_delta_varentropy_mean,directional_success_rate,selected_top1_changed_rate,full_vocab_top10_jaccard_mean
bert-base-uncased,pretrained,test,random_route,random,8,decrease,30,0.042361742395548935,0.08255948855691919,1.0,0.0,0.9636363636363636
bert-base-uncased,pretrained,test,random_route,random,8,increase,30,0.041794791048007415,0.08238791200638541,1.0,0.0,0.9393939393939394
bert-base-uncased,pretrained,test,test_oracle,delta_pca,8,decrease,20,0.037806635598877064,0.07344382422491133,1.0,0.0,0.946969696969697
bert-base-uncased,pretrained,test,test_oracle,delta_pca,8,increase,20,0.03616633185062038,0.07296720848831638,1.0,0.0,0.9545454545454545
bert-base-uncased,pretrained,test,test_oracle,state_pca,8,decrease,30,0.043419145348372455,0.08393965158358598,1.0,0.0,0.9636363636363636
bert-base-uncased,pretrained,test,test_oracle,state_pca,8,increase,30,0.04398161638469222,0.08613032521570202,1.0,0.06666666666666667,0.9575757575757575
bert-base-uncased,pretrained,test,train_route,delta_pca,8,decrease,20,0.038021495300376344,0.07359385697945862,1.0,0.0,0.9454545454545455
bert-base-uncased,pretrained,test,train_route,delta_pca,8,increase,20,0.03626228326735696,0.07296075430119595,1.0,0.0,0.9636363636363636
bert-base-uncased,pretrained,test,train_route,state_pca,8,decrease,30,0.04358000580115529,0.08427911874200561,1.0,0.0,0.9575757575757575
bert-base-uncased,pretrained,test,train_route,state_pca,8,increase,30,0.04335868447282936,0.08508620357404889,1.0,0.03333333333333333,0.9464646464646465
bert-base-uncased,pretrained,train,random_route,random,8,decrease,33,0.038431455557915384,0.0634030295056762,1.0,0.030303030303030304,0.923783287419651
bert-base-uncased,pretrained,train,random_route,random,8,increase,33,0.03836435907384769,0.06102091931905058,1.0,0.0,0.9669421487603306
bert-base-uncased,pretrained,train,train_route,delta_pca,8,decrease,22,0.030861233452537083,0.0665588501834799,1.0,0.0,0.9504132231404959
bert-base-uncased,pretrained,train,train_route,delta_pca,8,increase,22,0.02898976581504288,0.06437482842816035,1.0,0.045454545454545456,0.9586776859504131
bert-base-uncased,pretrained,train,train_route,state_pca,8,decrease,33,0.039925893298026226,0.06512763073360478,1.0,0.0,0.9458218549127639
bert-base-uncased,pretrained,train,train_route,state_pca,8,increase,33,0.040938624725640284,0.06433051753314996,1.0,0.030303030303030304,0.9724517906336089
distilbert-base-uncased,pretrained,test,random_route,random,8,decrease,30,0.033754361413496616,0.06423580563870972,1.0,0.06666666666666667,0.9757575757575758
distilbert-base-uncased,pretrained,test,random_route,random,8,increase,30,0.0324564699883377,0.06192765627837075,1.0,0.0,0.9575757575757575
distilbert-base-uncased,pretrained,test,test_oracle,delta_pca,8,decrease,20,0.02900917221996401,0.059697373098036965,1.0,0.1,0.9363636363636363
distilbert-base-uncased,pretrained,test,test_oracle,delta_pca,8,increase,20,0.026705596213813382,0.0563062444394265,1.0,0.05,0.9636363636363636
distilbert-base-uncased,pretrained,test,test_oracle,state_pca,8,decrease,30,0.034134245624086096,0.06295513957456206,1.0,0.0,0.9575757575757575
distilbert-base-uncased,pretrained,test,test_oracle,state_pca,8,increase,30,0.03331958865267705,0.061971035865655576,1.0,0.0,0.9818181818181818
distilbert-base-uncased,pretrained,test,train_route,delta_pca,8,decrease,20,0.02900332423374404,0.060070750330396404,1.0,0.0,0.9454545454545455
distilbert-base-uncased,pretrained,test,train_route,delta_pca,8,increase,20,0.026613689319925065,0.0566031500852938,1.0,0.0,0.9818181818181818
distilbert-base-uncased,pretrained,test,train_route,state_pca,8,decrease,30,0.034037719559428276,0.06482780433701825,1.0,0.0,0.9696969696969696
distilbert-base-uncased,pretrained,test,train_route,state_pca,8,increase,30,0.032643922020152254,0.06252579745655583,1.0,0.0,0.9636363636363636
distilbert-base-uncased,pretrained,train,random_route,random,8,decrease,33,0.032133363103507416,0.04968094533870602,1.0,0.0,0.9338842975206613
distilbert-base-uncased,pretrained,train,random_route,random,8,increase,33,0.030998046696973373,0.04844589541631126,1.0,0.030303030303030304,0.9173553719008265
distilbert-base-uncased,pretrained,train,train_route,delta_pca,8,decrease,22,0.022606422712047686,0.0546035167243838,1.0,0.0,0.9269972451790633
distilbert-base-uncased,pretrained,train,train_route,delta_pca,8,increase,22,0.0199102625249864,0.048975120583170946,1.0,0.0,0.9022038567493113
distilbert-base-uncased,pretrained,train,train_route,state_pca,8,decrease,33,0.033329980657095026,0.051081148647557674,1.0,0.030303030303030304,0.9338842975206613
distilbert-base-uncased,pretrained,train,train_route,state_pca,8,increase,33,0.03351417238486754,0.05011117272386361,1.0,0.0,0.9393939393939394
google/bert_uncased_L-2_H-128_A-2,pretrained,test,random_route,random,8,decrease,20,0.028713895095373032,0.056598547869436855,1.0,0.0,0.9636363636363636
google/bert_uncased_L-2_H-128_A-2,pretrained,test,random_route,random,8,increase,20,0.02671882035869954,0.054616945879796944,1.0,0.1,0.9727272727272727
google/bert_uncased_L-2_H-128_A-2,pretrained,test,test_oracle,delta_pca,8,decrease,10,0.02910587043323451,0.05930185063097086,1.0,0.1,0.9636363636363636
google/bert_uncased_L-2_H-128_A-2,pretrained,test,test_oracle,delta_pca,8,increase,10,0.026620933610636797,0.05584542485906864,1.0,0.0,0.9484848484848485
google/bert_uncased_L-2_H-128_A-2,pretrained,test,test_oracle,state_pca,8,decrease,20,0.025649094179126152,0.05190530503898712,1.0,0.1,0.9727272727272727
google/bert_uncased_L-2_H-128_A-2,pretrained,test,test_oracle,state_pca,8,increase,20,0.0241088890952744,0.05093574853576889,1.0,0.0,0.9742424242424242
google/bert_uncased_L-2_H-128_A-2,pretrained,test,train_route,delta_pca,8,decrease,10,0.02630018100464594,0.054864726610785466,1.0,0.1,0.9818181818181818
google/bert_uncased_L-2_H-128_A-2,pretrained,test,train_route,delta_pca,8,increase,10,0.02449292444339054,0.052537684523997694,1.0,0.0,0.9666666666666666
google/bert_uncased_L-2_H-128_A-2,pretrained,test,train_route,state_pca,8,decrease,20,0.028115101221512902,0.057940923368115606,1.0,0.05,0.9727272727272727
google/bert_uncased_L-2_H-128_A-2,pretrained,test,train_route,state_pca,8,increase,20,0.02615065562388117,0.055746313324208784,1.0,0.05,0.9651515151515152
google/bert_uncased_L-2_H-128_A-2,pretrained,train,random_route,random,8,decrease,22,0.03587353111249922,0.07150651276053459,1.0,0.09090909090909091,0.9834710743801653
google/bert_uncased_L-2_H-128_A-2,pretrained,train,random_route,random,8,increase,22,0.03392279884356382,0.07026425954260719,1.0,0.0,0.9504132231404959
google/bert_uncased_L-2_H-128_A-2,pretrained,train,train_route,delta_pca,8,decrease,11,0.02742293129271818,0.055055897775419964,1.0,0.09090909090909091,0.9834710743801653
google/bert_uncased_L-2_H-128_A-2,pretrained,train,train_route,delta_pca,8,increase,11,0.025675018681758536,0.05353987372536694,1.0,0.0,0.9669421487603306
google/bert_uncased_L-2_H-128_A-2,pretrained,train,train_route,state_pca,8,decrease,22,0.03442680142503567,0.06887682473841081,1.0,0.09090909090909091,0.9586776859504131
google/bert_uncased_L-2_H-128_A-2,pretrained,train,train_route,state_pca,8,increase,22,0.03302452549373306,0.06849069596454098,1.0,0.09090909090909091,0.9669421487603306
