model,init_state,split,route_source,subspace_family,subspace_k,layer,n,rho_mean,rho_std,v_access_mean,v_inaccess_mean,grad_entropy_proj_norm_mean,grad_varentropy_proj_norm_mean
bert-base-uncased,pretrained,all,random_route,random,8,4,21,0.4516717863643918,0.1717199516787177,0.3433648814691299,0.33301035668251133,0.09195339611229815,0.23824721551091357
bert-base-uncased,pretrained,all,random_route,random,8,8,21,0.5513564743412391,0.2013899610292627,0.8007550931223024,0.4104596426360505,0.10007630831427036,0.21004729579559353
bert-base-uncased,pretrained,all,random_route,random,8,12,21,0.7206831227681249,0.16056010590467487,1.3213882501654783,0.40880928901933844,0.20743612702396064,0.3605245853877106
bert-base-uncased,pretrained,all,within_model,delta_pca,8,4,21,0.4929931324650672,0.19888386720973658,0.3841483148645812,0.2922269232870602,0.10346391845618945,0.2616538826344139
bert-base-uncased,pretrained,all,within_model,delta_pca,8,8,21,0.48707526044855076,0.20493928800046546,0.7337248199025378,0.4774899158558149,0.10572550404960507,0.2177384343154682
bert-base-uncased,pretrained,all,within_model,state_pca,8,4,21,0.5464665429956611,0.13798022161072482,0.40235673332512933,0.27401850482651213,0.12021036076281198,0.30137011675697517
bert-base-uncased,pretrained,all,within_model,state_pca,8,8,21,0.6190475588713129,0.1902967372564768,0.8715307791337836,0.3396839566245696,0.13913126148913088,0.28553654765227293
bert-base-uncased,pretrained,all,within_model,state_pca,8,12,21,0.7447184668132866,0.14687286207630268,1.3562990020452719,0.3738985371395447,0.25871674950576873,0.46254243238165993
bert-base-uncased,random_init,all,random_route,random,8,4,21,0.23247385650103508,0.0720347303663514,0.005914603704874443,0.020624858483043462,0.0017814020683799639,0.0041152261522300546
bert-base-uncased,random_init,all,random_route,random,8,8,21,0.363138263038275,0.1389618764646121,0.006599045724864977,0.0112409387554608,0.001828275026157104,0.004014239671932336
bert-base-uncased,random_init,all,random_route,random,8,12,21,0.3022536996609044,0.09605595197545341,0.00727787411842123,0.01712324673115356,0.0017848028310132953,0.0038936872255890933
bert-base-uncased,random_init,all,within_model,delta_pca,8,4,21,0.2778349944156692,0.08236213410520976,0.0076539710170577206,0.01888549117086018,0.0019192277122290224,0.004406242531241551
bert-base-uncased,random_init,all,within_model,delta_pca,8,8,21,0.30954953381966976,0.16982463334785003,0.005647178680630719,0.012192805799695056,0.0016213490655862743,0.00354319130780691
bert-base-uncased,random_init,all,within_model,state_pca,8,4,21,0.32280721152391934,0.16862654625309165,0.009724713733343649,0.016814748454574254,0.0019590619669711353,0.004491077891282116
bert-base-uncased,random_init,all,within_model,state_pca,8,8,21,0.2796284728153523,0.10510155620167212,0.005121107968381859,0.012718876511943913,0.0016122484014119112,0.0035569971254697016
bert-base-uncased,random_init,all,within_model,state_pca,8,12,21,0.23824563829993176,0.07869322665083463,0.005565726753881543,0.018835394095693243,0.0014760160601333039,0.0032319948816275207
google/bert_uncased_L-2_H-128_A-2,pretrained,all,random_route,random,8,1,21,0.2687129885304272,0.08197489248786638,0.20994195192905296,0.5533858373324969,0.08891485558749898,0.19836889966204443
google/bert_uncased_L-2_H-128_A-2,pretrained,all,random_route,random,8,2,21,0.474149289073008,0.14931894408485288,0.5178965365412341,0.46769580584907594,0.15272325866312297,0.34849914343851796
google/bert_uncased_L-2_H-128_A-2,pretrained,all,within_model,delta_pca,8,1,21,0.3857856477085577,0.10244732946730668,0.3178054682992978,0.44552232096225225,0.10935122230449126,0.25757705550277277
google/bert_uncased_L-2_H-128_A-2,pretrained,all,within_model,state_pca,8,1,21,0.314628083758344,0.13015527888727646,0.26143884992400174,0.5018889393375481,0.07063030583695136,0.14912390012334914
google/bert_uncased_L-2_H-128_A-2,pretrained,all,within_model,state_pca,8,2,21,0.5191712448989831,0.17900529438438653,0.5903233871795466,0.39526895521076416,0.21863131616070192,0.47645217141285157
google/bert_uncased_L-2_H-128_A-2,random_init,all,random_route,random,8,1,21,0.21953490318197424,0.07117012905380893,0.0009676768904664336,0.0032942951942364165,0.0005574776153437955,0.0011855714539201032
google/bert_uncased_L-2_H-128_A-2,random_init,all,random_route,random,8,2,21,0.3053488122679655,0.05540080350726748,0.0013423764163416662,0.0029291788306389163,0.0007141068112857297,0.0014920862946098666
google/bert_uncased_L-2_H-128_A-2,random_init,all,within_model,delta_pca,8,1,21,0.29414634389754307,0.12391448222654403,0.00125695768643556,0.0030050143982672897,0.0006868999165330208,0.0014439783195904807
google/bert_uncased_L-2_H-128_A-2,random_init,all,within_model,state_pca,8,1,21,0.2461018344075379,0.09372291795754487,0.0010572814517914868,0.003204690632911363,0.0006265116361250656,0.001328937844801847
google/bert_uncased_L-2_H-128_A-2,random_init,all,within_model,state_pca,8,2,21,0.35050447144901814,0.15175617851093795,0.0015065598847895441,0.002764995362191038,0.0006981091284843354,0.0014642975299335524
