model,prompt_id,task,topic,observed_condition,layer,subspace_family,k,rep,rank_whitened_jb,rho,v_access,v_inaccess,entropy_before,varentropy_before,semantic_entropy_proxy_before,trace_fim,grad_norm_sq,logit_norm,strict_orth_ls_norm,accessible_ls_norm
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,1,0,1,0.07335164816777968,0.020810017667050495,0.26289209655744583,2.358559658630955,0.2837021142244962,1.3442310163247644,0.04387418157684625,0.0009130224937415527,25.233337312536612,2.3592239273284576e-16,0.6887025806135084
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,1,0,1,0.027719814523945598,0.007864169986354265,0.275837944238142,2.358559658630955,0.2837021142244962,1.3442310163247644,0.08035344813917362,0.0006319131751561631,25.233337312536612,1.1102230246251565e-16,0.31284137581347415
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,1,0,1,0.17961606950868095,0.050957458668306865,0.23274465555618945,2.358559658630955,0.2837021142244962,1.3442310163247644,0.02410526773081781,0.0012283431840816174,25.233337312536612,7.494005416219807e-16,1.4539447403241794
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,1,1,1,0.4172364813260538,0.11837087188379102,0.16533124234070523,2.358559658630955,0.2837021142244962,1.3442310163247644,0.013813914635592244,0.0016351651195433148,25.233337312536612,1.1275702593849246e-17,2.9272784751162853
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,4,0,4,0.576215675129287,0.1634736052834742,0.12022850894102213,2.358559658630955,0.2837021142244962,1.3442310163247644,0.11807526314707464,0.004697238461587139,25.233337312536612,1.1176789835092056e-15,2.586588701676933
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,4,0,4,0.5402403465802235,0.153267328514184,0.1304347857103122,2.358559658630955,0.2837021142244962,1.3442310163247644,0.20453106724807432,0.005012781755059934,25.233337312536612,6.373214457958151e-16,2.6599241616248848
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,4,0,4,0.2405178174708882,0.06823541332515247,0.2154667008993439,2.358559658630955,0.2837021142244962,1.3442310163247644,0.08101107284712983,0.0017763442694675772,25.233337312536612,1.6203171603697468e-15,1.701019505201379
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,4,1,4,0.2757579644341606,0.07823311752421482,0.2054689967002815,2.358559658630955,0.2837021142244962,1.3442310163247644,0.0638583508564248,0.000920796065402034,25.233337312536612,1.7136679897814678e-15,3.958446123965167
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,state_pca,8,0,8,0.7433570038738919,0.2108919536226102,0.07281016060188628,2.358559658630955,0.2837021142244962,1.3442310163247644,0.24431995287786615,0.014757105762243365,25.233337312536612,2.9179678346643866e-15,4.581455118668015
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,delta_pca,8,0,8,0.8822314178395622,0.25029091847635876,0.03341119574813727,2.358559658630955,0.2837021142244962,1.3442310163247644,0.3740184253827511,0.0077905623532007265,25.233337312536612,4.718876413935807e-15,11.117560032795923
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,0,8,0.6300115483655735,0.17873560825716167,0.10496650596733474,2.358559658630955,0.2837021142244962,1.3442310163247644,0.2262264046614451,0.005849246280363562,25.233337312536612,2.5379283098639078e-15,6.356774963411652
distilbert-base-uncased,0,ambiguous_open,open,ambiguous,2,random,8,1,8,0.9989532953078571,0.28340516189036663,0.0002969523341290657,2.358559658630955,0.2837021142244962,1.3442310163247644,0.23504341286411345,0.012344266516380611,25.233337312536612,4.166966836698257e-15,4.331983805753249
distilbert-base-uncased,1,factual_deep,capital,correct,2,state_pca,1,0,1,0.46214774675808756,0.07686841788590353,0.08946024740593542,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.06046093858228627,0.004647536692717136,26.775261670888316,3.9855271860567143e-16,1.1275518681231667
distilbert-base-uncased,1,factual_deep,capital,correct,2,delta_pca,1,0,1,0.128405186771779,0.021357463332299303,0.14497120195953972,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.042077431738730076,0.0008986672054772558,26.775261670888316,4.163336342344337e-17,0.7124431622680126
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,1,0,1,0.15057454475452783,0.025044863055946893,0.1412838022358921,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.006992007220742779,0.00017511386332969486,26.775261670888316,2.220446049250313e-16,1.8925980862257477
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,1,1,1,0.41762258460904933,0.06946260709375128,0.09686605819808766,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.016426768244240907,0.001141046148369818,26.775261670888316,6.800116025829084e-16,2.056361549502143
distilbert-base-uncased,1,factual_deep,capital,correct,2,state_pca,4,0,4,0.8156735136469091,0.13566988683879502,0.03065877845304375,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.13868191659934678,0.009160615977437702,26.775261670888316,1.2165100107805543e-15,1.641376644290008
distilbert-base-uncased,1,factual_deep,capital,correct,2,delta_pca,4,0,4,0.5717795571827134,0.09510333058735947,0.07122533470447963,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.1649634888669909,0.007617236117737456,26.775261670888316,1.3649000092335604e-15,1.5106405511567929
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,4,0,4,0.6941754552949416,0.11546127695756231,0.050867388334276585,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.08952793051487673,0.0031983719797242923,26.775261670888316,2.4355418757871288e-15,2.678750373258137
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,4,1,4,0.6052404039768359,0.10066882857416055,0.06565983671767843,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.08523117495126506,0.0027348296622867314,26.775261670888316,1.7391033277714453e-15,2.280905537486032
distilbert-base-uncased,1,factual_deep,capital,correct,2,state_pca,8,0,8,0.9327858463737346,0.15514902483046167,0.011179640461377366,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.28444322345458783,0.01560738890699952,26.775261670888316,2.5503385136213325e-15,3.063988002480258
distilbert-base-uncased,1,factual_deep,capital,correct,2,delta_pca,8,0,8,0.931224503371904,0.15488932873290442,0.011439336558934598,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.25711175920251295,0.013278932155495703,26.775261670888316,2.836921606222842e-15,3.236701183631395
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,8,0,8,0.7903953673628504,0.1314654065063157,0.0348632587855234,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.3030960535315297,0.010254948083673214,26.775261670888316,1.6206885593487486e-15,1.4960520037789864
distilbert-base-uncased,1,factual_deep,capital,correct,2,random,8,1,8,0.7173271706741118,0.11931207087579622,0.04701659441604276,2.4125905193292003,0.1663286652918389,1.3529341592436956,0.19684444450661254,0.005701087224815332,26.775261670888316,8.925586375671797e-16,2.2731940015864276
distilbert-base-uncased,2,factual_simple,capital,correct,2,state_pca,1,0,1,0.44237950044439506,0.11899039960542034,0.149987705134713,2.3692671552102422,0.26897810474013284,1.3651028244314876,0.0632429878384732,0.00752530839514067,26.559445019423467,2.0773313624822265e-16,1.3716704155071924
distilbert-base-uncased,2,factual_simple,capital,correct,2,delta_pca,1,0,1,0.07741016714979605,0.020821640047569066,0.2481564646925642,2.3692671552102422,0.26897810474013284,1.3651028244314876,0.03693293995373625,0.000769004381615179,26.559445019423467,3.8510861166685117e-16,0.7508454048036987
