rho_feature,heldout_source,n,base_correct_rate,delta_log_loss,delta_brier,delta_AURC,delta_risk50
absolute,decoder_battery,24,0.25,0.006207990697242538,0.0003771502158617934,0.0,0.0
absolute,masked_full_battery,63,0.36507936507936506,-0.02272001540599966,-0.0064912115086800115,0.0,0.0
absolute,masked_topk,45,0.3111111111111111,-3.606737778692859,-0.07829709852408862,-0.029944022697645845,-0.08695652173913038
adj,decoder_battery,24,0.25,0.058650209543650744,0.002514922848629947,0.0,0.0
adj,masked_full_battery,63,0.36507936507936506,-0.04547418755557442,-0.01279021619774151,0.0,0.0
adj,masked_topk,45,0.3111111111111111,-5.006691881856044,-0.08036334302077608,0.0673957930055491,0.0
rank,decoder_battery,24,0.25,0.088897095752687,0.003870197813292925,0.007407407407407418,0.0
rank,masked_full_battery,63,0.36507936507936506,-0.0621045917423797,-0.01721798162726501,0.0,0.0
rank,masked_topk,45,0.3111111111111111,-5.334773258155959,-0.08037475727429322,0.06405953581044899,0.08695652173913038
percentile,decoder_battery,24,0.25,0.11015210371706197,0.004880064145465018,0.007407407407407418,0.0
percentile,masked_full_battery,63,0.36507936507936506,-0.07519495958093558,-0.020609446224452654,0.0,0.0
percentile,masked_topk,45,0.3111111111111111,-5.4326739445840975,-0.08037613173333447,0.08303654421982454,0.13043478260869568
z_model_layer_family,decoder_battery,24,0.25,0.1261598209660485,0.0056726751757164295,0.007407407407407418,0.0
z_model_layer_family,masked_full_battery,63,0.36507936507936506,-0.08607165850764242,-0.02337637243631266,0.0,0.0
z_model_layer_family,masked_topk,45,0.3111111111111111,-5.479707415432932,-0.08037652005217744,0.08303654421982454,0.13043478260869568
