split,metric,value
grouped_prompt,delta_brier_improvement,0.03569420210526507
grouped_prompt,delta_log_loss_improvement,0.12624804280774687
grouped_prompt,delta_aurc_improvement,0.021355085650581695
grouped_prompt,delta_coverage_at_risk_030_improvement,0.04545454545454547
grouped_prompt,delta_risk50_improvement,0.045454545454545525
grouped_prompt,delta_ece_improvement,0.014130432036290122
grouped_prompt,shuffled_delta_brier_improvement,0.011293727360878386
grouped_prompt,shuffled_delta_log_loss_improvement,-0.006839875479197399
grouped_prompt,shuffled_delta_aurc_improvement,-0.0023134030733610866
grouped_prompt,shuffled_delta_coverage_at_risk_030_improvement,0.04545454545454547
grouped_prompt,shuffled_delta_risk50_improvement,-0.015151515151515138
grouped_prompt,shuffled_delta_ece_improvement,0.017102815709543917
leave_one_model_out,delta_brier_improvement,0.02704199006375546
leave_one_model_out,delta_log_loss_improvement,0.12143951142491816
leave_one_model_out,delta_aurc_improvement,0.01762417461511251
leave_one_model_out,delta_coverage_at_risk_030_improvement,0.0757575757575758
leave_one_model_out,delta_risk50_improvement,0.045454545454545414
leave_one_model_out,delta_ece_improvement,0.04382187078285529
leave_one_model_out,shuffled_delta_brier_improvement,-0.0047009311825218225
leave_one_model_out,shuffled_delta_log_loss_improvement,0.029087954597131982
leave_one_model_out,shuffled_delta_aurc_improvement,0.0074806671115928425
leave_one_model_out,shuffled_delta_coverage_at_risk_030_improvement,0.0075757575757576245
leave_one_model_out,shuffled_delta_risk50_improvement,0.015151515151515138
leave_one_model_out,shuffled_delta_ece_improvement,0.009737169722288413
leave_one_source_out,delta_brier_improvement,-0.01987123708312627
leave_one_source_out,delta_log_loss_improvement,-1.3797592528763463
leave_one_source_out,delta_aurc_improvement,-0.008779322774575049
leave_one_source_out,delta_coverage_at_risk_030_improvement,0.0
leave_one_source_out,delta_risk50_improvement,-0.015151515151515138
leave_one_source_out,delta_ece_improvement,-0.013187891389108863
leave_one_source_out,shuffled_delta_brier_improvement,-0.03172696096679217
leave_one_source_out,shuffled_delta_log_loss_improvement,-0.6973202764514805
leave_one_source_out,shuffled_delta_aurc_improvement,-0.003040376684804169
leave_one_source_out,shuffled_delta_coverage_at_risk_030_improvement,0.0
leave_one_source_out,shuffled_delta_risk50_improvement,-0.015151515151515138
leave_one_source_out,shuffled_delta_ece_improvement,-0.04190670634647459
