policy,n,accuracy,brier,log_loss,auroc,average_precision,aurc_mean_risk,coverage_at_risk_030,risk_at_50pct_coverage,risk_at_80pct_coverage,ece,high_pred_reliable_error_rate,high_pred_reliable_coverage,top20pct_error_rate,split,rho_feature
baseline,132,0.32575757575757575,0.15399188201595035,0.5110382994882727,0.863600731643585,0.7583548209789699,0.4694606440723857,0.3106060606060606,0.43939393939393945,0.5943396226415094,0.11812961695769447,0.19999999999999996,0.26515151515151514,0.14814814814814814,grouped_prompt,absolute
+rho,132,0.32575757575757575,0.11513846036465346,0.3820325954238945,0.9111575646720669,0.8253490358338738,0.44600912236310386,0.3560606060606061,0.3939393939393939,0.5943396226415094,0.10533793482688275,0.125,0.24242424242424243,0.14814814814814814,grouped_prompt,absolute
+shuffled_rho,132,0.32575757575757575,0.1173204320890971,0.3936046212094067,0.9082832505879279,0.8151890103031836,0.44600912236310386,0.3560606060606061,0.3939393939393939,0.5943396226415094,0.0953820182479102,0.125,0.24242424242424243,0.14814814814814814,grouped_prompt,absolute
baseline,132,0.32575757575757575,0.15399188201595035,0.5110382994882727,0.863600731643585,0.7583548209789699,0.4694606440723857,0.3106060606060606,0.43939393939393945,0.5943396226415094,0.11812961695769447,0.19999999999999996,0.26515151515151514,0.14814814814814814,grouped_prompt,adj
+rho,132,0.32575757575757575,0.11883710297988404,0.40065174900523826,0.9067154429056703,0.8080893068583562,0.44600912236310386,0.3560606060606061,0.3939393939393939,0.5943396226415094,0.08838469238712568,0.12903225806451613,0.23484848484848486,0.14814814814814814,grouped_prompt,adj
+shuffled_rho,132,0.32575757575757575,0.11999554137803937,0.40552347452510445,0.9051476352234127,0.8051687887710902,0.4487869001408816,0.3560606060606061,0.3939393939393939,0.5943396226415094,0.08722681143451888,0.12903225806451613,0.23484848484848486,0.14814814814814814,grouped_prompt,adj
baseline,132,0.32575757575757575,0.15399188201595035,0.5110382994882727,0.863600731643585,0.7583548209789699,0.4694606440723857,0.3106060606060606,0.43939393939393945,0.5943396226415094,0.11812961695769447,0.19999999999999996,0.26515151515151514,0.14814814814814814,grouped_prompt,rank
+rho,132,0.32575757575757575,0.1209571959260948,0.4092738061915749,0.9043637313822839,0.8045995906229924,0.44998164327110857,0.3560606060606061,0.3939393939393939,0.5943396226415094,0.07550894230214823,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,rank
+shuffled_rho,132,0.32575757575757575,0.12179592476935817,0.41237604354102664,0.9025346224196499,0.8013836756386752,0.4516651449546103,0.3560606060606061,0.40909090909090906,0.5943396226415094,0.06628890303184531,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,rank
baseline,132,0.32575757575757575,0.15399188201595035,0.5110382994882727,0.863600731643585,0.7583548209789699,0.4694606440723857,0.3106060606060606,0.43939393939393945,0.5943396226415094,0.11812961695769447,0.19999999999999996,0.26515151515151514,0.14814814814814814,grouped_prompt,percentile
+rho,132,0.32575757575757575,0.12255613955232916,0.41508338487185314,0.9009668147373923,0.7995952576058069,0.4516651449546103,0.3560606060606061,0.40909090909090906,0.5943396226415094,0.06650606087349768,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,percentile
+shuffled_rho,132,0.32575757575757575,0.12324632818664139,0.41748195474841343,0.9001829108962633,0.7989818283708515,0.4516651449546103,0.3560606060606061,0.40909090909090906,0.5943396226415094,0.07214675964612752,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,percentile
baseline,132,0.32575757575757575,0.15399188201595035,0.5110382994882727,0.863600731643585,0.7583548209789699,0.4694606440723857,0.3106060606060606,0.43939393939393945,0.5943396226415094,0.11812961695769447,0.19999999999999996,0.26515151515151514,0.14814814814814814,grouped_prompt,z_model_layer_family
+rho,132,0.32575757575757575,0.12389740995893841,0.41968830636303167,0.898876404494382,0.7968888747070111,0.4516651449546103,0.3560606060606061,0.40909090909090906,0.5943396226415094,0.07074531965462522,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,z_model_layer_family
+shuffled_rho,132,0.32575757575757575,0.12449597771811265,0.42169503668765623,0.8978311993728769,0.795732906364274,0.4516651449546103,0.3560606060606061,0.40909090909090906,0.5943396226415094,0.0708393587073314,0.15625,0.24242424242424243,0.14814814814814814,grouped_prompt,z_model_layer_family
baseline,132,0.32575757575757575,0.19113254932376988,0.7885695941878296,0.813953488372093,0.6675423537677098,0.4989739188822047,0.2803030303030303,0.5,0.6037735849056604,0.19515128502862847,0.2571428571428571,0.26515151515151514,0.2222222222222222,leave_one_model_out,absolute
+rho,132,0.32575757575757575,0.15686904334220383,0.5907963215718799,0.8583747060360596,0.7431058716732075,0.47608341924185726,0.3560606060606061,0.4545454545454546,0.5943396226415094,0.12526115300875088,0.22580645161290325,0.23484848484848486,0.2222222222222222,leave_one_model_out,absolute
+shuffled_rho,132,0.32575757575757575,0.15783817142379283,0.5983802866751451,0.8573295009145545,0.7409717081063323,0.47608341924185726,0.3560606060606061,0.4545454545454546,0.5943396226415094,0.12788282511251903,0.22580645161290325,0.23484848484848486,0.2222222222222222,leave_one_model_out,absolute
baseline,132,0.32575757575757575,0.19113254932376988,0.7885695941878296,0.813953488372093,0.6675423537677098,0.4989739188822047,0.2803030303030303,0.5,0.6037735849056604,0.19515128502862847,0.2571428571428571,0.26515151515151514,0.2222222222222222,leave_one_model_out,adj
+rho,132,0.32575757575757575,0.15821180757645747,0.6011177523357275,0.8570681996341782,0.7392811438885177,0.47608341924185726,0.3560606060606061,0.4545454545454546,0.5943396226415094,0.1279328585922793,0.22580645161290325,0.23484848484848486,0.2222222222222222,leave_one_model_out,adj
+shuffled_rho,132,0.32575757575757575,0.15840022288061642,0.6023837742123861,0.8570681996341782,0.7389372460884228,0.47608341924185726,0.3560606060606061,0.4545454545454546,0.5943396226415094,0.12793454902681597,0.22580645161290325,0.23484848484848486,0.2222222222222222,leave_one_model_out,adj
baseline,132,0.32575757575757575,0.19113254932376988,0.7885695941878296,0.813953488372093,0.6675423537677098,0.4989739188822047,0.2803030303030303,0.5,0.6037735849056604,0.19515128502862847,0.2571428571428571,0.26515151515151514,0.2222222222222222,leave_one_model_out,rank
+rho,132,0.32575757575757575,0.1585184315175573,0.6030986415465057,0.8565455970734257,0.7385590537272587,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.12791346181642918,0.22580645161290325,0.23484848484848486,0.2222222222222222,leave_one_model_out,rank
+shuffled_rho,132,0.32575757575757575,0.1585986279248629,0.6035226327331427,0.8565455970734257,0.7385590537272587,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.14003794372233253,0.25,0.24242424242424243,0.2222222222222222,leave_one_model_out,rank
baseline,132,0.32575757575757575,0.19113254932376988,0.7885695941878296,0.813953488372093,0.6675423537677098,0.4989739188822047,0.2803030303030303,0.5,0.6037735849056604,0.19515128502862847,0.2571428571428571,0.26515151515151514,0.2222222222222222,leave_one_model_out,percentile
+rho,132,0.32575757575757575,0.15865895035929606,0.6038732463304451,0.8562842957930494,0.7381118265358456,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.12942149262504485,0.25,0.24242424242424243,0.2222222222222222,leave_one_model_out,percentile
+shuffled_rho,132,0.32575757575757575,0.1587028157498585,0.6040921796599384,0.8557616932322969,0.7364376947676093,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.12939917636877898,0.25,0.24242424242424243,0.2222222222222222,leave_one_model_out,percentile
baseline,132,0.32575757575757575,0.19113254932376988,0.7885695941878296,0.813953488372093,0.6675423537677098,0.4989739188822047,0.2803030303030303,0.5,0.6037735849056604,0.19515128502862847,0.2571428571428571,0.26515151515151514,0.2222222222222222,leave_one_model_out,z_model_layer_family
+rho,132,0.32575757575757575,0.15873542383350003,0.6041990962620922,0.8557616932322969,0.7364376947676093,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.12938543695349228,0.25,0.24242424242424243,0.2222222222222222,leave_one_model_out,z_model_layer_family
+shuffled_rho,132,0.32575757575757575,0.15876765384628522,0.6043352060140738,0.8557616932322969,0.7364376947676093,0.4777669209253589,0.3560606060606061,0.4696969696969697,0.5943396226415094,0.12936887842227582,0.25,0.24242424242424243,0.2222222222222222,leave_one_model_out,z_model_layer_family
baseline,132,0.32575757575757575,0.35538575264931227,1.851962656867695,0.5819179513979619,0.3576788842980909,0.6367545144312494,0.0,0.5606060606060606,0.6509433962264151,0.3369191904380893,0.6585365853658536,0.3106060606060606,0.7037037037037037,leave_one_source_out,absolute
+rho,132,0.32575757575757575,0.38510745078151026,3.0912472722845346,0.5746015155474262,0.3470453540261781,0.6395322922090272,0.0,0.5606060606060606,0.6509433962264151,0.3767634509629234,0.6888888888888889,0.3409090909090909,0.7037037037037037,leave_one_source_out,absolute
+shuffled_rho,132,0.32575757575757575,0.3872548742100313,3.4322834168720955,0.5790436373138228,0.3529454789106391,0.6405805102383775,0.0,0.5606060606060606,0.6415094339622642,0.37936019807274335,0.6888888888888889,0.3409090909090909,0.7037037037037037,leave_one_source_out,absolute
baseline,132,0.32575757575757575,0.35538575264931227,1.851962656867695,0.5819179513979619,0.3576788842980909,0.6367545144312494,0.0,0.5606060606060606,0.6509433962264151,0.3369191904380893,0.6585365853658536,0.3106060606060606,0.7037037037037037,leave_one_source_out,adj
+rho,132,0.32575757575757575,0.38842950952829336,3.5698293498258433,0.5824405539587145,0.3614145205655806,0.6421635448859282,0.0,0.5606060606060606,0.6415094339622642,0.3810484020575925,0.6888888888888889,0.3409090909090909,0.7037037037037037,leave_one_source_out,adj
+shuffled_rho,132,0.32575757575757575,0.3894351251740051,3.645550746375711,0.5803501437157043,0.3567793230118502,0.6380483185484798,0.0,0.5606060606060606,0.6415094339622642,0.3824590357893415,0.6888888888888889,0.3409090909090909,0.6666666666666667,leave_one_source_out,adj
baseline,132,0.32575757575757575,0.35538575264931227,1.851962656867695,0.5819179513979619,0.3576788842980909,0.6367545144312494,0.0,0.5606060606060606,0.6509433962264151,0.3369191904380893,0.6585365853658536,0.3106060606060606,0.7037037037037037,leave_one_source_out,rank
+rho,132,0.32575757575757575,0.3903002388034172,3.6841130780701468,0.580088842435328,0.356632439481423,0.6339330922110311,0.0,0.5606060606060606,0.6415094339622642,0.38363682956807743,0.6888888888888889,0.3409090909090909,0.6296296296296297,leave_one_source_out,rank
+shuffled_rho,132,0.32575757575757575,0.391058064985197,3.7063126817074523,0.5850535667624771,0.3620648564076308,0.626750857565484,0.0,0.5606060606060606,0.6509433962264151,0.38463328822406173,0.6888888888888889,0.3409090909090909,0.5555555555555556,leave_one_source_out,rank
baseline,132,0.32575757575757575,0.35538575264931227,1.851962656867695,0.5819179513979619,0.3576788842980909,0.6367545144312494,0.0,0.5606060606060606,0.6509433962264151,0.3369191904380893,0.6585365853658536,0.3106060606060606,0.7037037037037037,leave_one_source_out,percentile
+rho,132,0.32575757575757575,0.3917357488663532,3.7198714407364366,0.582963156519467,0.3595664455860267,0.6308660839029326,0.0,0.5606060606060606,0.6509433962264151,0.37949408410574514,0.6888888888888889,0.3409090909090909,0.5925925925925926,leave_one_source_out,percentile
+shuffled_rho,132,0.32575757575757575,0.39235885379737556,3.7299580809742174,0.582963156519467,0.35947948275673497,0.6308660839029326,0.0,0.5606060606060606,0.6509433962264151,0.38034637930793014,0.6888888888888889,0.3409090909090909,0.5925925925925926,leave_one_source_out,percentile
