model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,accessible_ls,increase,0.05,0.696231870158657,0.0272205246377885,0.0650563218374979,1,0,1.0,1.0,0.8181818181818182,0.0012495359853289,0.0012495352186451,0.9845512367739256,0.0328428102263907,0.0209354804616655
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,accessible_ls,decrease,0.05,0.696231870158657,0.0303707043770735,0.0717365679866225,1,0,1.0,1.0,1.0,0.0012475910298557,0.001247591303846,1.0099728652880864,0.0339540879868703,0.0215440894910124
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,grad_orthogonal_control,increase,0.05,0.696231870158657,0.0008718519770507,0.0073346357221491,0,0,1.0,1.0,1.0,0.0012244232426442,0.001224423412987,0.972556943752993,0.0224095055643354,0.0155121543302615
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,grad_orthogonal_control,decrease,0.05,0.696231870158657,0.0009452256218431,0.0054699724239312,1,0,1.0,1.0,0.8181818181818182,0.0012751309888022,0.0012751319233519,1.0273407746748742,0.0237753619658925,0.0162853855578383
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,random_control,increase,0.05,0.696231870158657,0.0025512628222355,0.0138545857168369,1,0,1.0,1.0,0.8181818181818182,0.0012972079979398,0.0012972075068155,0.998992718047219,0.0146054157768431,0.017679275634374
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,16,random_control,decrease,0.05,0.696231870158657,0.0051299036136298,0.0183713949563709,1,0,1.0,1.0,1.0,0.0012045651578112,0.0012045646608153,0.9980036599536845,0.0135528250843983,0.0161204702019256
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,accessible_ls,increase,0.05,0.6673225251899265,0.0268307113282317,0.0631042436385001,1,0,1.0,1.0,1.0,0.0012519585769136,0.0012519586399102,0.9857020460532911,0.0210161858147585,0.0193218361243381
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,accessible_ls,decrease,0.05,0.6673225251899265,0.0295393350590869,0.0679396907998537,1,0,1.0,1.0,0.8181818181818182,0.0012457695085479,0.001245769268541,1.0096513574840449,0.0217883484965855,0.0196118019587637
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,grad_orthogonal_control,increase,0.05,0.6673225251899265,0.0002016439780545,0.0025924494324576,0,0,1.0,1.0,0.6666666666666666,0.0012555967052067,0.0012555964245129,0.981139161438276,0.0113926104982458,0.0128675112574333
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,16,grad_orthogonal_control,decrease,0.05,0.6673225251899265,0.0001910407262579,0.0052093582627626,1,0,1.0,1.0,1.0,0.0012413325986546,0.0012413333721921,1.0097028844391125,0.0115011381919828,0.012941836917555
