top_k_output,model,subspace_family,subspace_k,n_layers,layer_trend_spearman_vs_ref,layer_mean_abs_diff_vs_ref
16,bert-base-uncased,delta_pca,8,2,,0.16018183696024665
16,bert-base-uncased,random,8,3,1.0,0.16321984053032043
16,bert-base-uncased,state_pca,8,3,1.0,0.1455634733938395
16,distilbert-base-uncased,delta_pca,8,2,,0.2061678061148227
16,distilbert-base-uncased,random,8,3,0.5,0.1934025651995522
16,distilbert-base-uncased,state_pca,8,3,1.0,0.20081316504091862
16,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,1,,0.18411619793610523
16,google/bert_uncased_L-2_H-128_A-2,random,8,2,,0.17851070292257393
16,google/bert_uncased_L-2_H-128_A-2,state_pca,8,2,,0.19543576140498126
32,bert-base-uncased,delta_pca,8,2,,0.0
32,bert-base-uncased,random,8,3,1.0,0.0
32,bert-base-uncased,state_pca,8,3,1.0,0.0
32,distilbert-base-uncased,delta_pca,8,2,,0.0
32,distilbert-base-uncased,random,8,3,1.0,0.0
32,distilbert-base-uncased,state_pca,8,3,1.0,0.0
32,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,1,,0.0
32,google/bert_uncased_L-2_H-128_A-2,random,8,2,,0.0
32,google/bert_uncased_L-2_H-128_A-2,state_pca,8,2,,0.0
64,bert-base-uncased,delta_pca,8,2,,0.09168914782396337
64,bert-base-uncased,random,8,3,1.0,0.0922629190185904
64,bert-base-uncased,state_pca,8,3,1.0,0.07406214344203034
64,distilbert-base-uncased,delta_pca,8,2,,0.14195452622409557
64,distilbert-base-uncased,random,8,3,1.0,0.10489307299562046
64,distilbert-base-uncased,state_pca,8,3,1.0,0.09982449000336192
64,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,1,,0.04595849328796425
64,google/bert_uncased_L-2_H-128_A-2,random,8,2,,0.08755432309581082
64,google/bert_uncased_L-2_H-128_A-2,state_pca,8,2,,0.09025136159299027
128,bert-base-uncased,delta_pca,8,2,,0.15482383763021154
128,bert-base-uncased,random,8,3,1.0,0.16054153309976607
128,bert-base-uncased,state_pca,8,3,1.0,0.12480730043304111
128,distilbert-base-uncased,delta_pca,8,2,,0.22084884749110828
128,distilbert-base-uncased,random,8,3,1.0,0.18188425408468936
128,distilbert-base-uncased,state_pca,8,3,1.0,0.15481558364450906
128,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,1,,0.06816424906482615
128,google/bert_uncased_L-2_H-128_A-2,random,8,2,,0.13933984880804884
128,google/bert_uncased_L-2_H-128_A-2,state_pca,8,2,,0.142647286082697
256,bert-base-uncased,delta_pca,8,2,,0.19762842779292855
256,bert-base-uncased,random,8,3,1.0,0.2049390400474238
256,bert-base-uncased,state_pca,8,3,1.0,0.1530806382225579
256,distilbert-base-uncased,delta_pca,8,2,,0.2710029214070735
256,distilbert-base-uncased,random,8,3,1.0,0.22552045110816255
256,distilbert-base-uncased,state_pca,8,3,1.0,0.1864890354664056
256,google/bert_uncased_L-2_H-128_A-2,delta_pca,8,1,,0.07601835383139421
256,google/bert_uncased_L-2_H-128_A-2,random,8,2,,0.1596704699537099
256,google/bert_uncased_L-2_H-128_A-2,state_pca,8,2,,0.16848274365331367
