domain,policy,fold_id,sample_id,deferred,intervened,automatic,auto_correct,error_not_deferred,preserved_when_no_change_needed,safe_decision,false_intervention,near_miss_surrogate,human_review_cost,compute_sensor_budget,output_drift,entropy_drop_after_intervention
medical_breast_cancer,entropy_human_review,0,0,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,0,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,0,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,0,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,8,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,8,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,8,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,8,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,12,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,12,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,12,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,12,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,17,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,17,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,17,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,17,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,25,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,25,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,25,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,25,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,28,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,28,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,28,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,28,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,30,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,30,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,30,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,30,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,38,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,38,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,38,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,38,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,39,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,39,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,39,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,3.9821308746468276e-05,0.0004431166948677401
medical_breast_cancer,rho_guided_guarded_refine,0,39,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,3.9821308746468276e-05,0.0004431166948677401
medical_breast_cancer,entropy_human_review,0,40,1,0,0,,,,1,0,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,40,1,0,0,,,,1,0,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,40,0,1,1,0.0,1.0,,0,0,1,0.0,0.25,0.0007008426473475993,0.005790880144985522
medical_breast_cancer,rho_guided_guarded_refine,0,40,0,1,1,0.0,1.0,,0,0,1,0.0,0.25,0.0007008426473475993,0.005790880144985522
medical_breast_cancer,entropy_human_review,0,44,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,44,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,44,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,44,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,54,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,54,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,54,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,54,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,78,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,78,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,78,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,78,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,83,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,83,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,83,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,83,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,90,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,90,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,90,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,90,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,91,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,91,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,91,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.010480277240276337,0.058196792574079836
medical_breast_cancer,rho_guided_guarded_refine,0,91,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.010480277240276337,0.058196792574079836
medical_breast_cancer,entropy_human_review,0,94,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,94,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,94,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,94,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,95,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,95,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,95,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,95,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,96,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,96,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,96,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,96,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,100,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,100,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,100,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,9.902954843710177e-06,0.00012393584481174003
medical_breast_cancer,rho_guided_guarded_refine,0,100,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,9.902954843710177e-06,0.00012393584481174003
medical_breast_cancer,entropy_human_review,0,101,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,101,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,101,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,101,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,106,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,106,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,106,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,106,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,107,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,107,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,107,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,107,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,110,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,110,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,110,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,110,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,114,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,114,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,114,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,114,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,118,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,118,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,118,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,118,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,123,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,123,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,123,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,123,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,129,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,129,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,129,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,129,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,142,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,142,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,142,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,rho_guided_guarded_refine,0,142,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
medical_breast_cancer,entropy_human_review,0,148,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,148,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,148,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.0005042285774834454,0.004332135626526679
medical_breast_cancer,rho_guided_guarded_refine,0,148,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.0005042285774834454,0.004332135626526679
medical_breast_cancer,entropy_human_review,0,157,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,157,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,157,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.02652660384774208,0.12245254424348673
medical_breast_cancer,rho_guided_guarded_refine,0,157,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,0.02652660384774208,0.12245254424348673
medical_breast_cancer,entropy_human_review,0,169,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,gradient_human_review,0,169,1,0,0,,,,1,1,0,1.0,1.0,0.0,0.0
medical_breast_cancer,rho_guided_review_or_refine,0,169,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,3.668323643069016e-06,4.912107257837306e-05
medical_breast_cancer,rho_guided_guarded_refine,0,169,0,1,1,1.0,0.0,1.0,1,1,0,0.0,0.25,3.668323643069016e-06,4.912107257837306e-05
medical_breast_cancer,entropy_human_review,0,179,0,0,1,1.0,0.0,1.0,1,0,0,0.0,0.0,0.0,0.0
