split,target_review_cost,contrast,metric,rho_policy,control,delta_rho_minus_control
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,review_cost,0.15151515151515152,0.15151515151515152,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,coverage,0.8484848484848485,0.8484848484848485,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,automatic_accuracy,0.3564120122684898,0.36532466823996923,-0.008912655971479444
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,error_on_non_deferred,0.6435879877315102,0.6346753317600307,0.0089126559714795
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,reviewed_error_rate,0.8459595959595959,0.8964646464646465,-0.05050505050505061
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_entropy_fixed_review,deferred_error_capture,0.19083734915653422,0.20598886430804936,-0.015151515151515138
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,review_cost,0.15151515151515152,0.15151515151515152,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,coverage,0.8484848484848485,0.8484848484848485,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,automatic_accuracy,0.3564120122684898,0.3472957068998125,0.009116305368677302
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,error_on_non_deferred,0.6435879877315102,0.6527042931001876,-0.009116305368677469
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,reviewed_error_rate,0.8459595959595959,0.8017676767676768,0.044191919191919116
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_gradient_fixed_review,deferred_error_capture,0.19083734915653422,0.17842831255394923,0.012409036602584994
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,review_cost,0.15151515151515152,0.15151515151515152,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,coverage,0.8484848484848485,0.8484848484848485,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,automatic_accuracy,0.3564120122684898,0.33883236968884717,0.017579642579642618
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,error_on_non_deferred,0.6435879877315102,0.6611676303111529,-0.01757964257964273
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,reviewed_error_rate,0.8459595959595959,0.736111111111111,0.10984848484848486
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_jacobian_fixed_review,deferred_error_capture,0.19083734915653422,0.16768920100838605,0.023148148148148168
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_fisher_fixed_review,review_cost,0.15151515151515152,0.15151515151515152,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_fisher_fixed_review,coverage,0.8484848484848485,0.8484848484848485,0.0
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_fisher_fixed_review,automatic_accuracy,0.3564120122684898,0.37423732421144873,-0.017825311942958944
grouped_prompt,0.15,rho_entropy_gradient_low_access_review_vs_fisher_fixed_review,error_on_non_deferred,0.6435879877315102,0.6257626757885513,0.017825311942958888
